F7,Counts
ENSDARG00000005343,0
ENSDARG00000005350,4
ENSDARG00000005355,4
ENSDARG00000005356,8
ENSDARG00000005359,11
ENSDARG00000005364,0
ENSDARG00000005368,28
ENSDARG00000005371,0
ENSDARG00000005372,7
ENSDARG00000005374,15
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,48
ENSDARG00000005397,21
ENSDARG00000005414,0
ENSDARG00000005416,6
ENSDARG00000005423,6
ENSDARG00000005425,0
ENSDARG00000005448,2
ENSDARG00000005451,31
ENSDARG00000005453,21
ENSDARG00000005454,3
ENSDARG00000005456,18
ENSDARG00000005458,15
ENSDARG00000005462,1
ENSDARG00000005463,7
ENSDARG00000005464,0
ENSDARG00000005468,33
ENSDARG00000005476,30
ENSDARG00000005479,82
ENSDARG00000005481,17
ENSDARG00000005482,63
ENSDARG00000005485,1
ENSDARG00000005500,0
ENSDARG00000005510,0
ENSDARG00000005513,199
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,3
ENSDARG00000005526,11
ENSDARG00000005536,19
ENSDARG00000005540,8
ENSDARG00000005541,10
ENSDARG00000005544,0
ENSDARG00000005547,14
ENSDARG00000005549,17
ENSDARG00000005551,36
ENSDARG00000005559,3
ENSDARG00000005560,25
ENSDARG00000005561,0
ENSDARG00000005565,3
ENSDARG00000005574,9
ENSDARG00000005576,31
ENSDARG00000005578,14
ENSDARG00000005586,5
ENSDARG00000005590,17
ENSDARG00000005595,0
ENSDARG00000005606,9
ENSDARG00000005612,5
ENSDARG00000005616,0
ENSDARG00000005619,0
ENSDARG00000005625,5
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,0
ENSDARG00000005640,8
ENSDARG00000005643,0
ENSDARG00000005645,32
ENSDARG00000005648,0
ENSDARG00000005651,0
ENSDARG00000005652,60
ENSDARG00000005670,48
ENSDARG00000005673,0
ENSDARG00000005675,8
ENSDARG00000005679,13
ENSDARG00000005690,12
ENSDARG00000005699,6
ENSDARG00000005704,25
ENSDARG00000005713,18
ENSDARG00000005716,0
ENSDARG00000005738,14
ENSDARG00000005739,4
ENSDARG00000005749,0
ENSDARG00000005754,92
ENSDARG00000005762,9
ENSDARG00000005772,0
ENSDARG00000005774,42
ENSDARG00000005775,77
ENSDARG00000005776,3
ENSDARG00000005780,0
ENSDARG00000005783,8
ENSDARG00000005786,0
ENSDARG00000005789,21
ENSDARG00000005791,110
ENSDARG00000005799,0
ENSDARG00000005800,11
ENSDARG00000005814,0
ENSDARG00000005821,0
ENSDARG00000005823,22
ENSDARG00000005827,11
ENSDARG00000005828,0
ENSDARG00000005834,30
ENSDARG00000005840,32
ENSDARG00000005841,8
ENSDARG00000005842,0
ENSDARG00000005853,0
ENSDARG00000005861,70
ENSDARG00000005865,0
ENSDARG00000005867,6
ENSDARG00000005870,0
ENSDARG00000005883,0
ENSDARG00000005891,38
ENSDARG00000005894,0
ENSDARG00000005897,0
ENSDARG00000005908,17
ENSDARG00000005913,0
ENSDARG00000005915,26
ENSDARG00000005916,17
ENSDARG00000005924,19
ENSDARG00000005926,13
ENSDARG00000005927,2
ENSDARG00000005941,30
ENSDARG00000005942,0
ENSDARG00000005943,0
ENSDARG00000005945,20
ENSDARG00000005948,3
ENSDARG00000005972,0
ENSDARG00000005980,20
ENSDARG00000005989,11
ENSDARG00000005993,0
ENSDARG00000006003,16
ENSDARG00000006008,14
ENSDARG00000006010,4
ENSDARG00000006011,5
ENSDARG00000006019,44
