D5,Counts
ENSDARG00000005271,1
ENSDARG00000005274,3
ENSDARG00000005284,28
ENSDARG00000005314,0
ENSDARG00000005315,280
ENSDARG00000005318,135
ENSDARG00000005320,74
ENSDARG00000005327,0
ENSDARG00000005332,2
ENSDARG00000005335,1
ENSDARG00000005343,49
ENSDARG00000005350,183
ENSDARG00000005355,200
ENSDARG00000005356,118
ENSDARG00000005359,342
ENSDARG00000005364,28
ENSDARG00000005368,269
ENSDARG00000005371,18
ENSDARG00000005372,54
ENSDARG00000005374,46
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,197
ENSDARG00000005397,244
ENSDARG00000005414,5
ENSDARG00000005416,153
ENSDARG00000005423,111
ENSDARG00000005425,35
ENSDARG00000005448,14
ENSDARG00000005451,534
ENSDARG00000005453,214
ENSDARG00000005454,97
ENSDARG00000005456,337
ENSDARG00000005458,152
ENSDARG00000005462,108
ENSDARG00000005463,184
ENSDARG00000005464,7
ENSDARG00000005468,239
ENSDARG00000005476,593
ENSDARG00000005479,689
ENSDARG00000005481,82
ENSDARG00000005482,586
ENSDARG00000005485,87
ENSDARG00000005500,19
ENSDARG00000005510,4
ENSDARG00000005513,3515
ENSDARG00000005518,7
ENSDARG00000005522,0
ENSDARG00000005525,65
ENSDARG00000005526,120
ENSDARG00000005536,468
ENSDARG00000005540,480
ENSDARG00000005541,44
ENSDARG00000005544,32
ENSDARG00000005547,25
ENSDARG00000005549,145
ENSDARG00000005551,61
ENSDARG00000005559,19
ENSDARG00000005560,251
ENSDARG00000005561,52
ENSDARG00000005565,100
ENSDARG00000005574,64
ENSDARG00000005576,286
ENSDARG00000005578,476
ENSDARG00000005586,51
ENSDARG00000005590,58
ENSDARG00000005595,14
ENSDARG00000005606,94
ENSDARG00000005612,39
ENSDARG00000005616,2
ENSDARG00000005619,5
ENSDARG00000005625,233
ENSDARG00000005626,2
ENSDARG00000005627,0
ENSDARG00000005629,80
ENSDARG00000005640,11
ENSDARG00000005643,36
ENSDARG00000005645,338
ENSDARG00000005648,50
ENSDARG00000005651,53
ENSDARG00000005652,468
ENSDARG00000005670,140
ENSDARG00000005673,18
ENSDARG00000005675,152
ENSDARG00000005679,57
ENSDARG00000005690,125
ENSDARG00000005699,118
ENSDARG00000005704,124
ENSDARG00000005713,98
ENSDARG00000005716,104
ENSDARG00000005738,40
ENSDARG00000005739,35
ENSDARG00000005749,56
ENSDARG00000005754,769
ENSDARG00000005762,71
ENSDARG00000005772,144
ENSDARG00000005774,428
ENSDARG00000005775,656
ENSDARG00000005776,32
ENSDARG00000005780,5
ENSDARG00000005783,161
ENSDARG00000005786,50
ENSDARG00000005789,101
ENSDARG00000005791,2085
ENSDARG00000005799,52
ENSDARG00000005800,91
ENSDARG00000005814,0
ENSDARG00000005821,3
ENSDARG00000005823,236
ENSDARG00000005827,280
ENSDARG00000005828,16
ENSDARG00000005834,214
ENSDARG00000005840,323
ENSDARG00000005841,141
ENSDARG00000005842,44
ENSDARG00000005853,11
ENSDARG00000005861,509
ENSDARG00000005865,0
ENSDARG00000005867,222
ENSDARG00000005870,63
ENSDARG00000005883,111
ENSDARG00000005891,254
ENSDARG00000005894,45
ENSDARG00000005897,41
ENSDARG00000005908,98
ENSDARG00000005913,56
ENSDARG00000005915,207
ENSDARG00000005916,22
ENSDARG00000005924,447
ENSDARG00000005926,120
ENSDARG00000005927,191
ENSDARG00000005941,431
ENSDARG00000005942,14
ENSDARG00000005943,69
ENSDARG00000005945,285
ENSDARG00000005948,54
ENSDARG00000005972,53
ENSDARG00000005980,137
ENSDARG00000005989,80
ENSDARG00000005993,29
ENSDARG00000006003,124
ENSDARG00000006008,243
ENSDARG00000006010,43
ENSDARG00000006011,29
ENSDARG00000006019,452
ENSDARG00000006025,52
ENSDARG00000006029,48
ENSDARG00000006031,1709
ENSDARG00000006038,89
ENSDARG00000006040,88
ENSDARG00000006044,20
ENSDARG00000006052,5
ENSDARG00000006060,510
ENSDARG00000006062,376
ENSDARG00000006065,39
ENSDARG00000006074,43
ENSDARG00000006079,15
ENSDARG00000006092,978
ENSDARG00000006093,23
ENSDARG00000006094,371
ENSDARG00000006109,0
ENSDARG00000006110,23
ENSDARG00000006112,205
ENSDARG00000006120,133
ENSDARG00000006124,636
ENSDARG00000006125,175
ENSDARG00000006128,311
ENSDARG00000006137,5
ENSDARG00000006151,37
ENSDARG00000006169,132
ENSDARG00000006174,2
ENSDARG00000006181,65
ENSDARG00000006192,132
ENSDARG00000006196,85
ENSDARG00000006200,1615
ENSDARG00000006202,595
ENSDARG00000006206,5
ENSDARG00000006207,20
ENSDARG00000006215,346
ENSDARG00000006219,405
ENSDARG00000006220,648
ENSDARG00000006225,434
ENSDARG00000006235,75
ENSDARG00000006240,88
ENSDARG00000006242,879
ENSDARG00000006251,286
ENSDARG00000006253,48
ENSDARG00000006257,396
ENSDARG00000006260,2116
ENSDARG00000006266,295
ENSDARG00000006272,130
ENSDARG00000006279,51
ENSDARG00000006283,239
ENSDARG00000006288,34
ENSDARG00000006290,64
ENSDARG00000006292,0
ENSDARG00000006299,57
ENSDARG00000006300,39
ENSDARG00000006301,328
ENSDARG00000006307,57
ENSDARG00000006308,10
ENSDARG00000006314,516
ENSDARG00000006316,1484
ENSDARG00000006332,250
ENSDARG00000006341,30
ENSDARG00000006345,64
ENSDARG00000006350,0
