B9,Counts
ENSDARG00000005883,50
ENSDARG00000005891,83
ENSDARG00000005894,12
ENSDARG00000005897,54
ENSDARG00000005908,48
ENSDARG00000005913,6
ENSDARG00000005915,283
ENSDARG00000005916,8
ENSDARG00000005924,293
ENSDARG00000005926,36
ENSDARG00000005927,71
ENSDARG00000005941,232
ENSDARG00000005942,6
ENSDARG00000005943,20
ENSDARG00000005945,194
ENSDARG00000005948,31
ENSDARG00000005972,9
ENSDARG00000005980,116
ENSDARG00000005989,93
ENSDARG00000005993,3
ENSDARG00000006003,43
ENSDARG00000006008,247
ENSDARG00000006010,52
ENSDARG00000006011,6
ENSDARG00000006019,117
ENSDARG00000006025,41
ENSDARG00000006029,0
ENSDARG00000006031,748
ENSDARG00000006038,36
ENSDARG00000006040,6
ENSDARG00000006044,21
ENSDARG00000006052,0
ENSDARG00000006060,239
ENSDARG00000006062,264
ENSDARG00000006065,109
ENSDARG00000006074,32
ENSDARG00000006079,9
ENSDARG00000006092,622
ENSDARG00000006093,7
ENSDARG00000006094,267
ENSDARG00000006109,0
ENSDARG00000006110,5
ENSDARG00000006112,41
ENSDARG00000006120,129
ENSDARG00000006124,503
ENSDARG00000006125,179
ENSDARG00000006128,226
ENSDARG00000006137,3
ENSDARG00000006151,21
ENSDARG00000006169,142
ENSDARG00000006174,0
ENSDARG00000006181,110
ENSDARG00000006192,40
ENSDARG00000006196,26
ENSDARG00000006200,802
ENSDARG00000006202,412
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,44
ENSDARG00000006219,110
ENSDARG00000006220,48
ENSDARG00000006225,245
ENSDARG00000006235,90
ENSDARG00000006240,66
ENSDARG00000006242,535
ENSDARG00000006251,196
ENSDARG00000006253,29
ENSDARG00000006257,308
ENSDARG00000006260,921
ENSDARG00000006266,223
ENSDARG00000006272,86
ENSDARG00000006279,23
ENSDARG00000006283,164
ENSDARG00000006288,10
ENSDARG00000006290,25
ENSDARG00000006292,0
ENSDARG00000006299,94
ENSDARG00000006300,18
ENSDARG00000006301,285
ENSDARG00000006307,59
ENSDARG00000006308,3
ENSDARG00000006314,327
ENSDARG00000006316,502
