A11,Counts
ENSDARG00000006040,15
ENSDARG00000006044,4
ENSDARG00000006052,0
ENSDARG00000006060,28
ENSDARG00000006062,83
ENSDARG00000006065,0
ENSDARG00000006074,1
ENSDARG00000006079,0
ENSDARG00000006092,84
ENSDARG00000006093,1
ENSDARG00000006094,25
ENSDARG00000006109,1
ENSDARG00000006110,2
ENSDARG00000006112,15
ENSDARG00000006120,0
ENSDARG00000006124,69
ENSDARG00000006125,17
ENSDARG00000006128,30
ENSDARG00000006137,0
ENSDARG00000006151,0
ENSDARG00000006169,17
ENSDARG00000006174,0
ENSDARG00000006181,9
ENSDARG00000006192,14
ENSDARG00000006196,6
ENSDARG00000006200,183
ENSDARG00000006202,9
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,31
ENSDARG00000006219,19
ENSDARG00000006220,72
ENSDARG00000006225,40
ENSDARG00000006235,4
ENSDARG00000006240,3
ENSDARG00000006242,134
ENSDARG00000006251,44
ENSDARG00000006253,8
ENSDARG00000006257,48
ENSDARG00000006260,158
ENSDARG00000006266,20
ENSDARG00000006272,10
ENSDARG00000006279,7
ENSDARG00000006283,39
ENSDARG00000006288,0
ENSDARG00000006290,4
ENSDARG00000006292,1
ENSDARG00000006299,11
ENSDARG00000006300,4
ENSDARG00000006301,12
ENSDARG00000006307,7
ENSDARG00000006308,0
ENSDARG00000006314,49
ENSDARG00000006316,87
ENSDARG00000006332,12
ENSDARG00000006341,0
ENSDARG00000006345,8
ENSDARG00000006350,0
ENSDARG00000006353,8
ENSDARG00000006356,3
ENSDARG00000006368,0
ENSDARG00000006370,6
ENSDARG00000006372,0
ENSDARG00000006383,16
ENSDARG00000006385,0
ENSDARG00000006389,13
ENSDARG00000006392,13
ENSDARG00000006395,39
ENSDARG00000006396,84
ENSDARG00000006397,23
ENSDARG00000006399,30
ENSDARG00000006408,26
ENSDARG00000006409,0
ENSDARG00000006413,5
ENSDARG00000006420,15
ENSDARG00000006422,3
ENSDARG00000006427,80
ENSDARG00000006434,7
ENSDARG00000006447,1
ENSDARG00000006456,7
ENSDARG00000006467,4
ENSDARG00000006468,0
ENSDARG00000006474,1
ENSDARG00000006477,14
ENSDARG00000006487,19
ENSDARG00000006491,0
ENSDARG00000006494,13
ENSDARG00000006497,132
ENSDARG00000006501,0
ENSDARG00000006508,4
ENSDARG00000006514,6
ENSDARG00000006522,1
ENSDARG00000006524,43
ENSDARG00000006526,410
ENSDARG00000006527,17
ENSDARG00000006544,1
ENSDARG00000006545,15
ENSDARG00000006546,9
ENSDARG00000006553,21
ENSDARG00000006560,0
ENSDARG00000006566,28
ENSDARG00000006567,0
ENSDARG00000006568,0
ENSDARG00000006577,0
ENSDARG00000006580,0
ENSDARG00000006584,31
ENSDARG00000006585,20
ENSDARG00000006588,15
ENSDARG00000006598,0
ENSDARG00000006600,10
ENSDARG00000006601,0
ENSDARG00000006602,0
ENSDARG00000006603,30
ENSDARG00000006604,3
ENSDARG00000006607,0
ENSDARG00000006609,10
ENSDARG00000006615,7
ENSDARG00000006617,1
ENSDARG00000006621,14
ENSDARG00000006624,13
ENSDARG00000006636,8
ENSDARG00000006639,2
ENSDARG00000006640,5
ENSDARG00000006642,6
ENSDARG00000006666,0
ENSDARG00000006672,30
ENSDARG00000006677,0
ENSDARG00000006678,0
ENSDARG00000006683,12
ENSDARG00000006691,95
ENSDARG00000006712,1
ENSDARG00000006719,0
