E11,Counts
ENSDARG00000004794,16
ENSDARG00000004796,171
ENSDARG00000004806,25
ENSDARG00000004823,0
ENSDARG00000004830,281
ENSDARG00000004836,313
ENSDARG00000004840,38
ENSDARG00000004843,70
ENSDARG00000004851,25
ENSDARG00000004861,82
ENSDARG00000004864,0
ENSDARG00000004866,40
ENSDARG00000004869,36
ENSDARG00000004870,56
ENSDARG00000004871,4
ENSDARG00000004874,0
ENSDARG00000004875,77
ENSDARG00000004877,358
ENSDARG00000004880,39
ENSDARG00000004889,10
ENSDARG00000004891,106
ENSDARG00000004898,0
ENSDARG00000004904,25
ENSDARG00000004906,224
ENSDARG00000004925,5
ENSDARG00000004930,498
ENSDARG00000004931,56
ENSDARG00000004932,30
ENSDARG00000004937,0
ENSDARG00000004939,48
ENSDARG00000004948,188
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,23
ENSDARG00000004956,21
ENSDARG00000004964,99
ENSDARG00000004979,47
ENSDARG00000004988,124
ENSDARG00000005002,9
ENSDARG00000005004,4
ENSDARG00000005010,0
ENSDARG00000005015,329
ENSDARG00000005023,47
ENSDARG00000005026,320
ENSDARG00000005034,31
ENSDARG00000005049,4
ENSDARG00000005050,6
ENSDARG00000005057,16
ENSDARG00000005058,42
ENSDARG00000005078,16
ENSDARG00000005085,63
ENSDARG00000005092,11
ENSDARG00000005095,5
ENSDARG00000005098,28
ENSDARG00000005104,56
ENSDARG00000005108,47
ENSDARG00000005112,554
ENSDARG00000005115,25
ENSDARG00000005122,205
ENSDARG00000005126,44
ENSDARG00000005128,0
ENSDARG00000005134,62
ENSDARG00000005139,47
ENSDARG00000005141,156
ENSDARG00000005150,11
ENSDARG00000005154,31
ENSDARG00000005159,70
ENSDARG00000005162,476
ENSDARG00000005163,36
ENSDARG00000005172,24
ENSDARG00000005176,16
ENSDARG00000005179,62
ENSDARG00000005185,365
ENSDARG00000005186,190
ENSDARG00000005191,968
ENSDARG00000005210,33
ENSDARG00000005216,48
ENSDARG00000005218,2
ENSDARG00000005220,22
ENSDARG00000005221,74
ENSDARG00000005230,147
ENSDARG00000005232,137
ENSDARG00000005236,619
ENSDARG00000005246,6
ENSDARG00000005251,17
ENSDARG00000005254,73
ENSDARG00000005271,1
ENSDARG00000005274,5
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,221
ENSDARG00000005318,51
ENSDARG00000005320,17
ENSDARG00000005327,0
ENSDARG00000005332,14
ENSDARG00000005335,0
ENSDARG00000005343,50
ENSDARG00000005350,152
ENSDARG00000005355,84
ENSDARG00000005356,90
ENSDARG00000005359,105
ENSDARG00000005364,2
ENSDARG00000005368,182
ENSDARG00000005371,0
ENSDARG00000005372,36
ENSDARG00000005374,39
ENSDARG00000005382,47
ENSDARG00000005392,5
ENSDARG00000005394,148
ENSDARG00000005397,231
ENSDARG00000005414,0
ENSDARG00000005416,98
ENSDARG00000005423,46
ENSDARG00000005425,54
ENSDARG00000005448,10
ENSDARG00000005451,391
ENSDARG00000005453,200
ENSDARG00000005454,138
ENSDARG00000005456,184
ENSDARG00000005458,113
ENSDARG00000005462,296
ENSDARG00000005463,106
ENSDARG00000005464,1
ENSDARG00000005468,148
ENSDARG00000005476,654
ENSDARG00000005479,674
ENSDARG00000005481,45
ENSDARG00000005482,588
ENSDARG00000005485,142
ENSDARG00000005500,10
ENSDARG00000005510,0
ENSDARG00000005513,1915
ENSDARG00000005518,15
ENSDARG00000005522,0
ENSDARG00000005525,21
ENSDARG00000005526,136
ENSDARG00000005536,284
ENSDARG00000005540,270
ENSDARG00000005541,20
ENSDARG00000005544,37
ENSDARG00000005547,23
ENSDARG00000005549,62
ENSDARG00000005551,119
ENSDARG00000005559,17
ENSDARG00000005560,173
ENSDARG00000005561,42
ENSDARG00000005565,65
ENSDARG00000005574,61
ENSDARG00000005576,350
ENSDARG00000005578,214
ENSDARG00000005586,79
ENSDARG00000005590,85
ENSDARG00000005595,25
ENSDARG00000005606,127
ENSDARG00000005612,10
ENSDARG00000005616,0
ENSDARG00000005619,26
ENSDARG00000005625,168
ENSDARG00000005626,9
ENSDARG00000005627,0
ENSDARG00000005629,89
ENSDARG00000005640,2
ENSDARG00000005643,33
ENSDARG00000005645,298
ENSDARG00000005648,1
ENSDARG00000005651,23
ENSDARG00000005652,325
ENSDARG00000005670,134
ENSDARG00000005673,2
ENSDARG00000005675,92
ENSDARG00000005679,68
ENSDARG00000005690,58
ENSDARG00000005699,98
ENSDARG00000005704,78
ENSDARG00000005713,56
ENSDARG00000005716,42
ENSDARG00000005738,16
ENSDARG00000005739,35
ENSDARG00000005749,32
ENSDARG00000005754,549
ENSDARG00000005762,62
ENSDARG00000005772,16
ENSDARG00000005774,298
ENSDARG00000005775,671
ENSDARG00000005776,45
ENSDARG00000005780,2
ENSDARG00000005783,220
ENSDARG00000005786,5
ENSDARG00000005789,37
ENSDARG00000005791,1053
ENSDARG00000005799,8
ENSDARG00000005800,60
ENSDARG00000005814,0
ENSDARG00000005821,3
ENSDARG00000005823,175
