C7,Counts
ENSDARG00000005595,12
ENSDARG00000005606,114
ENSDARG00000005612,53
ENSDARG00000005616,18
ENSDARG00000005619,5
ENSDARG00000005625,166
ENSDARG00000005626,8
ENSDARG00000005627,0
ENSDARG00000005629,108
ENSDARG00000005640,15
ENSDARG00000005643,8
ENSDARG00000005645,529
ENSDARG00000005648,37
ENSDARG00000005651,105
ENSDARG00000005652,410
ENSDARG00000005670,249
ENSDARG00000005673,23
ENSDARG00000005675,67
ENSDARG00000005679,69
ENSDARG00000005690,85
ENSDARG00000005699,98
ENSDARG00000005704,41
ENSDARG00000005713,36
ENSDARG00000005716,31
ENSDARG00000005738,17
ENSDARG00000005739,113
ENSDARG00000005749,22
ENSDARG00000005754,711
ENSDARG00000005762,155
ENSDARG00000005772,56
ENSDARG00000005774,553
ENSDARG00000005775,1149
ENSDARG00000005776,64
ENSDARG00000005780,30
ENSDARG00000005783,352
ENSDARG00000005786,81
ENSDARG00000005789,28
ENSDARG00000005791,1112
ENSDARG00000005799,9
ENSDARG00000005800,99
ENSDARG00000005814,9
ENSDARG00000005821,0
ENSDARG00000005823,173
ENSDARG00000005827,165
ENSDARG00000005828,12
ENSDARG00000005834,251
ENSDARG00000005840,169
ENSDARG00000005841,220
ENSDARG00000005842,43
ENSDARG00000005853,17
ENSDARG00000005861,972
ENSDARG00000005865,0
ENSDARG00000005867,179
ENSDARG00000005870,16
ENSDARG00000005883,36
ENSDARG00000005891,60
ENSDARG00000005894,8
ENSDARG00000005897,5
ENSDARG00000005908,133
ENSDARG00000005913,30
ENSDARG00000005915,162
ENSDARG00000005916,37
ENSDARG00000005924,393
ENSDARG00000005926,37
ENSDARG00000005927,80
ENSDARG00000005941,379
ENSDARG00000005942,0
ENSDARG00000005943,24
ENSDARG00000005945,155
ENSDARG00000005948,68
ENSDARG00000005972,29
ENSDARG00000005980,190
ENSDARG00000005989,199
ENSDARG00000005993,23
ENSDARG00000006003,50
ENSDARG00000006008,222
ENSDARG00000006010,44
ENSDARG00000006011,24
ENSDARG00000006019,172
ENSDARG00000006025,62
ENSDARG00000006029,10
ENSDARG00000006031,749
ENSDARG00000006038,84
ENSDARG00000006040,23
ENSDARG00000006044,37
ENSDARG00000006052,0
ENSDARG00000006060,338
ENSDARG00000006062,372
ENSDARG00000006065,54
ENSDARG00000006074,47
ENSDARG00000006079,18
ENSDARG00000006092,644
ENSDARG00000006093,11
ENSDARG00000006094,320
ENSDARG00000006109,0
ENSDARG00000006110,3
ENSDARG00000006112,64
ENSDARG00000006120,93
ENSDARG00000006124,874
ENSDARG00000006125,128
ENSDARG00000006128,398
ENSDARG00000006137,0
ENSDARG00000006151,18
ENSDARG00000006169,164
ENSDARG00000006174,8
ENSDARG00000006181,69
ENSDARG00000006192,107
ENSDARG00000006196,49
ENSDARG00000006200,1013
ENSDARG00000006202,257
ENSDARG00000006206,0
ENSDARG00000006207,7
ENSDARG00000006215,81
ENSDARG00000006219,149
ENSDARG00000006220,81
ENSDARG00000006225,202
ENSDARG00000006235,103
ENSDARG00000006240,45
ENSDARG00000006242,782
ENSDARG00000006251,99
ENSDARG00000006253,33
ENSDARG00000006257,561
ENSDARG00000006260,1181
ENSDARG00000006266,182
ENSDARG00000006272,124
ENSDARG00000006279,28
ENSDARG00000006283,161
ENSDARG00000006288,5
ENSDARG00000006290,28
ENSDARG00000006292,12
ENSDARG00000006299,81
ENSDARG00000006300,31
ENSDARG00000006301,303
ENSDARG00000006307,58
ENSDARG00000006308,4
ENSDARG00000006314,234
ENSDARG00000006316,602
ENSDARG00000006332,271
ENSDARG00000006341,16
ENSDARG00000006345,13
ENSDARG00000006350,4
ENSDARG00000006353,73
ENSDARG00000006356,101
ENSDARG00000006368,5
ENSDARG00000006370,101
ENSDARG00000006372,0
ENSDARG00000006383,273
ENSDARG00000006385,270
ENSDARG00000006389,131
ENSDARG00000006392,35
ENSDARG00000006395,595
ENSDARG00000006396,578
ENSDARG00000006397,227
ENSDARG00000006399,340
ENSDARG00000006408,144
ENSDARG00000006409,0
ENSDARG00000006413,91
ENSDARG00000006420,367
ENSDARG00000006422,69
ENSDARG00000006427,107
ENSDARG00000006434,5
ENSDARG00000006447,9
ENSDARG00000006456,2
ENSDARG00000006467,51
ENSDARG00000006468,0
ENSDARG00000006474,6
ENSDARG00000006477,150
ENSDARG00000006487,465
ENSDARG00000006491,2
ENSDARG00000006494,89
ENSDARG00000006497,826
