	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000101087	4.855858942	4.578064196	4.94245487	4.649117927	4.817714697	4.574910482	3.063135036	4.383183042	4.41467656	4.406572428	4.700409061	4.649117927	4.901058919	4.926546546	4.574910482
ENSDARG00000101088	4.736117449	5.102571286	4.332438978	5.043094169	4.678936221	4.406572428	4.846114214	4.673587128	3.845890843	5.542996793	5.491697725	4.526322159	5.537649087	5.30541125	4.855858942
ENSDARG00000101089	9.365740723	9.318508134	9.084307699	9.267412225	9.316313225	9.227979312	9.208403415	9.129114119	9.231766735	9.313139941	9.26262516	9.316249403	9.55920019	9.187146386	9.498936806
ENSDARG00000101090	4.582538476	4.436728293	4.574910482	4.427519565	4.245177068	4.574910482	3.917890887	4.673587128	5.175267539	4.89800534	5.080133388	5.028358747	4.757934587	4.677359364	4.427519565
ENSDARG00000101093	5.770985124	6.093735357	5.478800816	5.826747657	5.24405377	6.117650356	5.871394526	5.81001612	5.951828744	5.793198808	5.491697725	5.532404784	4.855858942	5.7916599	5.375423093
ENSDARG00000101094	9.114274753	9.218392272	8.976337631	9.181431076	9.048813405	8.952899784	9.144289721	9.266141258	9.030600985	9.27525472	9.251418012	9.098093031	9.30255816	9.310799019	9.228293989
ENSDARG00000101095	7.524887539	8.028691434	8.311496876	7.967347407	8.098149181	8.074548531	7.606456422	8.178976114	7.931901073	7.354470764	8.073263084	8.028860467	6.944664922	8.170271576	7.795410078
ENSDARG00000101098	6.363061043	7.320602917	6.870358037	7.066971939	6.956476854	6.845172574	6.818665581	7.337810135	7.388736809	6.480822803	7.155887404	6.888138963	6.485854834	7.154810878	6.635617505
ENSDARG00000101102	6.673351797	7.074113602	6.931522982	6.764711586	6.491373177	7.271120036	6.85612737	7.028709183	7.006254575	6.600878727	6.993831848	7.078988285	6.247241162	7.135499709	6.68890144
ENSDARG00000101106	6.994189395	7.259227199	7.320602917	7.420859851	7.095155029	7.261834024	7.302551625	7.165263419	7.087237115	7.271120036	7.065480751	7.366166993	7.283399758	7.359143184	7.105854638
ENSDARG00000101109	4.799168972	4.144761509	4.406572428	4.340903836	4.754008341	4.574910482	4.719343013	4.011175051	4.41467656	4.780934316	3.907193243	4.799168972	5.362172024	4.398009203	4.855858942
ENSDARG00000101110	6.440755066	5.82524031	6.407120375	5.978749788	5.922669726	6.223599896	6.135251028	6.164751709	6.21697467	6.315037725	5.91337543	5.897305715	6.247241162	5.837108495	5.904801909
ENSDARG00000101112	4.011175051	4.332438978	3.91269072	3.917890887	4.817714697	4.011175051	4.6082612	4.737644238	4.015867673	4.710911812	3.418030557	4.245177068	4.901058919	3.382831371	4.427519565
ENSDARG00000101115	8.857602879	8.300494973	8.506618781	9.048639008	8.722670152	8.859935621	8.858364486	8.738741153	8.591444746	9.051093501	8.467373647	8.585524613	8.970727932	8.647651576	8.67972477
ENSDARG00000101116	8.448856214	8.349114194	8.473748312	8.37179332	8.498305514	8.504166938	8.29571805	8.186827529	8.394746735	8.426890934	8.43136756	8.439742927	8.545296366	8.26885384	8.372604463
ENSDARG00000101118	6.402883844	7.176921698	7.081361244	7.244332884	7.298590231	7.185387767	6.871984227	6.934216909	6.970692906	6.981647324	6.753926006	7.312594572	6.593438583	7.135499709	6.702757573
