Williams Trend Test
Data Source: no_log_quant_fastbmd_input_SANT_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:15.26
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000013072"			0.038461538461538464	0.6255732725892179	-1.5499884	1.5499884	-1.2434394	-1.3982313	-1.3651401	-1.5499884	0.55764085	0.023278207	0.07732007	0.023304036			
"ENSDARG00000011326"			0.016129032258064516	0.6255732725892179	1.6163397	1.6163397	-1.4644547	1.355573	1.0039246	1.6163397	0.17991927	0.14437304	0.9855799	0.06399941			
"ENSDARG00000038713"			0.021739130434782608	0.6255732725892179	-1.811984	1.811984	-1.4847721	-1.2254577	-1.1471453	-1.811984	0.17784348	0.37588865	0.4164905	0.036866482			
"ENSDARG00000068240"			0.019230769230769232	0.6255732725892179	1.8197938	1.8197938	1.2577927	1.4278145	1.2430362	1.8197938	0.44467452	0.07590032	0.2010453	0.046601687			
"ENSDARG00000076534"			0.03508771929824561	0.6255732725892179	1.9250332	1.9250332	1.1191986	1.4701006	1.2809583	1.9250332	0.8016942	0.080300376	0.21305518	0.02133222			
"ENSDARG00000018077"			0.018518518518518517	0.6255732725892179	1.5349556	1.5349556	1.2247794	1.2648467	1.3169544	1.5349556	0.47522542	0.002036319	0.043922544	0.07248683			
"ENSDARG00000038612"			0.019230769230769232	0.6255732725892179	1.644775	1.644775	1.275685	1.0710043	1.013201	1.644775	0.091337286	0.50071156	0.92668986	0.03809868			
"ENSDARG00000052978"			0.02	0.6255732725892179	-1.5744648	1.5744648	-1.19361	-1.5744648	-1.3823022	-1.449329	0.24365465	0.04089034	0.070516504	0.06111987			
"ENSDARG00000094131"			0.03773584905660377	0.6255732725892179	1.7863003	1.7863003	1.0438536	-1.02687	1.0936276	1.7863003	0.7463742	0.9255516	0.56552714	0.024756774			
"ENSDARG00000094243"			0.038461538461538464	0.6255732725892179	-1.6717441	1.6717441	-1.1761384	-1.2119517	-1.0720841	-1.6717441	0.4803764	0.3498494	0.62206703	0.19859329			
"ENSDARG00000019588"			0.03389830508474576	0.6255732725892179	-1.615554	1.615554	-1.1255298	-1.3146564	-1.615554	-1.4370084	0.572452	0.02916104	2.2011792E-4	0.10543318			
"ENSDARG00000001817"			0.03389830508474576	0.6255732725892179	-1.7751849	1.7751849	1.1645733	-1.2227066	-1.7751849	-1.4224849	0.5413225	0.3396316	0.059810426	0.13858016			
"ENSDARG00000100700"			0.01639344262295082	0.6255732725892179	-1.6270312	1.6270312	-1.3169609	-1.3508584	-1.6270312	-1.5443149	0.03376528	0.05003698	0.019070162	0.11232278			
"ENSDARG00000067848"			0.016666666666666666	0.6255732725892179	1.5156598	1.5156598	-1.0249442	1.0850924	1.2632015	1.5156598	0.64991003	0.21561466	0.019018436	0.0066750096			
"ENSDARG00000052496"			0.037037037037037035	0.6255732725892179	-1.7151567	1.7151567	-1.1302489	-1.7151567	-1.1048648	-1.6196965	0.4374516	0.017900795	0.41012466	0.085302256			
"ENSDARG00000095179"			0.01694915254237288	0.6255732725892179	2.6125	2.6125	1.4404609	1.7996705	1.3937668	2.6125	0.15229954	0.051043082	0.25807256	0.020396449	0.3	3.0	
"ENSDARG00000104805"			0.03508771929824561	0.6255732725892179	1.8433127	1.8433127	1.2612861	1.0107423	1.4474127	1.8433127	0.5675933	0.94995093	0.1531646	0.046483975			
"ENSDARG00000089943"			0.018518518518518517	0.6255732725892179	-1.7039536	1.7039536	1.0606331	-1.1840758	-1.1948857	-1.7039536	0.5753161	0.23322822	0.12947719	0.08946763			
"ENSDARG00000074379"			0.017241379310344827	0.6255732725892179	1.6568677	1.6568677	-1.0775709	1.0800327	1.321255	1.6568677	0.65074706	0.62187344	0.17466281	0.041936			
"ENSDARG00000042937"			0.017857142857142856	0.6255732725892179	2.085671	2.085671	1.1423726	1.4459596	1.4554591	2.085671	0.4157296	0.12557237	0.08510461	0.024900407	0.3	3.0	
"ENSDARG00000003046"			0.041666666666666664	0.6284171344886502	-1.5419198	1.5419198	-1.099831	-1.2349898	-1.3067343	-1.5419198	0.44380713	0.03470507	0.024846055	0.21533224			
"ENSDARG00000099995"			0.038461538461538464	0.6255732725892179	-1.7519381	1.7519381	-1.1571074	-1.2794536	-1.4149299	-1.7519381	0.3912402	0.16458234	0.024881551	0.17356727			
"ENSDARG00000079074"			0.03773584905660377	0.6255732725892179	-1.5458643	1.5458643	-1.0506679	-1.3303797	-1.2257926	-1.5458643	0.64946145	0.15601474	0.0964062	0.2243695			
"ENSDARG00000094677"			0.03773584905660377	0.6255732725892179	-1.5407894	1.5407894	-1.0667524	-1.2360103	-1.1407167	-1.5407894	0.6589439	0.30684093	0.40679184	0.14988324			
"ENSDARG00000078016"			0.018518518518518517	0.6255732725892179	-1.5596575	1.5596575	-1.1782173	-1.1751872	-1.3926653	-1.5596575	0.5200405	0.2471906	0.05994079	0.027472578			
"ENSDARG00000052703"			0.020833333333333332	0.6255732725892179	1.5271738	1.5271738	1.2195966	1.2296228	1.0267856	1.5271738	0.14916883	0.1565928	0.887781	0.033032008			
"ENSDARG00000098805"			0.038461538461538464	0.6255732725892179	-1.9426069	1.9426069	-1.5040598	-1.0643528	-1.3971697	-1.9426069	0.102816984	0.8195291	0.22081058	0.030137883			
"ENSDARG00000052766"			0.03636363636363636	0.6255732725892179	-1.8087916	1.8087916	-1.0136265	-1.2986076	-1.433361	-1.8087916	0.9490045	0.34086367	0.10506056	0.21452808			
"ENSDARG00000074915"			0.04	0.6255732725892179	1.6140522	1.6140522	1.1954008	1.082991	1.0402571	1.6140522	0.10889381	0.5252558	0.7424625	0.0036669536			
