Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:55.08
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000094423"			0.02040816326530612	0.9332578673307674	2.4272935	2.4272935	2.4272935	1.7576822	1.6048682	2.0330062	0.08725661	0.20542699	0.27022192	0.1337208			
"ENSDARG00000045089"			0.018867924528301886	0.9332578673307674	-2.0733104	2.0733104	-1.4210018	-1.0712259	-2.0733104	-1.6460645	0.04738219	0.7173645	0.008443241	0.12686655	0.03	0.3	
"ENSDARG00000016704"			0.02	0.9332578673307674	-1.5009109	1.5009109	-1.3622217	-1.3415848	-1.3165927	-1.5009109	0.13034734	0.045934286	0.124294214	0.0065469192			
"ENSDARG00000011042"			0.02127659574468085	0.9332578673307674	-1.5102262	1.5102262	-1.5102262	-1.341741	-1.4247895	-1.2850522	0.0056803706	0.018583111	0.0105428295	0.038124744			
"ENSDARG00000054352"			0.04	0.9332578673307674	-1.8994317	1.8994317	-1.8994317	-1.2257104	-1.3990939	-1.4578903	0.024851978	0.1570198	0.051641632	0.04447896			
"ENSDARG00000053744"			0.019230769230769232	0.9332578673307674	1.6555474	1.6555474	1.6555474	1.4396882	1.19285	1.5049758	0.046937663	0.17436044	0.25642195	0.09217186			
"ENSDARG00000093117"			0.0392156862745098	0.9332578673307674	1.5811696	1.5811696	1.3145895	1.3433841	1.2935318	1.5811696	0.3297932	0.31813702	0.34405237	0.15366158			
"ENSDARG00000013950"			0.018867924528301886	0.9332578673307674	1.5326506	1.5326506	1.3141385	1.2427074	1.3702328	1.5326506	0.038913976	0.05583023	0.022583023	0.01277681			
"ENSDARG00000057100"			0.04	0.9332578673307674	-1.8365418	1.8365418	-1.6748483	-1.7427163	-1.8365418	-1.3138692	0.055501502	0.010516286	0.012016506	0.175127			
"ENSDARG00000030512"			0.018867924528301886	0.9332578673307674	1.5932559	1.5932559	1.3982692	1.3645176	1.3906056	1.5932559	0.005587899	0.00826943	0.21373326	0.005227298			
"ENSDARG00000018788"			0.03571428571428571	0.9332578673307674	1.6855694	1.6855694	-1.2856975	1.5237606	1.5709813	1.6855694	0.39087826	0.03849429	0.033762757	0.077406034			
"ENSDARG00000062042"			0.0425531914893617	0.9332578673307674	1.5933053	1.5933053	1.5933053	1.2430614	1.4885507	1.4464304	0.02179859	0.255596	0.031818006	0.04779302			
"ENSDARG00000100607"			0.038461538461538464	0.9332578673307674	1.530396	1.530396	1.2997141	1.530396	1.222892	1.0884998	0.07977608	0.0125943655	0.021308845	0.28620926			
"ENSDARG00000111043"			0.019230769230769232	0.9332578673307674	-1.6069019	1.6069019	-1.2127075	-1.6069019	-1.2067431	-1.4967911	0.3021108	0.03458361	0.23096357	0.049030166			
"ENSDARG00000117626"			0.017857142857142856	0.9332578673307674	-1.5767592	1.5767592	-1.5767592	-1.4771806	-1.5059615	1.0934076	0.01760977	0.037780914	0.012939931	0.6198886			
"ENSDARG00000096784"			0.037037037037037035	0.9332578673307674	1.7307874	1.7307874	1.3012774	1.4521811	1.4561096	1.7307874	0.33061084	0.01708045	0.016205007	0.0102895675			
"ENSDARG00000018418"			0.017543859649122806	0.9332578673307674	-1.8056587	1.8056587	-1.3012555	-1.5222089	-1.1431359	-1.8056587	0.26324356	0.11590403	0.48690796	6.415924E-4			
"ENSDARG00000045067"			0.018518518518518517	0.9332578673307674	-1.5336808	1.5336808	-1.0610871	-1.2281452	-1.1755764	-1.5336808	0.62705433	0.32582736	0.1723895	0.01321826			
"ENSDARG00000076196"			0.04	0.9332578673307674	-1.6322966	1.6322966	-1.0820943	-1.6322966	-1.3865759	-1.618044	0.75444996	0.14068776	0.27998522	0.15422381			
"ENSDARG00000079901"			0.017241379310344827	0.9332578673307674	1.6391803	1.6391803	1.5373954	1.6391803	1.5272449	1.1792926	0.034252387	0.03030484	0.026609132	0.19144152			
"ENSDARG00000012060"			0.018867924528301886	0.9332578673307674	-1.6615664	1.6615664	-1.1672056	-1.0777725	-1.3207017	-1.6615664	0.45477855	0.7202985	0.23737423	0.109488755			
"ENSDARG00000055798"			0.03773584905660377	0.9332578673307674	1.7730144	1.7730144	1.735958	1.7600566	1.7444013	1.7730144	0.112619966	0.09847231	0.10730232	0.10415521			
"ENSDARG00000033754"			0.022222222222222223	0.9332578673307674	1.6300648	1.6300648	1.6300648	1.439212	1.4665889	1.320934	0.03081572	0.038875107	0.030160723	0.06991949			
"ENSDARG00000043102"			0.020833333333333332	0.9332578673307674	1.6249149	1.6249149	1.6249149	1.5400307	1.4922249	1.311848	0.0053201867	0.010383583	0.040511645	0.0010612364			
"ENSDARG00000058219"			0.01694915254237288	0.9332578673307674	-1.5024897	1.5024897	-1.0192957	-1.1436869	-1.2859814	-1.5024897	0.88534486	0.21733949	0.02208841	0.058728743			
"ENSDARG00000014849"			0.04081632653061224	0.9332578673307674	1.6236162	1.6236162	1.4895167	1.6236162	1.5933765	1.5942256	0.037747175	0.011682177	0.017215554	0.021467965			
"ENSDARG00000069375"			0.02	0.9332578673307674	1.8208771	1.8208771	1.8208771	1.3285662	1.6537448	1.7591976	0.002793946	0.03461893	0.014667734	0.047625802			
"ENSDARG00000054055"			0.04	0.9332578673307674	1.5662609	1.5662609	1.3209895	1.3897495	-1.0731866	1.5662609	0.17470147	0.07122896	0.6478023	0.049810246			
"ENSDARG00000097700"			0.038461538461538464	0.9332578673307674	1.9438734	1.9438734	1.7389442	1.1425214	1.9438734	1.7529784	0.15087444	0.66484094	0.09141996	0.13062039			
"ENSDARG00000097653"			0.019230769230769232	0.9332578673307674	1.7684488	1.7684488	1.6726748	1.5468006	1.700275	1.7684488	0.049230114	0.08506419	0.118171744	0.049728308			
"ENSDARG00000037607"			0.020833333333333332	0.9332578673307674	-1.5418164	1.5418164	-1.5376941	-1.5418164	-1.4311258	-1.2704939	0.03392217	0.031430908	0.05273404	0.13403913			
