Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DHEP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:04.25
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000074636"			0.0392156862745098	0.9497729654208872	1.5796939	1.5796939	1.3327321	1.1957402	1.5796939	1.5158252	0.28283167	0.28569087	0.039775055	0.034673784			
"ENSDARG00000090946"			0.04	0.9497729654208872	1.6933706	1.6933706	1.1280426	1.3406389	1.4738263	1.6933706	0.6373038	0.2994449	0.21130271	0.077869356			
"ENSDARG00000013926"			0.0425531914893617	0.9497729654208872	1.5085421	1.5085421	1.3930663	1.5085421	1.4158748	1.3963308	0.06053422	0.039722323	0.009025986	0.004954514			
"ENSDARG00000062182"			0.041666666666666664	0.9497729654208872	1.5179077	1.5179077	1.4935735	1.3547561	1.3758647	1.5179077	0.057949685	0.09064525	0.044843875	0.017249838			
"ENSDARG00000009046"			0.0196078431372549	0.9497729654208872	-1.6121274	1.6121274	-1.3616009	-1.1236048	-1.4592968	-1.6121274	0.032862097	0.43861917	0.023874257	0.0060658474			
"ENSDARG00000096843"			0.04081632653061224	0.9497729654208872	-1.7606391	1.7606391	1.159146	-1.0482845	-1.7606391	-1.5458418	0.52776074	0.8276079	0.08190122	0.124923885			
"ENSDARG00000044098"			0.03508771929824561	0.9497729654208872	2.084943	2.084943	1.2864451	1.140345	1.5645617	2.084943	0.044864476	0.4734217	0.033515356	0.14940591			
"ENSDARG00000108038"			0.03571428571428571	0.9497729654208872	1.5537574	1.5537574	1.1657398	1.1179622	1.2442186	1.5537574	0.45932093	0.26154006	0.10978472	0.060628846			
"ENSDARG00000100515"			0.01818181818181818	0.9497729654208872	1.7150524	1.7150524	1.2182531	1.2787797	1.3970335	1.7150524	0.09090296	0.16408034	0.02680104	0.033492662			
"ENSDARG00000037421"			0.01818181818181818	0.9497729654208872	2.1843195	2.1843195	1.4333246	1.3759984	1.6177448	2.1843195	0.06521235	0.06390759	0.017519582	0.003058929	0.3	3.0	
"ENSDARG00000055752"			0.018867924528301886	0.9497729654208872	2.5968401	2.5968401	1.7397248	1.880235	2.132289	2.5968401	0.11929618	0.009026732	0.009725051	0.008737168	0.03	0.3	
"ENSDARG00000091211"			0.02040816326530612	0.9497729654208872	1.6218865	1.6218865	1.5771683	1.3973114	1.3326386	1.6218865	0.03674698	0.06839594	0.092879154	0.06467323			
"ENSDARG00000077009"			0.02	0.9497729654208872	1.5382385	1.5382385	1.1358727	1.2404618	1.0856283	1.5382385	0.26219162	0.11491567	0.63013625	0.045012124			
"ENSDARG00000004931"			0.018867924528301886	0.9497729654208872	1.5085016	1.5085016	1.0598054	1.106389	1.5085016	-1.1669954	0.641351	0.25576124	0.0041966443	0.13061142			
"ENSDARG00000102517"			0.038461538461538464	0.9497729654208872	-2.0392647	2.0392647	-1.3028698	-1.3545308	-1.5092218	-2.0392647	0.19262692	0.1598902	0.18006624	0.077235706			
"ENSDARG00000093304"			0.0392156862745098	0.9497729654208872	1.6534595	1.6534595	1.1217513	1.0202246	1.1915784	1.6534595	0.25501648	0.8660345	0.24888061	0.13584776			
"ENSDARG00000068738"			0.043478260869565216	0.9497729654208872	-1.5486484	1.5486484	-1.5486484	-1.2304738	-1.4580929	-1.1862853	0.002033221	0.24949679	0.010560619	0.19639556			
"ENSDARG00000058571"			0.038461538461538464	0.9497729654208872	-1.5320215	1.5320215	-1.31285	-1.4110582	-1.3689413	-1.5320215	0.046017632	0.020984303	0.014974578	0.04625521			
"ENSDARG00000074721"			0.04	0.9497729654208872	-1.7260801	1.7260801	-1.1946851	1.1963376	-1.0865347	-1.7260801	0.46113774	0.43329418	0.73553896	0.13759618			
"ENSDARG00000092510"			0.04081632653061224	0.9497729654208872	1.7323803	1.7323803	1.7323803	1.4754881	1.3884991	1.2814165	0.007204319	0.03349758	0.11580923	0.091084495			
"ENSDARG00000068380"			0.01818181818181818	0.9497729654208872	-1.5917119	1.5917119	-1.5917119	1.0855404	-1.2357346	1.2618273	0.05583233	0.59367245	0.31387112	0.20945936			
"ENSDARG00000102349"			0.03636363636363636	0.9497729654208872	-1.6004243	1.6004243	-1.1304544	-1.2357767	-1.217378	-1.6004243	0.60859686	0.26910448	0.30755833	0.062784165			
"ENSDARG00000004473"			0.038461538461538464	0.9497729654208872	1.6346124	1.6346124	1.4098821	1.5788113	1.6346124	1.5478991	0.09819659	0.029579045	0.025653899	0.04352595			
"ENSDARG00000079926"			0.04	0.9497729654208872	1.5376449	1.5376449	1.1003801	-1.2019829	-1.1371899	1.5376449	0.16405058	0.41691953	0.55668956	0.15025955			
"ENSDARG00000095409"			0.03773584905660377	0.9497729654208872	-1.6038986	1.6038986	-1.2246021	-1.6038986	1.2736657	1.4619849	0.50653607	0.024497334	0.12586376	0.044090666			
"ENSDARG00000059363"			0.019230769230769232	0.9497729654208872	1.6849998	1.6849998	1.3611158	1.6474812	1.5642097	1.6849998	0.2519804	0.023070395	0.033819698	0.02187575			
"ENSDARG00000074505"			0.0196078431372549	0.9497729654208872	-1.920391	1.920391	-1.5197762	-1.2706349	-1.257413	-1.920391	0.015594063	0.0772454	0.194896	0.011613533			
"ENSDARG00000101878"			0.04	0.9497729654208872	1.6008819	1.6008819	1.210115	1.251903	1.1555262	1.6008819	0.29891104	0.24317911	0.45120654	0.044367682			
"ENSDARG00000086739"			0.0392156862745098	0.9497729654208872	1.5993915	1.5993915	1.1215956	1.2025815	1.5293133	1.5993915	0.5107084	0.013835626	0.113954484	0.009788049			
"ENSDARG00000098980"			0.034482758620689655	0.9497729654208872	-1.5700258	1.5700258	-1.0180603	-1.1243757	-1.3444791	-1.5700258	0.90524584	0.4744594	0.16197196	0.05666015			
"ENSDARG00000028012"			0.018518518518518517	0.9497729654208872	1.811166	1.811166	1.0049788	1.217129	1.6957263	1.811166	0.9757261	0.47140774	0.013774406	0.004213208			
"ENSDARG00000007097"			0.03773584905660377	0.9497729654208872	-1.6334766	1.6334766	-1.3163956	-1.4206116	-1.6334766	-1.5030082	0.059293717	0.1644842	0.017328136	0.019866941			
"ENSDARG00000102724"			0.019230769230769232	0.9497729654208872	1.6169333	1.6169333	1.09547	1.4951254	1.6169333	1.3669497	0.3807107	0.036203988	0.015705941	0.110878356			
"ENSDARG00000117647"			0.0425531914893617	0.9497729654208872	-2.1772904	2.1772904	-1.391791	-1.0505081	-1.2651498	-2.1772904	0.38061252	0.86069596	0.44090188	0.10918767			
