Williams Trend Test
Data Source: no_log_quant_fastbmd_input_P1400_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:07.12
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL	LOTEL
"ENSDARG00000097559"			0.03571428571428571	0.9748910365738108	2.3846936	2.3846936	1.8592952	1.786747	2.3846936	1.3687081	1.7554533	0.15848942	0.15887468	0.085634105	0.37619492	0.17182212			
"ENSDARG00000061049"			0.037037037037037035	0.9748910365738108	-1.6179004	1.6179004	-1.4927553	-1.1862248	-1.4431612	-1.4061047	-1.6179004	0.024644954	0.38455418	0.16006146	0.2591452	0.012399409			
"ENSDARG00000038792"			0.020833333333333332	0.9748910365738108	1.9294795	1.9294795	1.2849281	1.1092407	1.3852507	1.1762092	1.9294795	0.3109458	0.6428245	0.27379405	0.48941073	0.05167951			
"ENSDARG00000074064"			0.046511627906976744	0.9748910365738108	-1.6051098	1.6051098	-1.6051098	-1.4855555	-1.4079826	-1.1092693	-1.1518656	0.032472834	0.04005641	0.06319368	0.58826655	0.30012017			
"ENSDARG00000092383"			0.01818181818181818	0.9748910365738108	1.5311366	1.5311366	1.3112216	1.304866	-1.0521114	1.1944684	1.5311366	0.043690503	0.035778698	0.48125926	0.40177414	0.008190493			
"ENSDARG00000090903"			0.017857142857142856	0.9748910365738108	-1.6305633	1.6305633	-1.0882084	-1.0643063	-1.103264	-1.2015208	-1.6305633	0.620665	0.71748316	0.53587383	0.29861724	0.12834531			
"ENSDARG00000103518"			0.02	0.9748910365738108	-1.9814991	1.9814991	-1.4474037	-1.2390878	-1.8927834	-1.8887414	-1.9814991	0.096039325	0.34708184	0.02598525	0.32450008	0.040020976			
"ENSDARG00000062122"			0.04081632653061224	0.9748910365738108	-1.9836563	1.9836563	-1.9836563	-1.428305	-1.6575502	-1.5699428	-1.8970956	0.037286747	0.045681614	0.09846643	0.34236374	0.010852419			
"ENSDARG00000074989"			0.0392156862745098	0.9748910365738108	-1.5821613	1.5821613	-1.1647346	-1.1455082	-1.5821613	-1.3538823	-1.2154595	0.057230253	0.17017306	0.046251126	0.41374972	0.1497779			
"ENSDARG00000069640"			0.043478260869565216	0.9748910365738108	1.5262654	1.5262654	1.4717541	1.2102642	1.4167184	1.1307567	1.5262654	0.062276773	0.449949	0.08158252	0.3897785	0.050290603			
"ENSDARG00000077874"			0.046511627906976744	0.9748910365738108	1.8308678	1.8308678	1.2040447	1.09225	1.3212842	1.16874	1.8308678	0.6463639	0.82213897	0.5077029	0.7715851	0.21341276			
"ENSDARG00000036637"			0.018518518518518517	0.9748910365738108	1.8901602	1.8901602	1.6172754	1.3589959	1.8901602	1.5798564	1.6064367	0.031130059	0.0037485675	2.8497653E-4	0.39321193	0.018531926			
"ENSDARG00000052520"			0.020833333333333332	0.9748910365738108	1.7470515	1.7470515	1.7470515	1.4526333	-1.0225465	1.2151703	1.105028	1.0382983E-4	0.002600997	0.7347056	0.007876977	0.044395633			
"ENSDARG00000100792"			0.04	0.9748910365738108	-1.5834608	1.5834608	-1.1206429	-1.0515896	-1.0283918	-1.3144356	-1.5834608	0.5168154	0.7099188	0.8476377	0.10012771	0.13386479			
"ENSDARG00000093494"			0.0392156862745098	0.9748910365738108	1.5460027	1.5460027	1.2118068	1.300887	1.4272612	1.5460027	1.5264385	0.24613027	0.0073639164	0.18935774	0.087369055	0.057450242			
"ENSDARG00000078138"			0.018867924528301886	0.9748910365738108	1.7872263	1.7872263	1.6367723	1.4589972	1.7872263	1.7626134	1.3753855	0.023656255	0.016181866	0.0040555536	0.1709837	0.004505616			
"ENSDARG00000036272"			0.043478260869565216	0.9748910365738108	-1.555813	1.555813	-1.2923527	-1.2065214	-1.555813	-1.2901475	-1.53222	0.1614853	0.39256436	0.048218105	0.20226102	0.05841749			
"ENSDARG00000100788"			0.017543859649122806	0.9748910365738108	1.6466429	1.6466429	1.173742	1.1911417	1.55538	1.6466429	1.2774711	0.38368577	0.292558	0.051247835	0.1535655	0.17515497			
