"#NAME"	"SANT_10-1_A"	"SANT_10-1_B"	"SANT_10-1_C"	"SANT_10-2_A"	"SANT_10-2_B"	"SANT_10-2_C"	"SANT_10-3_B"	"SANT_10-3_C"	"SANT_10-4_A"	"SANT_10-4_B"	"SANT_10-4_C"	"SANT_3uM_A"	"SANT_3uM_B"	"SANT_3uM_C"
"ENSDARG00000090904"	4.43698398402436	4.36440091539377	4.7756754653514	4.45591638212939	4.7030162814353	4.5227301874836	4.43698398402436	4.41376785560473	4.26763274519953	4.04893332129482	4.28732566074739	4.64293121166028	5.21564200813945	4.98326511807795
"ENSDARG00000058892"	6.92067974735453	6.88655927397986	6.95991950366731	6.79145917427903	7.36634266429912	6.9183862893128	7.60468695399461	7.10580750677852	7.06426120541907	7.24005983440414	7.06816109945052	5.78050490056049	7.14320796877471	6.59865755511041
"ENSDARG00000062884"	5.69769178674614	5.68163847316223	5.15418115015788	5.02169055238461	5.28467920106964	5.10202557722652	5.75960827543189	5.90608619641466	5.73431632156191	6.00825929787678	5.70391340990957	4.25635759026084	5.45402770805834	4.87270350763202
"ENSDARG00000004243"	5.64611629484499	5.25357831812391	5.66981632627357	5.6151530252216	5.53799310336414	5.88488013778327	6.27780480853436	5.75712503127756	5.27917898181212	5.91079866807229	5.51894945569544	4.05558399303707	5.51673324886539	4.98326511807795
"ENSDARG00000100836"	7.14292870075831	7.12405667271064	7.58269496562724	7.47346937091341	7.10661574343765	7.33210451987127	7.28517456274616	7.37452594915437	7.13803001421253	6.7702042990589	7.22196576901243	7.83659341977472	7.55848481918786	7.55271843294321
"ENSDARG00000096269"	5.79946152611701	5.71313986694454	6.38067424349289	5.79405577827281	5.75712503127756	6.20020336232093	5.40988304739345	6.10135565859239	6.13518419867386	6.54185053362643	6.04988192574138	5.39468059841014	5.17873854798126	5.91319338994518
"ENSDARG00000082968"	4.71055150492439	3.91481643579519	4.56424283170918	4.45591638212939	4.20092411929506	3.80934462703585	4.09269641117193	3.00141998608663	3.38614066438024	3.5945145665766	3.40045778710461	4.98326511807795	4.63121924407843	4.98326511807795
"ENSDARG00000060413"	4.21360541826308	4.01403489527362	4.01697997242333	4.01403489527362	3.79241325580008	3.91481643579519	4.5719002770147	4.07559170155083	3.82156690677819	2.76838902836526	4.20092411929506	4.7756754653514	4.30822857988447	4.04893332129482
"ENSDARG00000002241"	3.22071886256442	4.01403489527362	4.19589631015996	4.37942374318204	4.96137584930878	4.5227301874836	5.04340128670636	4.41376785560473	4.92442052342914	5.20740658872484	4.90727347090612	4.16132054363167	4.72710366820409	4.58343730331146
"ENSDARG00000079860"	6.69579394094	6.5997254366437	6.5560824286794	6.38610153928122	6.36051358622493	6.51769816612897	6.9475286785966	6.41490147258226	6.7662789317679	6.9825254697747	6.61415821102216	5.56007845034059	6.75502893648609	5.9960709197698
"ENSDARG00000097928"	4.66724667920742	5.44577453548508	5.3783741607893	5.12213995296223	5.3783741607893	5.85499011566578	5.6151530252216	5.64611629484499	5.78682099238581	5.6151530252216	5.30419105244722	4.64293121166028	5.11598178902986	4.71055150492439
"ENSDARG00000017653"	5.58016039260791	5.68163847316223	5.66981632627357	5.65265256481483	5.45402770805834	5.75712503127756	5.33860776116077	5.75712503127756	4.84162727136982	5.24112124226897	5.73431632156191	6.32014432476813	5.75960827543189	6.18893038086928
"ENSDARG00000114516"	10.4718927153749	10.5336624923437	10.5200781505708	10.7657641004881	10.3241800255954	10.4611119033537	10.2909644705496	10.264104278231	10.5181911051716	9.98898738293794	10.3269750297216	11.2591135206213	10.6222096772172	10.7758825269206
"ENSDARG00000039979"	5.82636903658822	5.97508427201817	5.79047000592123	5.88954293410603	6.12457428021967	6.00242456825993	5.88148486443406	6.11460719815285	5.78682099238581	5.27917898181212	6.11907798081935	6.51769816612897	6.42943372534783	6.61310128231302
"ENSDARG00000062024"	9.7886526904663	10.0634492255118	10.0693209062906	9.53466289347758	10.2361895404629	10.2384091993277	10.6767039461575	10.3044461666996	10.3380103773338	10.7909156662738	10.187099260982	8.72534808490159	10.315404503892	9.77269805760419
"ENSDARG00000013072"	5.92767999958105	6.09667592958983	6.42582166646192	5.95211622841924	6.30045898493509	6.0939395469543	6.6634571804856	5.90608619641466	6.49001193141309	6.64300123605202	6.66431236917603	5.73635697529025	5.9960709197698	6.16812489183512
"ENSDARG00000011326"	4.43698398402436	3.91481643579519	4.67512597528922	4.76509040052335	4.74913929490323	4.81245376246096	3.56444408331874	4.00814474097419	4.71055150492439	4.19589631015996	4.10352449536265	4.98326511807795	5.07971550798369	5.02518409527611
"ENSDARG00000038713"	4.85912756552959	4.8267013356386	5.34410890786186	4.63121924407843	4.7030162814353	5.40988304739345	4.86180433020235	4.41376785560473	5.08360463541386	5.05359166019676	5.48688551958601	4.05558399303707	4.77240377323617	4.22338371833842
"ENSDARG00000068240"	3.98659502481684	3.91481643579519	4.26763274519953	4.20092411929506	4.38801618844759	4.17992652891037	4.36440091539377	3.7823475098566	4.07559170155083	3.5945145665766	3.55733439235081	4.85912756552959	4.8267013356386	4.13293662289443
"ENSDARG00000076534"	4.71055150492439	5.06191957717753	5.22873125939669	5.0766391707057	5.03606774110687	5.48456969975084	5.30305859317124	4.30822857988447	5.00909010838017	4.41376785560473	4.50667464996403	5.65265256481483	5.85999267062951	5.25153766439557
"ENSDARG00000018077"	6.6634571804856	6.5560824286794	6.3285977299587	6.40839052780316	6.45985394131584	6.50516413007053	6.13910042105975	6.68362529439848	6.13518419867386	6.05121161703905	6.17012614531761	7.01712702546901	6.80048539181076	6.39349938624904
"ENSDARG00000038612"	4.43698398402436	4.19589631015996	3.91481643579519	4.20092411929506	4.33054770600149	4.25635759026084	4.43698398402436	4.59285086563685	4.34970159725096	3.94031097266973	4.20092411929506	4.85912756552959	4.57564794986428	5.20983139814793
"ENSDARG00000052978"	6.84369279179225	6.94346362395355	6.59865755511041	6.90721705414752	6.55471751275456	6.36051358622493	7.0973848222326	6.91664095398814	6.9825254697747	7.49839036852752	7.30611689656391	6.68613064075034	6.81350327623193	6.68124317032271
"ENSDARG00000094131"	4.06269368400499	3.67639362752783	3.67639362752783	4.30384282669417	3.19212395357433	3.41738915834038	3.799522946768	3.67639362752783	3.99324569655909	3.47753541835637	3.55733439235081	4.7756754653514	4.17992652891037	4.58343730331146
"ENSDARG00000094243"	4.66724667920742	5.15418115015788	5.15418115015788	4.37942374318204	4.91750184205395	5.14793945385106	4.63121924407843	5.08524048147147	4.92442052342914	5.20740658872484	5.14503645495839	3.55733439235081	4.72710366820409	4.76836209263858
"ENSDARG00000019588"	6.07302140602278	6.16657524389945	6.20020336232093	6.30045898493509	6.58062841877299	6.4507434145984	6.88329519950996	6.45275434675394	6.78800019586459	6.84459279441937	6.88329519950996	5.94096053261128	6.52852897768157	6.47719107769207
"ENSDARG00000001817"	3.37516107419481	4.12176071277759	3.55733439235081	4.01403489527362	4.20092411929506	4.45297130497968	4.51125538835115	4.9537901776065	4.07559170155083	4.82353032711299	4.63904208423011	3.76325550915723	4.11673290364249	4.13293662289443
"ENSDARG00000100700"	4.55138721270159	4.51125538835115	4.11673290364249	4.90596897533379	4.55577296589189	4.5227301874836	4.63121924407843	4.76509040052335	5.08360463541386	5.24112124226897	4.96137584930878	4.7756754653514	3.98659502481684	4.64293121166028
"ENSDARG00000067848"	11.7641577825879	11.7292714744253	11.814142242398	11.4953936306738	11.5000067981435	11.6543750830111	11.4331069523215	11.3600145029154	11.5374921082758	11.3282454752753	11.430580784307	12.0037915620406	12.0612998751493	12.0310661578274
"ENSDARG00000052496"	4.98772441872032	5.06191957717753	4.88799775321729	4.45591638212939	4.05558399303707	4.5227301874836	5.08360463541386	4.80928275393536	5.08360463541386	5.3783741607893	4.90727347090612	3.94031097266973	4.63121924407843	4.71055150492439
