E4,Counts
ENSDARG00000006079,6
ENSDARG00000006092,1218
ENSDARG00000006093,12
ENSDARG00000006094,587
ENSDARG00000006109,6
ENSDARG00000006110,18
ENSDARG00000006112,332
ENSDARG00000006120,204
ENSDARG00000006124,1022
ENSDARG00000006125,261
ENSDARG00000006128,277
ENSDARG00000006137,10
ENSDARG00000006151,30
ENSDARG00000006169,268
ENSDARG00000006174,5
ENSDARG00000006181,138
ENSDARG00000006192,317
ENSDARG00000006196,109
ENSDARG00000006200,1941
ENSDARG00000006202,1224
ENSDARG00000006206,8
ENSDARG00000006207,23
ENSDARG00000006215,558
ENSDARG00000006219,404
ENSDARG00000006220,1047
ENSDARG00000006225,420
ENSDARG00000006235,86
ENSDARG00000006240,92
ENSDARG00000006242,907
ENSDARG00000006251,284
ENSDARG00000006253,100
ENSDARG00000006257,616
ENSDARG00000006260,1531
ENSDARG00000006266,493
ENSDARG00000006272,138
ENSDARG00000006279,56
ENSDARG00000006283,433
ENSDARG00000006288,17
ENSDARG00000006290,92
ENSDARG00000006292,17
ENSDARG00000006299,105
ENSDARG00000006300,41
ENSDARG00000006301,366
ENSDARG00000006307,83
ENSDARG00000006308,30
ENSDARG00000006314,776
ENSDARG00000006316,1650
ENSDARG00000006332,373
ENSDARG00000006341,4
ENSDARG00000006345,86
ENSDARG00000006350,3
ENSDARG00000006353,148
ENSDARG00000006356,98
ENSDARG00000006368,19
ENSDARG00000006370,168
ENSDARG00000006372,0
ENSDARG00000006383,187
ENSDARG00000006385,90
ENSDARG00000006389,191
ENSDARG00000006392,64
ENSDARG00000006395,905
ENSDARG00000006396,364
ENSDARG00000006397,362
ENSDARG00000006399,341
ENSDARG00000006408,238
ENSDARG00000006409,18
ENSDARG00000006413,204
ENSDARG00000006420,336
ENSDARG00000006422,227
ENSDARG00000006427,2118
ENSDARG00000006434,19
ENSDARG00000006447,16
ENSDARG00000006456,51
ENSDARG00000006467,88
ENSDARG00000006468,37
ENSDARG00000006474,0
ENSDARG00000006477,146
ENSDARG00000006487,701
ENSDARG00000006491,26
ENSDARG00000006494,102
ENSDARG00000006497,1077
ENSDARG00000006501,0
ENSDARG00000006508,147
ENSDARG00000006514,106
ENSDARG00000006522,22
ENSDARG00000006524,844
ENSDARG00000006526,3296
ENSDARG00000006527,393
ENSDARG00000006544,17
ENSDARG00000006545,158
ENSDARG00000006546,284
ENSDARG00000006553,102
ENSDARG00000006560,3
ENSDARG00000006566,237
ENSDARG00000006567,3
ENSDARG00000006568,6
ENSDARG00000006577,43
ENSDARG00000006580,0
ENSDARG00000006584,431
ENSDARG00000006585,128
