	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000001930	8.475843416	8.513473485	8.682387318	8.770526696	8.648290665	8.80683879	8.570689683	8.732649398	8.691173018	8.523537433	8.872724116	8.597907608	8.659776733	8.758752688	8.736410043
ENSDARG00000001933	7.734498176	7.696879481	7.389233054	7.80033935	7.637611636	7.292916186	7.800828815	7.544808653	7.523600438	7.913832268	7.442095801	7.42200278	7.913412441	7.601338548	7.65984319
ENSDARG00000001937	6.700278519	6.707308121	7.440100233	6.559184162	6.30882754	6.119979867	7.050494742	6.283636439	6.00082094	6.741683602	7.070654993	5.48039463	6.35565483	6.252790584	6.905320941
ENSDARG00000001939	8.341565488	8.240324674	8.344714932	8.184756869	8.209116342	8.16359643	8.265836315	8.132619614	8.28726731	8.099328277	8.372999263	7.98353205	8.027366386	8.529013295	8.412029897
ENSDARG00000001940	9.966450131	9.970758032	9.69649946	9.956993866	9.842985735	9.875171233	9.84475925	9.861769586	9.770578622	9.901915295	9.778343122	9.762150544	9.953839384	9.853994085	9.812032057
ENSDARG00000001953	10.32740577	10.73903057	10.43879816	10.76433044	10.85577611	10.67728192	10.43860711	10.8129514	10.24266038	10.70998103	10.41924333	10.52218113	10.70759539	9.912453784	10.2955051
ENSDARG00000001968	6.345715442	5.976703107	6.077741992	6.153655363	6.536698591	5.855357572	6.058261052	6.413100011	6.294048102	6.307661711	6.391878395	6.161428992	5.540629858	5.304427795	6.137222355
ENSDARG00000001969	8.728835193	8.991877423	8.743238728	8.657359558	8.906015364	8.719768702	8.862559066	8.63289361	8.841623935	8.793154384	8.775067507	8.962034071	8.943346988	8.877643139	8.989341043
ENSDARG00000001971	5.518994554	5.30674549	5.155278978	5.155278978	4.530114574	4.884516686	4.810431237	4.789504708	4.7865451	4.388660023	5.168401526	5.546118853	5.191466522	4.691687227	4.554703179
ENSDARG00000001975	9.330068222	9.325451951	9.202026355	9.351280965	9.326903477	9.048304161	9.271250859	9.248082694	9.24163834	9.121704871	9.087104223	9.360680347	9.486901826	9.26348502	9.267828998
