gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000069744	Poly2	4.07881873821583	1.22141475779885	-0.520372614416212	NA	NA	0.361102880180692	16.66	0.800383697508862	4.102975553	FALSE	2.59656416146386	2.46550547695685	2.71651711902296	3.74187267281931	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000070918	Lin	-0.389950873333786	NA	7.4301287456167	NA	NA	0.37537185247324	17.03	0.949085349011564	7.33421846533333	FALSE	1.20856796263949	0.875784572121856	1.95238222370749	6.95884661286009	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000070960	Lin	-0.354458530922783	NA	7.73149329935832	NA	NA	0.245727951469244	4.32	0.295199217715036	7.65713989033333	FALSE	0.90301497242657	0.708620677370661	1.24447292030537	7.41141193886409	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000071495	Lin	-0.359597663857823	NA	5.11223470985412	NA	NA	0.450261343505865	22.48	0.898586187332865	5.118830003	FALSE	1.23378457279753	0.82575287532039	2.44664111300778	4.66856865949414	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000074210	Poly2	4.55714666195419	3.67566470929055	-1.21913348289599	NA	NA	0.476340029198193	24.97	0.318103194693489	4.26340711066667	TRUE	0.0505249135119824	NA	0.120977747797889	4.73974713986486	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000074802	Exp4	62.175990500541	0.782920975278993	NA	4.79340504548411	NA	0.496645429244078	26.22	0.374488251882986	4.74413652966667	FALSE	0.0119609658971502	0.0048500364041204	0.0228695039331185	4.24749110042259	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000075046	Lin	-0.277223380167764	NA	3.90145909495597	NA	NA	0.610114654567713	31.6	0.116488333877097	4.299371857	FALSE	0.76545453058726	0.443920364584327	8.03843068667758	3.68925720243229	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000075053	Lin	-0.361343955823049	NA	4.85365783698899	NA	NA	0.456279070798967	22.88	0.682609579631561	4.76627874033333	FALSE	1.50454480381784	1.00425532840174	3.00858669365815	4.30999966953437	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000075931	Exp2	-0.0343794141591327	NA	NA	10.7754928453809	NA	0.2479078335058	4.58	0.969353802055999	10.7300041766667	FALSE	0.802971295727088	0.435842698589462	1.165520743377	10.4820963431609	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000077688	Lin	-0.354061957385795	NA	8.16640851657748	NA	NA	0.347142077296765	14.68	0.992668320343596	8.15186245333333	FALSE	1.02153912476491	0.736469490860435	1.66940447963666	7.80472037603657	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000077799	Exp4	202.069750182912	1.14317873440504	NA	7.74465758212166	NA	0.32349988116874	13.36	0.666436722856857	7.806207296	TRUE	0.00211092122446749	0.00115100144131621	0.00335728625617829	8.12970717716874	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000077872	Lin	-0.51308726283484	NA	8.23244472710814	NA	NA	0.301197615273861	10.42	0.624557518502816	8.100537597	FALSE	0.844115167886202	0.685053252878267	1.09959713390434	7.79933998172614	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000077875	Exp2	-0.0710590147969522	NA	NA	5.86725628886098	NA	0.215340809814089	0.36	0.881470352105015	5.83484228266667	FALSE	0.607159523236571	0.317027055799777	0.89142667837456	5.61950147285258	TRUE	TRUE	TRUE	TRUE	TRUE
