#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
ENSDARG00000006862	97	96	124	2	81	28	98	74	93	21	87	98	35	6	75	62	39	105
ENSDARG00000006863	0	7	2	0	0	0	2	8	2	0	0	0	0	0	0	0	0	0
ENSDARG00000006865	11	3	42	0	18	1	47	5	22	0	3	2	0	0	18	19	15	16
ENSDARG00000006868	10	23	29	0	54	1	19	32	16	1	13	2	3	3	20	28	13	37
ENSDARG00000006869	0	0	9	0	7	2	14	6	12	0	7	0	0	0	1	5	2	3
ENSDARG00000006877	0	0	10	0	26	2	8	0	4	0	0	9	0	12	15	11	0	5
ENSDARG00000006878	72	140	1409	6	75	16	186	63	182	4	147	38	12	73	189	67	913	95
ENSDARG00000006889	31	26	25	2	44	3	24	27	27	0	13	1	13	16	42	9	7	13
ENSDARG00000006891	46	41	24	0	40	4	16	19	11	0	18	6	2	9	16	9	22	36
ENSDARG00000006892	28	17	73	0	60	4	24	53	53	9	47	10	14	9	19	5	14	41
ENSDARG00000006894	3	6	0	0	0	6	0	14	8	0	4	0	0	2	21	1	0	0
ENSDARG00000006896	6	14	8	0	10	1	7	5	6	0	18	0	0	3	31	0	4	8
ENSDARG00000006899	31	19	37	0	7	13	71	15	46	1	15	1	20	29	51	91	5	31
ENSDARG00000006900	24	18	26	0	17	12	63	26	30	0	58	0	4	6	44	20	10	10
ENSDARG00000006901	73	152	101	10	129	11	99	99	110	21	106	29	14	17	76	68	39	51
ENSDARG00000006911	0	5	5	6	4	0	9	4	6	0	3	0	0	2	0	0	1	0
ENSDARG00000006915	51	29	30	0	51	7	38	15	42	33	43	11	0	8	58	20	10	16
ENSDARG00000006921	186	380	358	4	365	27	332	235	309	40	313	50	53	108	219	215	83	172
ENSDARG00000006923	176	131	455	18	209	11	205	286	300	19	172	150	49	115	124	72	104	271
ENSDARG00000006924	22	8	53	0	37	1	34	11	31	2	19	5	1	10	30	18	5	25
ENSDARG00000006939	2	0	6	0	10	0	0	2	0	0	0	0	0	0	0	7	0	0
ENSDARG00000006944	1	7	0	0	0	4	14	0	0	0	0	0	0	0	7	0	2	1
ENSDARG00000006963	84	81	148	0	106	21	73	59	93	26	99	7	17	30	132	144	28	110
ENSDARG00000006978	50	13	48	0	17	0	37	19	71	0	20	0	1	26	12	33	14	18
ENSDARG00000006981	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	1	0	3
ENSDARG00000006983	54	15	59	0	90	17	75	51	37	1	38	2	33	38	20	51	17	22
ENSDARG00000006990	24	11	25	0	4	6	11	9	18	0	9	0	3	2	6	9	7	3
ENSDARG00000007009	41	52	64	0	51	16	48	47	60	4	46	7	2	7	37	18	15	51
ENSDARG00000007018	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000007024	75	109	112	9	145	4	202	129	259	13	164	1	4	21	89	68	21	28
ENSDARG00000007025	4	12	6	0	7	1	7	3	10	0	18	7	10	0	0	3	0	2
ENSDARG00000007034	180	212	254	2	209	19	221	183	179	14	216	36	34	67	154	88	64	185
ENSDARG00000007040	6	7	27	0	6	0	0	24	17	0	6	0	0	0	11	8	3	12
ENSDARG00000007045	52	50	67	6	44	25	47	32	43	4	36	3	144	9	26	26	11	36
ENSDARG00000007065	5	44	21	0	44	2	13	1	34	3	31	2	2	11	21	22	15	36
ENSDARG00000007067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000007077	38	52	88	0	129	19	118	64	83	22	132	18	0	21	50	9	47	61
ENSDARG00000007080	31	46	80	4	85	8	152	37	89	2	76	16	11	12	70	90	24	27
ENSDARG00000007081	55	33	55	0	67	2	45	20	24	12	38	0	12	14	109	54	6	40
ENSDARG00000007086	7	15	10	0	12	0	9	4	0	0	5	3	2	0	14	6	4	3
ENSDARG00000007092	87	41	86	0	84	20	74	49	95	15	81	10	0	13	55	29	19	28
ENSDARG00000007097	16	15	0	0	35	0	18	7	3	10	7	1	1	10	9	6	0	1
ENSDARG00000007098	389	436	694	18	496	98	722	364	568	62	400	104	76	151	489	341	240	328
ENSDARG00000007099	121	64	131	0	171	44	178	94	179	7	142	20	8	43	118	52	52	59
ENSDARG00000007108	1	0	24	0	8	0	32	0	14	0	1	0	5	1	2	8	7	10
ENSDARG00000007125	49	5	21	0	29	22	23	9	31	2	13	0	0	4	35	18	15	11
ENSDARG00000007127	11	11	60	1	27	1	25	2	25	0	24	0	21	2	10	10	10	8
ENSDARG00000007129	15	63	47	0	30	0	81	22	50	7	26	19	1	6	36	9	0	42
ENSDARG00000007130	9	14	15	0	8	22	2	1	8	0	18	3	0	9	25	0	11	16
ENSDARG00000007135	316	57	478	3	331	73	323	180	213	5	268	12	66	67	312	237	87	262
ENSDARG00000007136	124	110	241	2	161	90	189	67	216	14	153	29	17	59	162	81	88	116
ENSDARG00000007141	38	45	31	0	55	8	36	38	94	4	49	1	0	5	23	34	28	19
ENSDARG00000007149	255	293	490	0	385	12	283	176	331	35	224	80	50	165	239	419	96	230
ENSDARG00000007151	3	3	16	0	5	4	12	14	17	0	3	3	0	0	0	9	0	5
ENSDARG00000007169	8	12	14	0	22	0	6	13	15	0	15	8	1	25	39	6	11	3
ENSDARG00000007171	16	1	12	0	8	2	8	8	0	0	2	0	0	2	0	16	5	0
ENSDARG00000007172	357	398	610	10	584	55	449	342	444	56	333	98	78	181	430	378	198	331
ENSDARG00000007175	32	74	41	0	52	4	95	41	77	4	35	0	5	13	36	42	18	25
ENSDARG00000007179	164	211	378	16	356	24	260	162	175	13	179	20	41	82	203	139	72	186
ENSDARG00000007180	86	69	72	0	38	31	79	53	77	2	67	0	12	10	82	67	21	64
ENSDARG00000007181	27	68	27	0	10	0	44	0	42	0	30	5	0	0	5	9	29	2
ENSDARG00000007184	86	90	118	0	76	6	83	60	65	0	102	0	5	10	54	52	35	48
ENSDARG00000007186	2	1	0	0	20	1	18	0	6	0	0	0	8	0	32	5	10	2
ENSDARG00000007195	97	106	73	3	117	7	114	101	90	16	80	8	17	33	61	51	28	50
ENSDARG00000007196	0	29	14	0	27	11	25	3	60	0	28	0	0	0	11	21	0	4
ENSDARG00000007198	45	51	119	5	140	13	113	84	100	4	78	16	20	21	76	9	73	118
ENSDARG00000007199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000007207	24	4	21	0	18	9	8	33	6	0	11	0	3	3	16	19	0	14
ENSDARG00000007216	220	207	397	13	317	35	449	279	264	52	226	40	32	119	309	129	115	126
ENSDARG00000007217	11	28	17	3	35	6	17	1	25	0	15	1	15	6	30	34	4	15
ENSDARG00000007219	126	149	200	2	142	76	241	505	229	70	196	16	6	79	155	119	72	115
ENSDARG00000007220	93	188	349	6	225	53	217	152	124	33	142	23	120	59	173	168	41	169
ENSDARG00000007221	8	6	15	0	2	5	12	5	0	0	3	2	3	13	8	26	0	7
ENSDARG00000007231	117	145	177	2	189	14	156	103	141	10	127	24	40	29	130	56	32	78
ENSDARG00000007241	32	54	58	7	80	27	55	39	102	17	29	0	0	10	23	73	26	86
ENSDARG00000007244	41	51	65	0	79	4	99	44	49	0	57	1	15	6	67	23	19	26
ENSDARG00000007245	0	5	20	0	50	0	0	11	8	0	0	0	0	12	10	0	17	2
ENSDARG00000007247	74	37	162	1	120	24	160	86	146	22	138	21	4	61	103	28	70	95
ENSDARG00000007250	5	65	17	0	22	0	19	14	44	1	9	2	0	0	12	22	11	9
ENSDARG00000007257	36	46	30	0	27	1	48	29	33	21	22	0	8	11	46	4	3	28
ENSDARG00000007264	52	51	52	1	37	5	68	19	26	7	30	1	4	11	27	15	1	12
ENSDARG00000007271	121	128	176	0	286	2	90	59	129	2	117	55	3	12	79	63	40	148
ENSDARG00000007275	393	467	611	23	540	103	559	334	495	80	470	72	55	186	428	304	219	424
ENSDARG00000007276	83	178	294	1	227	5	178	72	199	11	334	27	4	73	159	63	22	50
