	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000074636	7.00783366894184	7.10028337439959	6.62140188187939	7.62080563834473	7.59089182831695	6.76098110669054	7.31395004457213	7.32060291706144	6.86867922161727	7.585087798546	7.62080563834473	7.5025600856294	7.62590663887599	7.5556351129655	7.34828785948929
ENSDARG00000074721	3.77915400636171	4.66874140270768	4.40657242784952	4.10316829433266	3.72316891304504	4.25823841532185	4.54207669430023	4.67358712827712	4.41467655984158	3.79291739819287	4.45717063136294	4.24517706799017	3.92282425941613	2.85367437656699	3.71547043188371
ENSDARG00000077009	6.5784327813757	6.53005517880848	6.49137317656445	6.60438242838653	6.95647685380978	6.59040416640028	7.02983659588732	6.88033591630976	6.62232226851439	6.67800189942976	7.00166399403168	6.27578563828023	7.39876395125133	6.90536147811418	7.15957391913427
ENSDARG00000077022	5.77098512351943	6.15234012489571	6.49137317656445	5.90480190863575	5.18300507204881	6.29784508830474	5.78442567706838	5.86166836655596	5.83581747364188	5.66155208752881	6.20342876591409	5.9226697258324	5.27917488285986	5.73958514036632	5.18300507204881
ENSDARG00000077288	3.3905298524307	3.93702384097175	2.86440531306324	3.91789088731988	3.72316891304504	4.18878281504963	3.70089441278536	4.01117505086818	3.84589084314454	4.57491048198068	3.907193242507	4.24517706799017	3.92282425941613	3.75219465602309	4.25823841532185
ENSDARG00000077631	4.73611744851905	4.33243897848013	4.20428811832364	3.6736805159187	3.2442035956638	3.82167854769072	3.82167854769072	4.10316829433266	3.84589084314454	3.55486581098203	4.11834021886944	4.15453434226597	4.18878281504963	4.01586767272761	4.18878281504963
ENSDARG00000077782	5.27079980973255	4.96840444916918	5.20816282310687	5.77098512351943	5.70888837445599	5.53938210068083	5.55117176947108	5.40900651334748	5.53112231209799	6.07881134301424	5.83185564214889	5.94546668990149	5.57043570646876	5.50421920278006	6.16604256712329
ENSDARG00000077799	7.24433288381844	7.6095664836502	7.63996616630332	8.06119269961449	8.77258880094838	8.30078775769141	8.02325277079552	8.39964337813028	8.51906674973864	8.22905831284736	8.47004865815952	8.88961686453188	8.73047834533839	8.83240944833665	8.68361729402363
ENSDARG00000078245	5.12159382359435	4.96840444916918	4.73611744851905	6.02475047539056	5.50064186056942	5.53938210068083	5.63594698962002	5.62112878563632	5.53112231209799	5.17526753875039	5.04588218105151	4.8461142138085	6.02079349341722	5.83710849529968	5.40710190320103
ENSDARG00000078492	6.00419217487092	5.78963499037436	6.02166000036832	5.4023527549401	5.44396821767009	5.36095449513379	5.36739848097116	5.86166836655596	5.72122456341802	5.11872257546823	5.14867759403347	5.33390242322166	5.50421920278006	5.43247370784461	5.74398373722724
