	B4	B5	B6	B1	B2	B3	A10	A11	A12	A7	A8	A9	A4	A5	A6	A1	A2	A3
368473	11.098783779979	11.5998395479552	10.3165734360778	10.5708823348301	11.314563431024	11.5009919122339	10.779149964043	12.069100261303	10.1133890211931	10.6554188900868	10.8414961055093	11.1047450074447	9.84417563107246	11.119618106674	11.7356151016523	10.2089035766867	10.9735819299773	11.0149957927085
405758	4.66108645369622	5.16900688957138	5.51659804438578	4.0214185153303	5.56108275007476	5.88318615482569	6.40308843202219	5.52994145019495	5.56719609063653	6.27985283159736	4.0926933658068	5.16587520730515	6.22237636217094	0.579490068091938	4.58248534275301	4.97368711499269	5.60154248939928	5.72524810357027
368564	6.02786878436784	3.29453777165523	4.77963245021958	4.7583841094965	6.73941999133327	7.24996848549731	5.77505720940915	6.7523338715314	6.500081894778	5.99034621440238	5.91866396603176	6.41641866895574	6.31859167743024	4.48638066370046	2.99752284203185	5.26319373218767	6.10111349888979	5.72524810357027
393205	7.01307178243976	6.10189269371284	6.57713958632083	8.12761791916222	5.83671719268818	10.0573234075549	5.77505720940915	6.26690704436116	6.96574546712681	7.67840220808764	5.99081375178759	6.9078070543647	6.40878948640182	6.80830875858782	6.16744784347417	7.23002686825247	7.48502848067285	6.92318748118218
368610	9.19123606978799	9.27181769515515	9.98163963136566	10.3413414743273	8.64407211474579	8.34950415904823	9.5730134334645	8.80295994460137	9.92154566321627	9.29615464392646	10.4325433686914	9.74043611256583	8.97172568079297	9.55390465789747	8.55211169370949	10.3774093010437	9.38380643049405	8.79765659909832
394081	8.71236695863991	7.85932239043876	8.61131670163892	9.10415894633823	8.64407211474579	8.1430532815808	8.19826864013369	8.89917525986067	8.37455101269414	8.98365156182837	8.11707752443376	8.49276955508586	8.911289826931	8.41869385618888	9.33737284491648	8.1788015448973	8.27494295478802	8.73581734528046
64815	5.69856115911488	4.51693019299168	5.24529602256839	3.65884843594559	5.70547265940993	6.15882059743912	2.31562559077185	3.9449789494738	6.19522731324958	4.04281363429651	3.44061666922711	5.16587520730515	5.4518582082937	4.66695290934228	2.99752284203185	6.32732406960739	6.4714819488349	5.72524810357027
751672	6.08558428222413	6.46446277309755	6.83025852328954	7.42134912221893	6.67070724124926	6.99281064600019	7.87021444244949	9.07426196641876	7.31721783762819	7.16619604980179	7.5521249844441	7.27367849683966	6.49367838398833	6.68801452487011	2.99752284203185	6.4476183033251	7.58905154521608	6.03010268509869
368439	10.3512682664719	10.2448506475549	10.8579739015014	10.2923626814989	11.3561825202257	10.3733509010026	10.9702616192998	10.5743355695534	10.8792539414998	10.6638188849432	10.8019338653017	10.3726369769278	10.5166802093499	10.80228497096	11.3769012091031	11.0205079717457	10.6963027414582	10.1495379160873
368900	5.2711399353802	6.91902863656303	4.47477786869116	4.93895635513832	6.06804273879464	6.58945495176898	6.01606530891294	6.26690704436116	5.80820419014033	6.36474172918387	5.38814924933298	3.11524913423518	5.88795732310038	6.00575482279404	5.31945093691922	5.71065270915889	5.95301485990065	6.4957662574475
