	dose_3.dose_0	dose_30.dose_0	dose_300.dose_0	dose_30000.dose_0	AveExpr	F	P.Value	adj.P.Val
101886995	-0.430012373083332	-0.644318181250001	-0.301605516416665	-0.339947461916665	4.35971699516667	1.60612476618341	0.215023620696614	0.509182200578763
563791	0.0793677054166664	0.338130638749999	-0.357321236916667	0.104858096083334	3.75407191133333	1.60596957295003	0.215062244590428	0.509182200578763
114417	-0.0952235220833302	0.0410630982499995	-0.15190176508333	-0.436495024916663	7.53510185672222	1.60513220764247	0.215270767129886	0.509353695919474
368228	-0.0270355459999978	0.0780099744999996	-0.00567754633333273	-0.277034854333332	6.16676653144444	1.60500645738213	0.215302099561745	0.509353695919474
569876	-0.247087254249999	-0.282645301250002	-0.245259926916665	-0.302124373416666	7.54866672977778	1.60499711608715	0.215304427261536	0.509353695919474
58053	0.0171580955833344	0.333977583249999	-0.0262216044166657	0.256127629916668	5.41144432494445	1.60482146525369	0.215348201396663	0.509353695919474
561095	0.0474323631666689	0.128770315499997	-0.2353286705	-0.277624201	9.46817912577778	1.60477261899988	0.215360376039685	0.509353695919474
100334378	0.209561247666667	0.264026031499999	-0.160524651666665	-0.209087843	4.84799396505556	1.60288582187938	0.215831187481805	0.510360251371477
30679	-0.133201985333334	-0.100507662500005	-0.373478019333333	-0.394962641000001	7.72754589983333	1.60204762702855	0.216040678774162	0.510735306276399
360208	0.127830495500001	0.115272624499998	0.318119368500001	0.355554005333332	10.671535269	1.60174908943975	0.216115342844721	0.510735306276399
567357	0.126313126583335	-0.0915797227500006	-0.0682223270833333	-0.169722556249998	6.2877885985	1.60146374514612	0.216186731901601	0.510735306276399
558806	0.181297933000001	0.0904797739999994	-0.117154874999998	-0.316656338166666	6.09949836216667	1.60140448033601	0.216201562127453	0.510735306276399
445029	0.0393417795833368	0.00414871124999827	0.097380081583335	0.284206570750001	12.0371891921111	1.60118897676206	0.216255497768221	0.510735306276399
100334151	-0.340093274666664	-0.472200459500002	-0.210254878333332	-0.396628043833333	8.75776010116667	1.60116551918178	0.216261369495625	0.510735306276399
565294	0.134922127583334	0.283123942749998	-0.309941679083332	-0.301336443083334	6.40193629333333	1.59997791891901	0.216558853554424	0.511253474936614
447878	-0.133564490916664	-0.06631302075	0.0345561484166694	-0.335216447583331	5.58404213455556	1.59992789208665	0.216571394026676	0.511253474936614
30688	-0.0646224898333339	-0.0926317495000015	-0.2749827455	-0.269737003833332	7.53529550672222	1.59968592542544	0.216632059463208	0.511289721602769
553524	-0.155897350666666	-0.147871061500001	-0.251119093666666	-0.363221562999999	6.42763845966667	1.59923200522989	0.216745912290736	0.51129556373175
571792	-0.336040127166665	-0.590509238500001	-0.313190908499998	-0.511840506	4.86724000727778	1.59884404320833	0.216843269807826	0.51129556373175
723994	0.0639834209999988	-0.00149779900000269	-0.379261621000002	-0.311855299166666	5.97629709883333	1.59882994248947	0.216846809167201	0.51129556373175
103911113	0.0575473094166687	0.162612343249999	-0.0124023049166633	-0.255393272749998	5.88221160188889	1.59879376796571	0.216855889444814	0.51129556373175
100034531	0.258382452833333	0.356369864999999	0.0715285525000002	0.385634966833334	3.85417855966667	1.59877304034837	0.216861092522169	0.51129556373175
393156	0.0281808760833346	0.17691103975	0.490616166750002	0.180361876250001	4.19152280366667	1.59834433729599	0.216968734771406	0.511442490737528
