	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
553700	2.751876929	2.669819515	2.807099232	2.873567787	2.379728766	2.170066259	2.553889298	2.213110669	2.341748191	2.204872818	2.395053704	2.088365873	2.345947058	2.233452426	2.081988746	1.942430847	1.641806954	1.579525769
553701	5.751921041	5.724376051	5.611189409	5.630757631	5.318250937	5.074725277	5.156798208	4.820752002	5.065725572	5.673093895	5.486876576	5.32260223	5.477545196	5.206773424	5.141171471	5.576651305	4.253049782	4.969396328
553702	3.331119731	3.612782259	3.873376932	3.865676307	3.567095198	3.769659655	3.707710782	4.004574726	3.713286174	2.92887891	3.836932387	3.695518335	3.334557311	3.397099352	3.875594841	2.981232084	3.786077391	3.620204487
553704	1.290208409	1.706227929	1.197848933	1.593907412	1.262914891	1.395192272	1.4554907	1.196599084	2.002503326	1.141735447	1.397782089	1.773203152	1.416532173	1.441103122	1.428147626	1.046237398	1.306627745	1.340063851
553705	4.376401858	4.096907311	4.072402454	4.224328276	4.262485987	4.032033638	4.286277683	4.377440351	4.347571708	4.250476218	4.42155977	4.182825311	4.161189346	4.343303442	4.351523678	4.415347933	4.483297378	4.368002635
553706	2.944528309	2.786785289	3.152167	2.773778998	2.499401473	2.486858898	2.507238241	2.738077633	2.767091378	2.937610393	2.750599992	2.878212122	2.404330268	2.91722497	2.588365113	2.879499875	2.302169859	2.421499811
553707	2.499101205	2.572915134	2.728955926	2.752965406	2.249223798	2.926621933	2.776754249	2.576270016	2.697208147	2.160808492	2.592150416	2.659728921	2.274705948	2.655593821	2.490198812	2.061565538	2.630759229	2.677196813
553708	3.730271739	4.488283243	5.221224172	5.238187274	3.550137544	4.615894763	4.999266754	4.221955292	5.437667869	3.445911997	4.321566993	5.020950529	3.49091519	4.28694721	5.142787898	3.49671178	4.479118508	4.938449475
553709	3.478520527	3.397630735	3.26722182	3.380506356	3.545866802	3.657506103	3.76335931	3.818055918	3.54446009	3.408715829	3.648463211	3.75617893	3.402970941	3.738010754	3.648672463	3.398283187	3.494669001	3.668151043
553710	8.664815842	9.371050228	8.782041695	9.153185545	9.145762904	9.390933944	8.700752991	9.047180211	8.762234011	8.741365536	9.398564642	8.73515965	9.210183331	9.148027284	9.129569475	8.830432138	9.094717267	8.847431966
