	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
791170	96	27	22	38	43	40	13	25	0	44	21	3	11	95	24	0	65	81
791173	474	164	195	262	111	174	68	146	3	220	137	186	71	285	109	0	277	143
791175	28	4	1	4	0	3	0	7	0	4	10	5	0	6	4	0	3	0
791176	93	24	67	35	58	14	16	28	0	40	32	6	6	65	18	0	46	41
791177	142	6	71	15	21	44	27	35	3	91	31	12	18	88	84	0	94	36
791179	53	4	58	36	10	19	30	30	0	9	42	12	6	79	14	0	35	5
791180	34	18	39	23	8	11	8	7	1	16	9	11	5	29	15	0	20	15
791181	10	0	8	0	2	0	0	0	0	2	1	0	8	0	0	0	2	0
791182	28	19	42	24	2	16	24	18	0	29	8	5	15	37	21	0	22	19
791183	94	29	85	42	34	58	12	43	0	68	57	9	24	98	43	0	59	86
791185	39	3	15	13	6	6	4	5	0	18	29	1	2	45	39	0	28	14
791186	157	8	45	68	12	49	18	54	0	38	36	4	9	72	28	0	91	39
791187	113	24	72	39	21	35	6	22	0	55	32	5	8	83	36	0	54	36
791188	52	10	44	12	10	22	6	10	0	26	7	4	2	77	21	0	51	10
791190	73	28	17	14	15	24	21	19	0	15	21	12	27	32	17	0	25	24
791191	207	41	111	65	43	76	36	49	2	97	61	0	12	172	68	0	131	92
791192	33	7	14	11	0	2	0	26	0	6	3	0	0	3	11	0	1	2
791194	25	12	4	5	4	1	3	12	0	15	3	0	2	20	8	0	7	3
791196	234	8	17	64	96	34	14	3	0	80	20	1	28	69	53	0	31	23
791197	141	31	53	52	32	28	17	58	1	92	57	7	8	62	21	0	54	56
791199	727	142	350	222	153	287	90	159	31	341	190	23	51	534	178	0	457	297
791200	25	21	4	6	0	9	1	4	0	11	0	0	0	24	5	0	10	0
791201	27	0	2	8	0	1	0	3	0	3	4	3	2	8	0	0	1	4
791202	16	4	16	20	1	12	5	5	0	16	10	2	0	16	16	0	15	16
791203	66	2	16	26	1	4	4	4	0	39	29	0	5	16	1	0	11	11
791204	22	0	19	2	1	6	17	13	0	16	24	1	4	15	8	0	8	4
791205	21	3	4	4	6	2	1	2	0	9	23	0	3	8	6	0	10	11
791206	16	9	5	2	5	12	5	0	0	7	1	0	0	5	5	0	2	1
791208	26	1	10	15	0	12	0	5	0	16	19	0	4	21	8	0	16	4
791209	21	11	35	21	7	14	8	25	0	15	2	2	0	55	6	0	24	12
791210	381	75	141	161	85	96	60	151	8	144	117	33	49	200	86	0	209	122
791211	49	4	42	18	8	3	0	31	0	52	9	1	15	46	36	0	15	21
791212	4	2	5	3	0	1	0	0	0	3	5	0	0	27	0	0	5	1
791214	37	1	19	15	6	19	5	1	5	20	17	2	4	25	7	0	20	3
791215	202	56	140	68	53	61	75	113	12	151	76	20	72	256	63	2	183	75
791216	4	3	0	34	0	22	1	0	0	5	4	0	5	10	1	0	5	14
791217	41	2	11	15	11	23	8	12	0	17	2	0	5	43	7	0	21	2
791218	42	8	21	44	3	21	12	16	3	47	16	14	6	35	19	0	74	51
791222	82	8	11	21	0	13	3	13	0	32	14	9	6	42	15	0	26	33
791223	322	36	152	111	49	71	47	100	11	144	80	10	29	168	77	0	149	98
791449	1	0	7	0	3	0	0	3	0	2	0	3	0	15	4	0	3	3
