#NAME	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6
#CLASS:DOSE	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	100	100	100	0	0	0
ENSDARG00000002165	0	10	13	1	24	2	0	7	7	13	9	0	0	1	9	43	7	9
ENSDARG00000002167	0	78	86	22	232	69	106	45	18	51	27	2	146	45	62	215	31	115
ENSDARG00000002168	0	36	25	10	80	30	51	34	0	21	16	0	29	6	19	71	9	42
ENSDARG00000002172	0	22	8	11	23	15	11	6	4	3	11	0	17	7	6	59	14	37
ENSDARG00000002174	0	30	22	9	37	6	11	19	0	4	1	0	6	10	1	16	5	20
ENSDARG00000002184	1	28	30	26	40	23	51	29	0	9	18	3	35	17	19	66	25	53
ENSDARG00000002190	0	239	128	90	272	212	298	175	15	70	191	5	158	123	179	364	79	291
ENSDARG00000002192	0	100	35	19	85	42	36	15	15	59	52	3	71	28	48	103	39	71
ENSDARG00000002193	0	2033	900	271	2109	812	1287	593	114	553	588	29	1056	512	783	2806	514	1781
ENSDARG00000002194	0	3	2	7	11	1	6	0	0	0	3	0	0	0	0	4	1	7
ENSDARG00000002196	0	124	58	17	87	57	62	187	20	31	47	1	86	82	59	204	36	87
ENSDARG00000002197	0	211	89	52	269	93	140	120	14	79	31	4	173	101	120	338	28	128
ENSDARG00000002204	0	46	27	15	33	38	38	13	3	2	14	1	22	8	18	85	20	64
ENSDARG00000002210	0	10	26	2	31	23	27	13	10	27	29	0	33	40	30	46	23	31
ENSDARG00000002213	0	22	10	14	25	7	45	17	8	10	5	0	18	11	16	40	6	28
ENSDARG00000002215	0	32	45	1	76	30	26	50	9	22	20	0	37	0	29	85	23	49
ENSDARG00000002216	0	12	31	8	61	30	16	15	5	4	21	0	51	12	34	79	16	61
ENSDARG00000002217	0	149	113	39	262	97	181	98	15	69	97	13	97	41	88	315	50	212
ENSDARG00000002219	0	35	11	2	72	20	22	15	11	25	15	0	13	3	15	28	2	14
ENSDARG00000002220	0	0	41	6	78	6	65	17	0	21	21	1	16	0	29	97	10	16
ENSDARG00000002230	0	157	87	19	185	83	104	72	9	46	25	1	115	51	102	189	46	125
ENSDARG00000002231	0	67	55	21	77	55	41	42	5	18	21	0	40	7	31	122	22	48
ENSDARG00000002235	0	336	159	96	424	163	313	116	41	125	150	17	188	69	208	519	102	341
ENSDARG00000002240	0	114	81	30	157	40	141	76	23	26	58	1	111	44	49	131	47	138
