Identifier,BPAF-1ug/L-B
ENSDARG00000101520,0
ENSDARG00000075798,7
ENSDARG00000037018,30
ENSDARG00000074677,3
ENSDARG00000094485,1
ENSDARG00000060397,36
ENSDARG00000094648,0
ENSDARG00000027199,13
ENSDARG00000115856,0
ENSDARG00000060383,5
ENSDARG00000037002,0
ENSDARG00000076171,65
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,61
ENSDARG00000069737,48
ENSDARG00000095555,0
ENSDARG00000011876,29
ENSDARG00000078789,18
ENSDARG00000036755,2
ENSDARG00000078326,30
ENSDARG00000102082,6
ENSDARG00000081340,0
ENSDARG00000034093,18
ENSDARG00000102787,31
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,2
ENSDARG00000074989,30
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,17
ENSDARG00000082660,0
ENSDARG00000057303,28
ENSDARG00000113575,0
ENSDARG00000029722,351
ENSDARG00000008305,6
ENSDARG00000117649,0
ENSDARG00000007477,8
ENSDARG00000053106,3
ENSDARG00000012016,7
ENSDARG00000011066,24
ENSDARG00000004621,565
ENSDARG00000095811,0
ENSDARG00000075098,4
ENSDARG00000053222,13
ENSDARG00000089976,25
ENSDARG00000069640,3
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,154
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,6
ENSDARG00000085746,0
ENSDARG00000007387,16
ENSDARG00000024828,10
ENSDARG00000070162,118
ENSDARG00000104907,17
ENSDARG00000080987,0
ENSDARG00000079183,1
ENSDARG00000104437,42
ENSDARG00000103145,7
ENSDARG00000069701,0
ENSDARG00000020857,7
ENSDARG00000093120,5
ENSDARG00000074662,0
ENSDARG00000076585,8
ENSDARG00000079631,9
ENSDARG00000018587,1
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,1
ENSDARG00000008457,7
ENSDARG00000031435,300
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,7
ENSDARG00000087333,25
ENSDARG00000009315,35
ENSDARG00000030368,30
ENSDARG00000117231,9
ENSDARG00000117450,4
ENSDARG00000117485,17
ENSDARG00000117707,17
ENSDARG00000052899,1
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,2
ENSDARG00000075521,5
ENSDARG00000095566,0
ENSDARG00000007941,23
ENSDARG00000095651,9
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,45
ENSDARG00000060236,0
ENSDARG00000036774,21
ENSDARG00000109727,0
ENSDARG00000052866,22
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,7
ENSDARG00000008706,149
ENSDARG00000078108,1
ENSDARG00000075639,5
ENSDARG00000078016,2
ENSDARG00000092551,3
ENSDARG00000075194,7
ENSDARG00000098598,0
ENSDARG00000060252,12
ENSDARG00000078908,15
ENSDARG00000036965,17
ENSDARG00000036967,52
ENSDARG00000060264,3
ENSDARG00000024101,11
ENSDARG00000107253,0
ENSDARG00000024785,46
ENSDARG00000084202,0
ENSDARG00000087061,1
ENSDARG00000052713,34
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,134
ENSDARG00000052703,7
ENSDARG00000052700,10
ENSDARG00000052696,9
ENSDARG00000075112,0
ENSDARG00000029898,16
ENSDARG00000092730,3
ENSDARG00000078622,1
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,1
ENSDARG00000074476,0
ENSDARG00000087178,1
ENSDARG00000095949,4
ENSDARG00000076277,0
ENSDARG00000075916,15
ENSDARG00000078558,0
ENSDARG00000052019,7
ENSDARG00000101106,27
ENSDARG00000103871,8
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,22
ENSDARG00000059682,2
ENSDARG00000078233,45
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,1
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,18
ENSDARG00000069114,1
ENSDARG00000014803,37
ENSDARG00000016793,538
ENSDARG00000052012,5
ENSDARG00000083573,0
ENSDARG00000016263,32
ENSDARG00000095781,0
ENSDARG00000007786,25
ENSDARG00000009472,18
ENSDARG00000111774,0
ENSDARG00000037748,18
ENSDARG00000002840,50
ENSDARG00000079632,19
ENSDARG00000016994,7
ENSDARG00000029718,8
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,2
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,72
ENSDARG00000051981,3
ENSDARG00000059653,9
ENSDARG00000016835,12
ENSDARG00000094133,52
ENSDARG00000093997,10
ENSDARG00000093289,0
ENSDARG00000078659,34
ENSDARG00000093954,0
ENSDARG00000031836,21
ENSDARG00000117392,0
ENSDARG00000098263,6
ENSDARG00000105005,0
ENSDARG00000030972,11
ENSDARG00000051970,0
ENSDARG00000019778,1401
ENSDARG00000051965,0
ENSDARG00000087426,35
ENSDARG00000069559,12
ENSDARG00000093347,0
ENSDARG00000069566,5
ENSDARG00000095108,0
ENSDARG00000006588,75
ENSDARG00000006225,40
ENSDARG00000052766,8
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,3
ENSDARG00000025518,9
ENSDARG00000105481,0
ENSDARG00000092240,10
ENSDARG00000030376,21
ENSDARG00000069619,87
ENSDARG00000030656,51
ENSDARG00000114294,0
ENSDARG00000032340,4
ENSDARG00000026068,24
ENSDARG00000002285,14
ENSDARG00000069595,12
ENSDARG00000060187,0
ENSDARG00000060184,16
ENSDARG00000113491,0
ENSDARG00000008279,3
ENSDARG00000010773,15
ENSDARG00000025233,3
