	dose_0.00003.dose_0.0003	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000042658	-0.00561807133333581	0.0223653599999984	-0.0728790856666688	-0.21272629316667	-0.117481707	8.47377062276471	0.407591636141302	0.835721847225901	0.999980941698775
ENSDARG00000087426	-0.0140265756666729	0.138289934333333	-0.0305217356666674	-0.0683739545000055	-0.0657949449999986	9.49737349405882	0.40756338415221	0.83574105973829	0.999980941698775
ENSDARG00000011958	-0.0209622286666686	0.0134313046666676	-0.0525182136666658	0.0055804113333302	0.158385488666669	9.07596764835294	0.407498918871973	0.835784897305147	0.999980941698775
ENSDARG00000034541	-0.134173530333332	-0.0733983909999978	-0.0550217899999996	-0.0573782188333336	-0.112752745999998	9.81584737952941	0.407493121135648	0.835788839771407	0.999980941698775
ENSDARG00000036626	0.0827171413333359	0.0920726640000007	0.0500492473333347	0.300011669666666	-0.225725908999998	5.42608304282353	0.40737023141912	0.835872401002702	0.999980941698775
ENSDARG00000052905	-0.205430615333334	0.152498444000001	0.253342581	0.178239532833329	0.0519347796666665	9.81674581347059	0.407356947595479	0.835881433149011	0.999980941698775
ENSDARG00000099918	0.0385578813333325	-0.00262119666666472	0.0482847273333356	-0.0931198723333351	0.111132456000001	7.70063613023529	0.407313600981801	0.835910905455298	0.999980941698775
ENSDARG00000088680	-0.167100132666667	-0.0191817313333322	-0.145481735	-0.358719094166668	-0.199557613333333	4.87225182141176	0.407256789504942	0.835949531412054	0.999980941698775
ENSDARG00000086107	-0.0901257629999996	0.0323454083333328	-0.00381309333333402	-0.182621228666669	-0.115267089	7.65176928323529	0.407151539570235	0.836021086325341	0.999980941698775
ENSDARG00000097962	0.0355097229999997	0.00788610766666764	-0.110384898333334	-0.0805028275000019	-0.173549437999999	6.96975774452941	0.407102649841145	0.836054322492828	0.999980941698775
