plate_id,dose,Dose_mg_L,Group,endpoint,endpoint_value_norm
Aniline,Dose1,10,C,ld_pearson,13.529725050270656
Aniline,Dose1,10,C,ld_pearson,18.777289750414965
Aniline,Dose2,1,C,ld_pearson,5.04694767773357
Aniline,Dose2,1,A,ld_pearson,-36.17224570452603
Aniline,Dose2,1,A,ld_pearson,17.664599302742204
Aniline,Dose2,1,A,ld_pearson,4.894289993033652
Aniline,Dose2,1,B,ld_pearson,-9.053558415622177
Aniline,Dose2,1,B,ld_pearson,3.2971997935810577
Aniline,Dose2,1,B,ld_pearson,8.775282445644933
Aniline,Dose2,1,C,ld_pearson,-16.024407334012537
Aniline,Dose2,1,C,ld_pearson,12.821990238545823
Aniline,Dose3,0.1,C,ld_pearson,15.413055636633203
Aniline,Dose3,0.1,A,ld_pearson,5.293481192252145
Aniline,Dose3,0.1,A,ld_pearson,9.202700914580106
Aniline,Dose3,0.1,A,ld_pearson,-12.609469180563437
Aniline,Dose3,0.1,B,ld_pearson,-11.215527798802256
Aniline,Dose3,0.1,B,ld_pearson,-4.19275889177986
