	dose_0.0003.dose_0.00003	dose_0.003.dose_0.00003	dose_0.03.dose_0.00003	dose_0.3.dose_0.00003	dose_3.dose_0.00003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000102366	0.360455078281307	0.559903127240437	0.728151906501725	0.475182275943451	0.643697013210971	5.44209581969085	3.30739292701659	0.0254943097769299	0.0547981141182286
ENSDARG00000099152	-0.542931066857844	-0.434279983215544	-0.0853833236938435	-0.700187100729467	-1.49341442291206	4.44662069305441	3.29669553937175	0.0258087390183158	0.0548435704139211
ENSDARG00000062349	-0.0669722278687228	0.257973683993393	0.269441077871527	-0.104376426158289	0.78921677207106	3.77530827797384	3.26903163510033	0.0266414815548731	0.0556186945974717
ENSDARG00000021697	0.773473454670531	0.567215456062619	0.673859493687115	0.317392130245356	0.553904758212404	4.98726970074148	3.26489905303759	0.0267683556886227	0.0556186945974717
ENSDARG00000088833	0.138127739916201	-0.28227317076301	-0.11227122475935	-0.706130381382411	-0.415138244370986	5.69620913648105	3.23749786450479	0.0276263003938033	0.0567705293806728
ENSDARG00000040258	0.583866816270078	0.156856512174624	0.749544323096295	0.832073972265943	0.441157356193415	6.18687260932799	3.22396410609924	0.0280609734618485	0.0570369786670181
ENSDARG00000077540	0.363971050856881	0.204516466087554	0.695339784928517	0.790377990199067	0.246639957358741	5.20707835514636	3.18973569843807	0.0291936375180604	0.0581682341453583
ENSDARG00000096950	0.403743523757436	0.168611872599706	0.311597891869883	0.00811863179442307	1.19729686032689	4.26473375851629	3.18837578534431	0.0292396471105009	0.0581682341453583
ENSDARG00000100712	0.383220461508722	0.423956412215576	0.61372715356821	0.693904119284655	0.420738760118702	8.49793799406589	3.14525864446986	0.0307397882798234	0.059113039476086
ENSDARG00000068982	0.455065122235873	0.467362822226926	0.497599343173329	0.553467194064408	0.822907000593783	4.96632443055236	3.13938967560444	0.0309503248624739	0.059113039476086
ENSDARG00000062114	-0.0460936568775097	-0.209793800124044	-0.229624321611911	0.023868479570412	-0.626323164374551	6.58122241123712	3.13526842579297	0.0310990956070015	0.059113039476086
ENSDARG00000101726	-0.193626271271427	-0.0655040457395888	0.105402825454462	-0.139556963188914	-0.843524005437988	9.77810498991956	3.13061146640503	0.0312681338669414	0.059113039476086
ENSDARG00000020711	2.74316529800449	2.53716369773471	2.628390399369	3.37109035645272	3.96149966144507	4.69502220364016	3.12168143390501	0.031595055854605	0.059113039476086
ENSDARG00000101012	-0.13243803987012	0.14950875519	-0.0151772953626104	0.353006874014038	0.774788282321944	4.89454822328497	3.12124164899553	0.0316112510567305	0.059113039476086
ENSDARG00000077473	0.0917208822740694	0.0255161737180334	0.488160446046201	0.366245266034714	0.81535320379747	11.1475093243157	3.11005634278723	0.0320261782572332	0.0592959934069566
ENSDARG00000057055	0.603108180137802	0.277427285028219	-0.0448463802126113	0.616145815811103	0.412876988185569	4.41950161897833	3.08835670904408	0.0328479924884007	0.0598471564374752
ENSDARG00000104483	-0.633051379645919	-0.422855953198576	-0.59686600628814	-0.052442124271181	-0.567250462036867	6.34113370168745	3.08534231683149	0.0329639417810692	0.0598471564374752
ENSDARG00000038500	-0.653412109941571	-0.540230684820224	-0.493760941659453	-0.422632867088096	-0.208774289997961	5.67040013035916	3.01879275455661	0.0356394938615418	0.0635606330677798
ENSDARG00000067784	-0.0214554630492731	0.080832284719083	0.129679077336687	0.354596534133425	-0.672811758593004	4.70185470373455	3.01297348241111	0.0358843370612377	0.0635606330677798
ENSDARG00000117668	-0.52146309133912	-0.48756668446048	-0.913591909527404	-0.690627544403519	-0.707879870545104	4.23799416010047	3.00220572302426	0.0363421757631143	0.0635606330677798
