E5,Counts
ENSDARG00000006225,110
ENSDARG00000006235,14
ENSDARG00000006240,20
ENSDARG00000006242,195
ENSDARG00000006251,22
ENSDARG00000006253,12
ENSDARG00000006257,119
ENSDARG00000006260,504
ENSDARG00000006266,89
ENSDARG00000006272,40
ENSDARG00000006279,9
ENSDARG00000006283,88
ENSDARG00000006288,0
ENSDARG00000006290,27
ENSDARG00000006292,0
ENSDARG00000006299,25
ENSDARG00000006300,4
ENSDARG00000006301,34
ENSDARG00000006307,16
ENSDARG00000006308,2
ENSDARG00000006314,166
ENSDARG00000006316,247
ENSDARG00000006332,45
ENSDARG00000006341,11
ENSDARG00000006345,22
ENSDARG00000006350,0
ENSDARG00000006353,47
ENSDARG00000006356,30
ENSDARG00000006368,11
ENSDARG00000006370,12
ENSDARG00000006372,0
ENSDARG00000006383,24
ENSDARG00000006385,12
ENSDARG00000006389,46
ENSDARG00000006392,23
ENSDARG00000006395,117
ENSDARG00000006396,59
ENSDARG00000006397,53
ENSDARG00000006399,81
ENSDARG00000006408,43
ENSDARG00000006409,0
ENSDARG00000006413,42
ENSDARG00000006420,52
ENSDARG00000006422,22
ENSDARG00000006427,212
ENSDARG00000006434,5
ENSDARG00000006447,2
ENSDARG00000006456,18
ENSDARG00000006467,12
ENSDARG00000006468,0
ENSDARG00000006474,9
ENSDARG00000006477,22
ENSDARG00000006487,108
ENSDARG00000006491,0
ENSDARG00000006494,14
ENSDARG00000006497,197
ENSDARG00000006501,0
ENSDARG00000006508,27
ENSDARG00000006514,19
ENSDARG00000006522,6
ENSDARG00000006524,173
ENSDARG00000006526,714
ENSDARG00000006527,45
ENSDARG00000006544,0
ENSDARG00000006545,41
ENSDARG00000006546,9
ENSDARG00000006553,29
ENSDARG00000006560,0
ENSDARG00000006566,55
ENSDARG00000006567,0
ENSDARG00000006568,3
ENSDARG00000006577,1
ENSDARG00000006580,0
ENSDARG00000006584,73
ENSDARG00000006585,30
ENSDARG00000006588,45
ENSDARG00000006598,0
ENSDARG00000006600,36
ENSDARG00000006601,14
ENSDARG00000006602,0
ENSDARG00000006603,19
ENSDARG00000006604,7
ENSDARG00000006607,2
ENSDARG00000006609,27
ENSDARG00000006615,35
ENSDARG00000006617,5
ENSDARG00000006621,18
ENSDARG00000006624,21
ENSDARG00000006636,19
ENSDARG00000006639,30
ENSDARG00000006640,10
ENSDARG00000006642,7
ENSDARG00000006666,0
ENSDARG00000006672,7
ENSDARG00000006677,18
ENSDARG00000006678,0
ENSDARG00000006683,131
ENSDARG00000006691,264
ENSDARG00000006712,11
