TXID,GENEID,GENENAME,BIOTYPE,Malathion_0.001_B
ENSDART00000004984,ENSDARG00000009689,daam1b,protein_coding,564
ENSDART00000152202,ENSDARG00000009689,daam1b,protein_coding,564
ENSDART00000147801,ENSDARG00000009689,daam1b,protein_coding,564
ENSDART00000152290,ENSDARG00000009689,daam1b,protein_coding,564
ENSDART00000109084,ENSDARG00000009689,daam1b,protein_coding,564
ENSDART00000102540,ENSDARG00000009693,llgl1,protein_coding,385
ENSDART00000146700,ENSDARG00000009693,llgl1,protein_coding,385
ENSDART00000146121,ENSDARG00000009693,llgl1,protein_coding,385
ENSDART00000003511,ENSDARG00000009693,llgl1,protein_coding,385
ENSDART00000126991,ENSDARG00000009702,ascl1b,protein_coding,36
ENSDART00000183550,ENSDARG00000009702,ascl1b,protein_coding,36
ENSDART00000160441,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000171250,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000165010,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000167985,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000163031,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000010684,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000191714,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000124968,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000191164,ENSDARG00000009724,rpn2,protein_coding,1853
ENSDART00000005999,ENSDARG00000009727,twf2b,protein_coding,21
ENSDART00000169670,ENSDARG00000009727,twf2b,protein_coding,21
ENSDART00000104046,ENSDARG00000009727,twf2b,protein_coding,21
ENSDART00000172837,ENSDARG00000009733,kif21b,protein_coding,119
ENSDART00000093108,ENSDARG00000009733,kif21b,protein_coding,119
ENSDART00000056277,ENSDARG00000009735,gigyf2,protein_coding,680
ENSDART00000123749,ENSDARG00000009738,cacnb4a,protein_coding,70
ENSDART00000135314,ENSDARG00000009738,cacnb4a,protein_coding,70
ENSDART00000017833,ENSDARG00000009738,cacnb4a,protein_coding,70
ENSDART00000022356,ENSDARG00000009740,ppp1r7,protein_coding,664
ENSDART00000164329,ENSDARG00000009740,ppp1r7,protein_coding,664
ENSDART00000023058,ENSDARG00000009743,efhc1,protein_coding,45
ENSDART00000188862,ENSDARG00000009743,efhc1,protein_coding,45
ENSDART00000186275,ENSDARG00000009743,efhc1,protein_coding,45
ENSDART00000141294,ENSDARG00000009745,fbxw2,protein_coding,340
ENSDART00000142095,ENSDARG00000009745,fbxw2,protein_coding,340
ENSDART00000023977,ENSDARG00000009745,fbxw2,protein_coding,340
ENSDART00000005989,ENSDARG00000009748,dffb,protein_coding,66
ENSDART00000017485,ENSDARG00000009753,sf3b6,protein_coding,406
ENSDART00000153130,ENSDARG00000009753,sf3b6,protein_coding,406
ENSDART00000103766,ENSDARG00000009754,zc3h11a,protein_coding,1003
ENSDART00000155697,ENSDARG00000009754,zc3h11a,protein_coding,1003
ENSDART00000128309,ENSDARG00000009754,zc3h11a,protein_coding,1003
ENSDART00000134937,ENSDARG00000009764,srek1,protein_coding,194
ENSDART00000016219,ENSDARG00000009771,ppme1,protein_coding,592
ENSDART00000114284,ENSDARG00000009779,mcl1a,protein_coding,1189
ENSDART00000041142,ENSDARG00000009782,myh11a,protein_coding,971
ENSDART00000138858,ENSDARG00000009782,myh11a,protein_coding,971
ENSDART00000016370,ENSDARG00000009783,slc49a4,protein_coding,560
ENSDART00000137061,ENSDARG00000009796,klc1a,protein_coding,619
ENSDART00000008987,ENSDARG00000009796,klc1a,protein_coding,619
ENSDART00000003435,ENSDARG00000009806,smfn,protein_coding,78
ENSDART00000079265,ENSDARG00000009822,her4.4,protein_coding,100
