	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
562813	4.663423897	5.025637385	4.811396236	5.033361626	4.574133647	4.791380887	4.629274309	4.758716182	5.121743046	4.743689674	4.696514946	4.652861802	4.840473066	4.768888752	4.696446185	4.786296994	4.895826437	4.794436338
562820	4.661139251	4.747848394	4.740973281	4.745348486	4.895602873	4.446416639	4.677121565	4.625484717	4.488799673	4.612742731	4.671158242	4.435201092	4.628468137	4.545239494	4.712239597	4.83670662	4.629127397	4.460735899
562822	4.368058423	4.55072976	4.482766795	4.368113735	4.272022711	4.233036458	4.34876525	4.462202841	4.628592573	4.476951121	4.259505921	3.967938946	4.241822123	4.213087034	4.04169876	4.191614905	4.339735943	4.08043615
562826	4.381998307	4.527642654	4.452691781	4.212919611	4.281242864	4.349918838	4.329731163	4.291445143	4.357151925	4.452094217	4.289440199	4.412284111	4.265279088	4.280443674	4.357942849	4.418180885	4.441230924	4.283080963
562831	1.785534838	1.828577939	2.272111506	2.398079636	1.939788727	1.654079466	1.800805368	2.084139318	2.18247423	1.520406172	1.531099919	1.738530838	2.079701802	1.63590928	1.704571835	1.829576715	2.042658288	1.883684419
562834	4.892981524	4.842356314	5.09649374	4.480002454	4.528403954	4.696463087	4.555414189	4.399276343	4.352037641	4.612742731	4.365184473	4.765647727	4.617117965	4.291370267	4.499887889	4.503867837	4.124109405	4.513752708
562838	4.732510956	4.639551955	4.760746143	4.38512218	3.610963248	3.998528969	3.83794014	3.912550593	4.003077551	3.81446778	3.768893275	3.789734887	3.614933276	3.230630308	3.533146414	3.37031986	3.743782259	3.695231677
562840	5.600462547	5.454834596	5.620730934	5.60341925	5.688375116	5.465834695	5.65112532	5.501694697	5.495560381	5.676279531	5.452813785	5.401864637	5.558937784	5.553042542	5.663238396	5.614024905	5.630915707	5.558876136
562845	3.205030505	2.837659807	3.106473759	3.23791286	3.434880584	3.345533216	3.436724698	3.525194561	3.611965985	3.609931313	3.435735476	3.53543852	3.445602787	3.616793823	3.859192634	3.69573863	3.637813636	3.759358792
562849	6.133644064	6.104974093	6.394435757	6.236682053	6.282963566	6.283719699	6.264126399	6.255298612	6.414975096	6.191255798	6.146767152	6.418514365	6.235804069	6.451890112	6.316605352	6.221319804	6.405342934	6.211491337
562853	1.71680102	2.046369405	2.096520259	1.790256115	1.648270303	1.686053672	1.272571074	1.753530296	2.024289899	1.49899224	1.453900631	0.528961318	0.984576187	1.491778112	0.9966878	1.293048286	1.649005967	1.001740288
562854	4.457666226	4.181538825	4.59716382	4.473655575	4.412908956	4.129290465	4.253506725	3.963632263	3.970076329	4.156304652	4.087015763	4.305781456	4.22097968	3.993155396	3.934217961	4.077464936	3.813945788	3.775988653
562857	4.290363149	4.313379202	4.62978592	4.464082593	4.350038637	4.389295819	4.415732088	4.396800412	4.541418269	4.409689971	4.193755287	4.277880308	4.311078951	4.299511244	4.290410841	4.324139858	4.342237352	4.285986595
562861	4.379221085	4.514655023	4.574998604	4.683445729	4.410109873	4.208479116	4.281017403	4.304712912	4.374910482	4.522765675	4.169814702	4.178765118	4.33066808	4.326320764	4.340628281	4.415419409	4.424803229	4.300427617
562867	3.278411697	3.061344983	3.626331017	3.245383479	3.246884281	3.0214073	3.102929927	2.906255374	2.866943141	3.371529685	2.808594071	2.907638235	3.099137703	2.842110163	3.235080371	3.087687436	3.14790497	2.70402213
562868	3.918024121	3.769691522	3.7600494	3.640507857	3.541041227	3.737558796	3.423319624	3.617400288	4.025737308	3.644473991	3.56984193	3.781809927	3.716280951	3.848992086	3.855133752	3.771118644	3.967658908	3.716925642
562872	5.290401195	5.070701899	5.186960742	4.677935218	5.34723572	5.150580825	5.65112532	4.924309421	4.507320261	5.421300871	5.395474611	5.022612081	5.311019637	5.160208399	4.957232287	5.350493352	4.970486446	5.110222844
562881	4.719394945	4.679667752	4.768091655	4.688935273	4.60138235	4.183496513	4.346399677	4.106846527	4.088584695	4.271289071	3.953162396	4.311297514	4.089175807	4.013094219	3.964676443	4.552436282	4.109499798	4.056813483
562889	2.906397787	3.151363112	3.347819138	3.346102782	3.080811072	2.869574681	2.924129045	2.775135454	3.187173292	2.818246613	2.573357362	2.817482636	3.072791441	2.819642883	2.723026202	3.168631526	2.770970399	2.958315503
562894	3.114417491	2.829292206	2.853781024	3.18450647	2.986254067	2.989732537	2.898522737	3.026444924	2.997137705	2.877529976	3.089473034	3.02642273	2.754252864	2.789131662	3.012627249	3.052572755	2.952195201	3.077141964
562900	4.626428163	4.961999253	5.022668843	4.856844899	4.696343674	4.897607629	4.966158681	5.184708846	5.275520547	4.582521421	4.780593359	4.879564777	4.808896168	4.936609277	4.883425193	4.742900243	5.259624658	4.902514623
562904	1.48845438	0.955715877	1.412675453	1.191089314	1.127581369	1.134265186	1.272571074	0.802058803	1.026643854	1.49899224	1.026271322	0.834970949	0.835842147	1.266678061	1.163525135	1.615282851	1.129248572	0.373970607
562909	3.094237188	2.650861002	2.890142054	2.824413218	2.295728079	1.850266772	2.053733495	2.257905807	2.425815178	2.161830949	2.378237143	1.951322608	2.288722241	2.075834814	1.359639729	1.878521533	2.44765464	1.499100076
562912	4.370857196	4.351860067	4.412632852	4.298000914	3.767873619	3.442315167	3.400697272	3.770598972	3.866286153	3.624836704	3.752867745	3.53543852	3.424921754	3.684669254	3.481420567	3.437191279	3.828292052	3.600377529
562916	4.827255006	4.946608614	5.074937654	5.305853131	3.819416603	3.070683437	3.831188648	2.664218776	2.808402939	3.451740468	3.001785348	2.929323541	3.733202165	2.796820175	3.314088071	3.059664399	3.071570553	2.936291097
562918	1.588025429	1.63092229	1.621736142	2.034039111	1.529491151	1.224118978	1.476703715	1.536772251	1.196046086	1.681154898	1.129175572	0.60279176	1.289204078	1.433786792	1.313053329	1.268774765	1.363993102	1.259973669
562919	4.796359863	4.727730381	5.014456715	4.866566334	4.804748696	4.56077245	4.768303473	4.533810962	4.684591708	4.607749605	4.358139657	4.622122482	4.703368129	4.549796743	4.633855784	4.716221456	4.388958207	4.572049683
562925	5.959590819	6.086661273	6.157695475	6.089835607	6.06361732	6.09268249	6.119925878	6.417367352	6.374564018	6.394825093	6.126180066	5.96857661	6.071715276	6.274653178	6.170734207	6.1299452	6.38789382	6.109389006
562928	2.19226617	2.309608575	2.465245189	2.329442934	2.610560177	2.790893232	2.598025375	2.744305473	2.731720497	2.50036116	2.573357362	2.778188951	2.481307078	2.340672618	2.553036277	2.6254857	2.390793419	2.458293083
562930	3.686015711	3.328048583	3.653026975	3.079751762	3.066661156	3.170120251	3.152517355	3.218138373	2.950527059	3.311376861	3.68129004	3.072626748	2.86587223	3.376293736	2.427452274	3.181691441	3.279023681	3.28893551
562931	4.117839361	4.220452761	4.449649507	4.508222862	4.451536356	4.580044505	4.46235551	4.627597974	4.775260019	4.597711208	4.26704792	4.260876884	4.465884989	4.42883832	4.565945063	4.49081018	4.602247429	4.600337944
562934	1.336392326	1.489397742	1.949205704	1.869745714	1.740289759	1.891988224	1.814562262	2.03403545	1.787212102	1.520406172	1.480095415	1.738530838	2.092872126	1.929638846	1.808981897	1.778912907	1.953851354	1.651069199
562935	2.204869039	2.742833374	2.440939682	2.28663675	2.182187974	2.188345321	1.685756004	2.059304883	3.010183044	1.925455978	1.845102527	2.582227991	1.998050453	2.149744784	2.611953339	1.925860193	2.227201486	2.070530938
562936	3.192429052	3.485437336	3.341267861	3.657406956	3.234279694	3.42347122	3.547963062	3.604583384	3.64579558	3.299039365	3.196037455	3.349571279	3.333561736	3.586063713	3.265982095	3.318050228	3.365179421	3.572090052
562939	3.290287055	3.279735822	3.43038434	3.318036124	3.059533812	2.660170123	2.865862192	2.805320367	2.739574773	2.792074246	2.67890127	2.428286733	2.778909003	2.591128089	2.553036277	2.69088867	2.800376218	2.384301697
562940	4.483756669	4.472291016	4.288724798	4.604314709	4.323507862	4.37465511	4.107487022	4.619126308	4.738498175	4.380711829	4.38611484	4.322266758	4.137642593	4.433777849	4.389156387	4.188383323	4.531675782	4.337311455
562945	5.331208472	5.449384878	5.272088026	5.173096423	4.848825199	4.856050727	5.013147692	5.092860753	4.956352878	4.792912339	4.97732393	4.680830647	4.979919923	5.01615466	4.723415682	4.722937547	5.114991384	4.740382242
562946	5.83236661	5.427377785	5.767216768	5.207926365	5.387637161	5.051274803	4.933435031	5.011045188	4.838793594	5.088257	5.059967793	5.15887859	4.965671708	4.955623236	4.41420179	5.051134227	4.868321239	4.562495645
562947	2.436242429	2.786710364	2.816479821	2.975801365	2.467111764	3.094704401	2.549491909	3.045537907	3.259972044	2.774358444	3.055034846	2.729578714	3.066129007	3.093775698	2.80947115	2.495548088	3.203992822	3.029392661
562949	3.76473383	3.651264997	3.90924202	3.846115143	3.176155236	3.335488122	3.344910906	3.278559748	3.510039365	3.365626018	3.019754448	3.006158862	3.282745853	3.036478802	3.062765237	2.887027709	3.187394228	3.077141964
562950	6.817069576	5.984861812	6.946400848	6.22161083	6.603986044	6.51381172	7.423159023	6.566913897	6.559529466	6.913333629	6.620737578	7.268826539	6.483414146	6.80439612	7.154335303	7.267248259	6.762219737	7.191866608
562952	0.818289391	0.570252255	0.944307203	0.881612715	0.922879878	0.825286568	0.937483593	0.740902845	0.920090457	0.600467418	0.836554844	0.772357512	0.738636985	0.889118701	1.264912255	0.940322595	1.129248572	1.416657898
562973	2.851348701	2.76931937	2.758654902	2.677517987	2.509572843	2.165845798	2.43837602	2.15617625	2.293349147	2.50036116	2.446251882	2.458429831	2.430338318	2.382149099	2.124376192	2.269553811	2.280344264	1.836898786
562982	2.867292512	3.261193113	2.968750961	3.252815612	2.704938588	3.033885017	2.756083737	2.655960054	3.140476881	2.747370045	2.609403433	2.687780309	2.737578182	2.626073858	2.714089852	2.586736746	2.785748228	2.632770908
562991	5.760553874	5.960165901	5.943006236	5.940207045	5.510329269	5.242145644	5.428792235	4.991487075	4.918797607	5.354313586	5.206407762	5.01418106	5.329219072	4.981154009	5.155088715	5.245571399	5.07344021	5.003057542
562992	4.488918612	4.395022006	4.586123779	4.566045965	4.515439722	4.580044505	4.494758952	4.428660753	4.668224777	4.582521421	4.437149613	4.484860797	4.453174881	4.475094729	4.545940017	4.279279702	4.591774143	4.455583567
562999	2.003186735	1.742074982	2.215922631	2.016681353	1.667149732	1.063000487	0.833218897	1.554652419	1.326926842	1.160099777	1.026271322	0.924073142	1.218862925	1.373366444	0.966904653	1.086361619	1.082138274	0.852929025
563003	4.182987173	4.158344666	4.390592905	4.305167529	4.139725778	4.093975043	4.315288963	4.299420438	4.192381387	4.252217005	4.087015763	3.960937085	4.05593574	4.136383743	4.111417554	4.270137819	4.332205586	4.08043615
563008	4.923802341	4.893418574	5.140550895	4.849510592	4.789752117	4.763555443	4.777112544	4.656863081	4.66203899	4.661745951	4.642451354	4.583893618	4.735215022	4.755142026	4.391960777	4.572406898	4.75649176	4.57442834
563011	5.06528982	5.292355111	5.481700514	5.258643656	5.148288321	5.38899854	5.343589674	5.370306185	5.493239411	5.321142321	5.092168446	5.214397379	5.268123468	5.285721477	5.19095653	5.127362562	5.315431678	5.027569436
563012	2.875198825	2.458100477	2.93434133	2.854035084	2.58099922	2.869574681	2.532944355	2.720742784	2.617019609	2.756422391	2.63294333	2.794035081	2.686365619	2.253961322	2.677780408	2.788025212	2.655030775	2.52867409
563016	2.017545705	1.845273104	2.096520259	1.963318726	1.826790196	1.482627774	1.814562262	1.443888219	1.000734172	1.700045279	1.372335664	1.061341425	1.721065689	1.151465424	1.592011796	1.708468862	1.219091011	1.395289616
563018	6.424427331	6.446026534	6.031123286	6.100172984	6.047496827	6.027102639	6.015850857	6.685260401	6.393978242	6.170241711	6.535093774	6.140334158	6.073377327	6.38141384	6.140203187	6.31245464	6.555715188	6.116751727
563019	2.626247313	2.248163519	2.624801018	2.197014663	1.422444733	0.935796964	1.476703715	1.554652419	1.709363839	1.622952726	1.061394632	1.301987542	1.242693082	0.945543562	0.666939454	1.494882026	1.548607549	1.162154482
563020	2.794115484	2.829292206	3.380136576	3.245383479	2.885062213	2.489485194	2.327608744	2.373225254	3.061215854	2.634065313	2.216259469	2.848164771	2.624225249	2.546220805	2.491610327	2.536789509	2.814857378	2.746830905
563023	3.607507269	3.061344983	3.424198247	3.325104144	2.80208643	2.897154596	2.697894302	2.926995241	3.067469874	3.049414569	2.712433767	2.786133772	2.903732047	2.726102377	2.990594405	2.830104895	2.814857378	2.868125665
563028	4.519508323	4.316375984	4.434341157	4.185996872	4.287357059	3.959817784	4.243371332	3.696032182	3.723097703	4.005013081	4.217305069	3.960937085	4.011546044	3.713389257	4.048824221	3.987365475	3.999702102	3.921355745
563030	3.43637997	3.627332402	3.720209403	3.373633826	2.986254067	2.805521825	3.068898709	2.812768939	2.617019609	2.918431684	2.946494851	2.936480142	2.903732047	2.80446793	2.73190754	3.073743957	2.785748228	2.686536501
563038	5.195711631	5.500344402	5.391042993	5.40924026	5.23941043	5.306553868	5.284269506	5.493607094	5.521986563	5.265161021	5.245110169	5.40831337	5.128011283	5.352454174	5.403205179	5.259496592	5.359314441	5.374618137
563047	2.325189109	2.209999774	1.785120029	1.419586425	0.720856376	1.349205384	1.758729649	1.302903496	1.125865889	1.520406172	1.865118825	1.546095926	1.119399511	0.999844417	0.808002893	1.653282538	1.174869035	0.651374907
563053	4.150780971	3.622497871	4.285315912	3.775631544	3.520424861	3.923396269	3.531397861	3.076808542	3.334468617	3.639589671	3.36017623	3.595446036	3.169203109	3.196161623	3.325868042	3.587049272	2.939035015	3.373322115
563054	3.519443404	3.53773074	3.764952924	3.534732535	3.456746865	3.088736551	3.363747065	3.234869474	2.881214425	3.255007819	3.488303952	3.412514668	3.131408026	3.297191339	3.77576256	3.155452306	3.192948339	3.277301605
