Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
34-DCA,Dose_6,0,51,B,17.156666666666666,7.830871215899289,13.255,-0.4982417101618242,FALSE
34-DCA,Dose_1,1,7,C,17.156666666666666,7.830871215899289,17.486,0.0420557718615877,FALSE
34-DCA,Dose_1,1,8,C,17.156666666666666,7.830871215899289,2.015,-1.9335864745066955,FALSE
34-DCA,Dose_1,1,9,C,17.156666666666666,7.830871215899289,3.937,-1.6881476277922078,FALSE
34-DCA,Dose_2,0.1,16,C,17.156666666666666,7.830871215899289,19.946,0.3561970637021913,FALSE
34-DCA,Dose_2,0.1,17,C,17.156666666666666,7.830871215899289,5.468,-1.4926393685206778,FALSE
34-DCA,Dose_2,0.1,18,C,17.156666666666666,7.830871215899289,7.687,-1.2092737073034827,FALSE
34-DCA,Dose_3,0.01,25,C,17.156666666666666,7.830871215899289,17.595,0.05597504048379307,FALSE
34-DCA,Dose_3,0.01,26,C,17.156666666666666,7.830871215899289,10.691,-0.8256637720639817,FALSE
34-DCA,Dose_3,0.01,27,C,17.156666666666666,7.830871215899289,5.543,-1.4830618901109034,FALSE
34-DCA,Dose_4,0.001,34,C,17.156666666666666,7.830871215899289,26.098,1.1418056927279603,FALSE
34-DCA,Dose_4,0.001,35,C,17.156666666666666,7.830871215899289,22.15,0.6376472292374308,FALSE
34-DCA,Dose_4,0.001,36,C,17.156666666666666,7.830871215899289,9.095,-1.029472512623983,FALSE
34-DCA,Dose_5,1e-4,43,C,17.156666666666666,7.830871215899289,15.169,-0.2538244611443791,FALSE
34-DCA,Dose_5,1e-4,44,C,17.156666666666666,7.830871215899289,10.61,-0.8360074487465383,FALSE
34-DCA,Dose_5,1e-4,45,C,17.156666666666666,7.830871215899289,4.684,-1.5927559428308538,FALSE
34-DCA,Dose_6,0,52,C,17.156666666666666,7.830871215899289,9.056,-1.034452801397066,FALSE
34-DCA,Dose_6,0,53,C,17.156666666666666,7.830871215899289,11.62,-0.7070307394949085,FALSE
34-DCA,Dose_6,0,54,C,17.156666666666666,7.830871215899289,6.816,-1.3205001565689976,FALSE
4-TPP,Dose_1,1,1,A,5.331222222222222,3.2343292881901253,22.512,5.312006368835698,FALSE
4-TPP,Dose_1,1,2,A,5.331222222222222,3.2343292881901253,7.822,0.7701064288267241,FALSE
4-TPP,Dose_1,1,3,A,5.331222222222222,3.2343292881901253,24.269,5.855241099577412,FALSE
4-TPP,Dose_2,0.1,10,A,5.331222222222222,3.2343292881901253,7.118,0.5524415167936187,FALSE
4-TPP,Dose_2,0.1,11,A,5.331222222222222,3.2343292881901253,10.08,1.468241899523815,FALSE
4-TPP,Dose_2,0.1,12,A,5.331222222222222,3.2343292881901253,6.418,0.33601333721524684,FALSE
4-TPP,Dose_3,0.01,19,A,5.331222222222222,3.2343292881901253,6.638,0.4040336222255922,FALSE
4-TPP,Dose_3,0.01,20,A,5.331222222222222,3.2343292881901253,8.253,0.9033643508242645,FALSE
4-TPP,Dose_3,0.01,21,A,5.331222222222222,3.2343292881901253,7.849,0.7784543728961756,FALSE
4-TPP,Dose_4,0.001,28,A,5.331222222222222,3.2343292881901253,8.56,0.9982835667250648,FALSE
4-TPP,Dose_4,0.001,29,A,5.331222222222222,3.2343292881901253,5.35,0.005805771801387934,FALSE
4-TPP,Dose_4,0.001,30,A,5.331222222222222,3.2343292881901253,4.472,-0.26565700201262676,FALSE
4-TPP,Dose_5,1e-4,37,A,5.331222222222222,3.2343292881901253,6.255,0.2856164896848545,FALSE
4-TPP,Dose_5,1e-4,38,A,5.331222222222222,3.2343292881901253,9.301,1.2273882539644554,FALSE
4-TPP,Dose_5,1e-4,39,A,5.331222222222222,3.2343292881901253,4.806,-0.1623898420423752,FALSE
4-TPP,Dose_6,0,46,A,5.331222222222222,3.2343292881901253,4.6,-0.22608156346115332,FALSE
4-TPP,Dose_6,0,47,A,5.331222222222222,3.2343292881901253,5.914,0.18018504791881898,FALSE
4-TPP,Dose_6,0,48,A,5.331222222222222,3.2343292881901253,9.623,1.3269452165705062,FALSE
4-TPP,Dose_1,1,4,B,5.331222222222222,3.2343292881901253,19.392,4.347355054143526,FALSE
4-TPP,Dose_1,1,5,B,5.331222222222222,3.2343292881901253,14.303,2.773922188608764,FALSE
4-TPP,Dose_1,1,6,B,5.331222222222222,3.2343292881901253,20.571,4.711881945176242,FALSE
4-TPP,Dose_2,0.1,13,B,5.331222222222222,3.2343292881901253,13.315,2.468449272289576,FALSE
4-TPP,Dose_2,0.1,14,B,5.331222222222222,3.2343292881901253,10.06,1.4620582372501472,FALSE
4-TPP,Dose_2,0.1,15,B,5.331222222222222,3.2343292881901253,11.255,1.8315320581017964,FALSE
4-TPP,Dose_3,0.01,22,B,5.331222222222222,3.2343292881901253,15.962,3.286856974209505,FALSE
4-TPP,Dose_3,0.01,23,B,5.331222222222222,3.2343292881901253,NA,NA,TRUE
4-TPP,Dose_3,0.01,24,B,5.331222222222222,3.2343292881901253,17.921,3.8925466939152624,FALSE
4-TPP,Dose_4,0.001,31,B,5.331222222222222,3.2343292881901253,7.255,0.5947996033682428,FALSE
4-TPP,Dose_4,0.001,32,B,5.331222222222222,3.2343292881901253,7.51,0.6736412973575068,FALSE
4-TPP,Dose_4,0.001,33,B,5.331222222222222,3.2343292881901253,15.537,3.1554541508940654,FALSE
4-TPP,Dose_5,1e-4,40,B,5.331222222222222,3.2343292881901253,12.921,2.346631125498321,FALSE
4-TPP,Dose_5,1e-4,41,B,5.331222222222222,3.2343292881901253,11.551,1.923050259752079,FALSE
4-TPP,Dose_5,1e-4,42,B,5.331222222222222,3.2343292881901253,7.58,0.6952841153153441,FALSE
4-TPP,Dose_6,0,49,B,5.331222222222222,3.2343292881901253,11.062,1.771859717160902,FALSE
4-TPP,Dose_6,0,50,B,5.331222222222222,3.2343292881901253,2.187,-0.9721404167791693,FALSE
4-TPP,Dose_6,0,51,B,5.331222222222222,3.2343292881901253,3.461,-0.5782411299465325,FALSE
4-TPP,Dose_1,1,7,C,5.331222222222222,3.2343292881901253,NA,NA,TRUE
