Chemical,Dose(mg/L),Animal,Group,Replicate,Delta_Fluorescence
4-TPP,1e-4,35,B,3,7.580374999999996
4-TPP,0,36,B,3,3.461375000000003
4-TPP,1,37,C,1,31.316375000000008
4-TPP,0.1,38,C,1,10.452374999999996
4-TPP,0.01,39,C,1,19.835874999999994
4-TPP,0.001,40,C,1,7.6113750000000016
4-TPP,1e-4,41,C,1,6.531374999999996
4-TPP,0,42,C,1,6.153375000000003
4-TPP,1,43,C,2,12.936875
4-TPP,0.1,44,C,2,19.061375000000005
4-TPP,0.01,45,C,2,41.455375
4-TPP,0.001,46,C,2,6.645874999999999
4-TPP,1e-4,47,C,2,2.2563749999999976
4-TPP,0,48,C,2,3.3133749999999997
4-TPP,1,49,C,3,15.696874999999999
4-TPP,0.1,50,C,3,3.565374999999995
4-TPP,0.01,51,C,3,11.152875000000002
4-TPP,0.001,52,C,3,18.005875
4-TPP,1e-4,53,C,3,2.0143749999999967
4-TPP,0,54,C,3,1.6683750000000002
Analine,10,1,A,1,11.067625
Analine,1,2,A,1,4.675125000000002
Analine,0.1,3,A,1,10.413625
Analine,0.01,4,A,1,8.035624999999996
Analine,0.001,5,A,1,4.879124999999999
Analine,0,6,A,1,6.595125000000004
Analine,10,7,A,2,14.234124999999999
Analine,1,8,A,2,11.548125000000002
Analine,0.1,9,A,2,10.545124999999999
Analine,0.01,10,A,2,4.4171249999999995
Analine,0.001,11,A,2,8.203125
Analine,0,12,A,2,7.9371249999999955
Analine,10,13,A,3,12.008624999999995
Analine,1,14,A,3,12.461625000000005
Analine,0.1,15,A,3,12.389125
Analine,0.01,16,A,3,6.835625000000001
Analine,0.001,17,A,3,9.320125
Analine,0,18,A,3,7.288125000000002
Analine,10,19,B,1,31.556125
Analine,1,20,B,1,3.5351250000000016
Analine,0.1,21,B,1,32.807125000000006
Analine,0.01,22,B,1,6.597625000000002
Analine,0.001,23,B,1,15.647124999999996
Analine,0,24,B,1,9.036124999999998
Analine,10,25,B,2,21.155624999999997
Analine,1,26,B,2,10.234124999999999
Analine,0.1,27,B,2,7.121125000000004
Analine,0.01,28,B,2,24.181625
Analine,0.001,29,B,2,12.785125
Analine,0,30,B,2,14.727125000000001
Analine,10,31,B,3,18.181625
Analine,1,32,B,3,20.520624999999995
Analine,0.1,33,B,3,10.576124999999998
Analine,0.01,34,B,3,3.556124999999999
Analine,0.001,35,B,3,9.668624999999999
Analine,0,36,B,3,7.833624999999999
Analine,10,37,C,1,48.489625
Analine,1,38,C,1,11.392625000000002
Analine,0.1,39,C,1,7.768125000000002
Analine,0.01,40,C,1,6.0811249999999974
Analine,0.001,41,C,1,8.089125000000003
Analine,0,42,C,1,12.082625000000004
Analine,10,43,C,2,48.873125
Analine,1,44,C,2,10.913625000000003
Analine,0.1,45,C,2,13.054125000000003
Analine,0.01,46,C,2,5.645125000000001
Analine,0.001,47,C,2,6.7921249999999995
Analine,0,48,C,2,7.383624999999999
Analine,10,49,C,3,49.34462500000001
Analine,1,50,C,3,10.737124999999999
Analine,0.1,51,C,3,5.2806250000000015
Analine,0.01,52,C,3,5.4276250000000035
Analine,0.001,53,C,3,6.456625
Analine,0,54,C,3,9.750625
BPA,1,1,A,1,5.512750000000004
BPA,0.1,2,A,1,10.745749999999997
BPA,0.01,3,A,1,4.5177499999999995
BPA,0.001,4,A,1,7.913249999999998
BPA,1e-4,5,A,1,6.084749999999996
BPA,0,6,A,1,9.446749999999998
BPA,1,7,A,2,10.330750000000002
BPA,0.1,8,A,2,6.2982499999999995
BPA,0.01,9,A,2,7.876249999999999
BPA,0.001,10,A,2,7.559750000000005
BPA,1e-4,11,A,2,19.598249999999997
BPA,0,12,A,2,12.345250000000004
BPA,1,13,A,3,32.576750000000004
BPA,0.1,14,A,3,81.24675
BPA,0.01,15,A,3,7.086250000000003
BPA,0.001,16,A,3,6.302250000000001
BPA,1e-4,17,A,3,4.47175
BPA,0,18,A,3,11.37575
BPA,1,19,B,1,9.954249999999995
BPA,0.1,20,B,1,4.679250000000007
BPA,0.01,21,B,1,13.490749999999998
BPA,0.001,22,B,1,9.829749999999997
BPA,1e-4,23,B,1,7.147750000000002
BPA,0,24,B,1,9.98575
BPA,1,25,B,2,10.835249999999998
BPA,0.1,26,B,2,5.638250000000003
BPA,0.01,27,B,2,16.626749999999998
BPA,0.001,28,B,2,7.775749999999999
BPA,1e-4,29,B,2,8.806749999999997
BPA,0,30,B,2,9.840250000000001
BPA,1,31,B,3,10.958750000000006
BPA,0.1,32,B,3,5.003249999999998
BPA,0.01,33,B,3,12.326749999999993
BPA,0.001,34,B,3,4.771750000000008
BPA,1e-4,35,B,3,11.267250000000004
BPA,0,36,B,3,7.313749999999995
BPA,1,37,C,1,15.614750000000004
BPA,0.1,38,C,1,7.38025
BPA,0.01,39,C,1,13.408750000000005
BPA,0.001,40,C,1,3.7737499999999997
