Identifier,EE2-1ng/L-C
ENSDARG00000025233,2
ENSDARG00000016548,55
ENSDARG00000073848,6
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,4
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,17
ENSDARG00000095860,0
ENSDARG00000029133,14
ENSDARG00000075859,4
ENSDARG00000070858,0
ENSDARG00000036658,23
ENSDARG00000036650,0
ENSDARG00000036645,1
ENSDARG00000036637,1
ENSDARG00000036636,0
ENSDARG00000052641,37
ENSDARG00000052624,3
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,2
ENSDARG00000095507,0
ENSDARG00000094160,2
ENSDARG00000036549,27
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,2
ENSDARG00000089853,1
ENSDARG00000000086,3
ENSDARG00000026902,7
ENSDARG00000036592,0
ENSDARG00000001470,3
ENSDARG00000086877,5
ENSDARG00000069471,7
ENSDARG00000036588,12
ENSDARG00000036587,9
ENSDARG00000043271,0
ENSDARG00000036687,8
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,9
ENSDARG00000076773,0
ENSDARG00000007734,4
ENSDARG00000060148,14
ENSDARG00000069438,10
ENSDARG00000083014,0
ENSDARG00000069435,4
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,3
ENSDARG00000112034,3
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,11
ENSDARG00000036008,4
ENSDARG00000008886,0
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,6
ENSDARG00000096003,56
ENSDARG00000052480,21
ENSDARG00000022891,12
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,31
ENSDARG00000082615,0
ENSDARG00000012574,18
ENSDARG00000052512,2
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,5
ENSDARG00000030765,40
ENSDARG00000026548,0
ENSDARG00000052520,1
ENSDARG00000036494,1
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,2
ENSDARG00000060036,24
ENSDARG00000076420,2
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,1
ENSDARG00000010655,14
ENSDARG00000075785,0
ENSDARG00000075887,1
ENSDARG00000075564,4
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,15
ENSDARG00000075043,15
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,187
ENSDARG00000005578,6
