Identifier,EE2-1ng/L-B
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,3
ENSDARG00000069114,0
ENSDARG00000014803,4
ENSDARG00000016793,48
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,5
ENSDARG00000095781,0
ENSDARG00000007786,7
ENSDARG00000009472,1
ENSDARG00000111774,0
ENSDARG00000037748,5
ENSDARG00000002840,4
ENSDARG00000079632,5
ENSDARG00000016994,0
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,22
ENSDARG00000051981,1
ENSDARG00000059653,3
ENSDARG00000016835,0
ENSDARG00000094133,14
ENSDARG00000093997,3
ENSDARG00000093289,0
ENSDARG00000078659,8
ENSDARG00000093954,1
ENSDARG00000031836,3
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,1
ENSDARG00000051970,1
ENSDARG00000019778,276
ENSDARG00000051965,0
ENSDARG00000087426,3
ENSDARG00000069559,5
ENSDARG00000093347,2
ENSDARG00000069566,2
ENSDARG00000095108,0
ENSDARG00000006588,29
ENSDARG00000006225,14
ENSDARG00000052766,0
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,2
ENSDARG00000105481,0
ENSDARG00000092240,2
ENSDARG00000030376,1
ENSDARG00000069619,8
ENSDARG00000030656,6
ENSDARG00000114294,0
ENSDARG00000032340,2
ENSDARG00000026068,1
ENSDARG00000002285,0
ENSDARG00000069595,3
ENSDARG00000060187,0
ENSDARG00000060184,4
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,5
ENSDARG00000025233,0
ENSDARG00000016548,23
ENSDARG00000073848,1
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,0
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,3
ENSDARG00000095860,0
ENSDARG00000029133,5
ENSDARG00000075859,0
ENSDARG00000070858,1
ENSDARG00000036658,7
ENSDARG00000036650,1
ENSDARG00000036645,1
ENSDARG00000036637,2
ENSDARG00000036636,0
ENSDARG00000052641,14
ENSDARG00000052624,0
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,0
ENSDARG00000036549,14
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,0
ENSDARG00000089853,0
ENSDARG00000000086,6
ENSDARG00000026902,0
ENSDARG00000036592,1
ENSDARG00000001470,5
ENSDARG00000086877,3
ENSDARG00000069471,8
ENSDARG00000036588,11
ENSDARG00000036587,1
ENSDARG00000043271,0
ENSDARG00000036687,6
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,3
ENSDARG00000076773,1
ENSDARG00000007734,0
ENSDARG00000060148,10
ENSDARG00000069438,5
ENSDARG00000083014,0
ENSDARG00000069435,1
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,0
ENSDARG00000112034,0
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,1
ENSDARG00000096031,3
ENSDARG00000036008,4
ENSDARG00000008886,1
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,2
ENSDARG00000096003,26
ENSDARG00000052480,7
ENSDARG00000022891,5
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,16
ENSDARG00000082615,0
ENSDARG00000012574,4
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,0
ENSDARG00000030765,18
ENSDARG00000026548,0
ENSDARG00000052520,0
ENSDARG00000036494,1
ENSDARG00000018721,1
ENSDARG00000114696,0
ENSDARG00000013667,0
ENSDARG00000060036,9
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,9
ENSDARG00000075785,0
ENSDARG00000075887,0
ENSDARG00000075564,5
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,13
ENSDARG00000075043,3
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,69
ENSDARG00000005578,0
