sample,fastq_1,fastq_2,strandedness
Malathion_0_B,./fq_files/NS.2049.001.UDP0207_i7---UDP0207_i5.Malathion_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0207_i7---UDP0207_i5.Malathion_0_B_R2.fastq.gz,auto
Malathion_0_C,./fq_files/NS.2049.001.UDP0208_i7---UDP0208_i5.Malathion_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0208_i7---UDP0208_i5.Malathion_0_C_R2.fastq.gz,auto
Malathion_0-0001_A,./fq_files/NS.2049.001.UDP0209_i7---UDP0209_i5.Malathion_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0209_i7---UDP0209_i5.Malathion_0-0001_A_R2.fastq.gz,auto
Malathion_0-0001_B,./fq_files/NS.2049.001.UDP0210_i7---UDP0210_i5.Malathion_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0210_i7---UDP0210_i5.Malathion_0-0001_B_R2.fastq.gz,auto
Malathion_0-0001_C,./fq_files/NS.2049.001.UDP0211_i7---UDP0211_i5.Malathion_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0211_i7---UDP0211_i5.Malathion_0-0001_C_R2.fastq.gz,auto
Malathion_0-001_A,./fq_files/NS.2049.001.UDP0212_i7---UDP0212_i5.Malathion_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0212_i7---UDP0212_i5.Malathion_0-001_A_R2.fastq.gz,auto
Malathion_0-001_B,./fq_files/NS.2049.001.UDP0213_i7---UDP0213_i5.Malathion_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0213_i7---UDP0213_i5.Malathion_0-001_B_R2.fastq.gz,auto
Malathion_0-001_C,./fq_files/NS.2049.001.UDP0214_i7---UDP0214_i5.Malathion_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0214_i7---UDP0214_i5.Malathion_0-001_C_R2.fastq.gz,auto
Malathion_0-01_A,./fq_files/NS.2049.001.UDP0215_i7---UDP0215_i5.Malathion_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0215_i7---UDP0215_i5.Malathion_0-01_A_R2.fastq.gz,auto
Malathion_0-01_B,./fq_files/NS.2049.001.UDP0216_i7---UDP0216_i5.Malathion_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0216_i7---UDP0216_i5.Malathion_0-01_B_R2.fastq.gz,auto
Malathion_0-01_C,./fq_files/NS.2049.001.UDP0217_i7---UDP0217_i5.Malathion_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0217_i7---UDP0217_i5.Malathion_0-01_C_R2.fastq.gz,auto
Malathion_0-1_A,./fq_files/NS.2049.001.UDP0218_i7---UDP0218_i5.Malathion_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0218_i7---UDP0218_i5.Malathion_0-1_A_R2.fastq.gz,auto
Malathion_0-1_B,./fq_files/NS.2049.001.UDP0219_i7---UDP0219_i5.Malathion_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0219_i7---UDP0219_i5.Malathion_0-1_B_R2.fastq.gz,auto
Malathion_0-1_C,./fq_files/NS.2049.001.UDP0220_i7---UDP0220_i5.Malathion_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0220_i7---UDP0220_i5.Malathion_0-1_C_R2.fastq.gz,auto
