B4,Counts
ENSDARG00000005774,433
ENSDARG00000005775,791
ENSDARG00000005776,64
ENSDARG00000005780,3
ENSDARG00000005783,150
ENSDARG00000005786,22
ENSDARG00000005789,122
ENSDARG00000005791,1818
ENSDARG00000005799,54
ENSDARG00000005800,115
ENSDARG00000005814,0
ENSDARG00000005821,3
ENSDARG00000005823,284
ENSDARG00000005827,326
ENSDARG00000005828,19
ENSDARG00000005834,247
ENSDARG00000005840,349
ENSDARG00000005841,87
ENSDARG00000005842,54
ENSDARG00000005853,8
ENSDARG00000005861,555
ENSDARG00000005865,1
ENSDARG00000005867,234
ENSDARG00000005870,59
ENSDARG00000005883,91
ENSDARG00000005891,429
ENSDARG00000005894,26
ENSDARG00000005897,55
ENSDARG00000005908,74
ENSDARG00000005913,93
ENSDARG00000005915,163
ENSDARG00000005916,38
ENSDARG00000005924,549
ENSDARG00000005926,173
ENSDARG00000005927,224
ENSDARG00000005941,423
ENSDARG00000005942,3
ENSDARG00000005943,28
ENSDARG00000005945,245
ENSDARG00000005948,37
ENSDARG00000005972,31
ENSDARG00000005980,142
ENSDARG00000005989,139
ENSDARG00000005993,7
ENSDARG00000006003,66
ENSDARG00000006008,284
ENSDARG00000006010,55
ENSDARG00000006011,16
ENSDARG00000006019,683
ENSDARG00000006025,68
ENSDARG00000006029,28
ENSDARG00000006031,1229
ENSDARG00000006038,102
ENSDARG00000006040,54
ENSDARG00000006044,19
ENSDARG00000006052,0
ENSDARG00000006060,626
ENSDARG00000006062,469
ENSDARG00000006065,22
ENSDARG00000006074,41
ENSDARG00000006079,9
ENSDARG00000006092,1015
ENSDARG00000006093,17
ENSDARG00000006094,373
ENSDARG00000006109,5
ENSDARG00000006110,23
ENSDARG00000006112,235
ENSDARG00000006120,208
ENSDARG00000006124,676
ENSDARG00000006125,313
ENSDARG00000006128,394
ENSDARG00000006137,8
ENSDARG00000006151,19
ENSDARG00000006169,128
ENSDARG00000006174,2
ENSDARG00000006181,42
ENSDARG00000006192,136
ENSDARG00000006196,132
ENSDARG00000006200,1478
ENSDARG00000006202,594
ENSDARG00000006206,15
ENSDARG00000006207,7
ENSDARG00000006215,308
ENSDARG00000006219,271
ENSDARG00000006220,667
ENSDARG00000006225,397
ENSDARG00000006235,96
ENSDARG00000006240,113
ENSDARG00000006242,1037
ENSDARG00000006251,269
ENSDARG00000006253,43
ENSDARG00000006257,606
ENSDARG00000006260,2162
ENSDARG00000006266,384
ENSDARG00000006272,161
ENSDARG00000006279,54
ENSDARG00000006283,445
ENSDARG00000006288,28
ENSDARG00000006290,104
ENSDARG00000006292,4
ENSDARG00000006299,69
ENSDARG00000006300,53
ENSDARG00000006301,150
ENSDARG00000006307,62
ENSDARG00000006308,9
ENSDARG00000006314,514
ENSDARG00000006316,1425
ENSDARG00000006332,309
ENSDARG00000006341,13
ENSDARG00000006345,78
ENSDARG00000006350,0
ENSDARG00000006353,140
ENSDARG00000006356,105
ENSDARG00000006368,30
ENSDARG00000006370,115
ENSDARG00000006372,0
ENSDARG00000006383,107
ENSDARG00000006385,39
ENSDARG00000006389,209
ENSDARG00000006392,34
ENSDARG00000006395,727
ENSDARG00000006396,434
ENSDARG00000006397,324
ENSDARG00000006399,446
ENSDARG00000006408,263
ENSDARG00000006409,3
ENSDARG00000006413,155
ENSDARG00000006420,267
ENSDARG00000006422,124
ENSDARG00000006427,1719
ENSDARG00000006434,29
ENSDARG00000006447,22
ENSDARG00000006456,41
ENSDARG00000006467,32
ENSDARG00000006468,11
ENSDARG00000006474,13
ENSDARG00000006477,193
ENSDARG00000006487,584
ENSDARG00000006491,40
ENSDARG00000006494,113
ENSDARG00000006497,996
ENSDARG00000006501,0
ENSDARG00000006508,93
ENSDARG00000006514,83
ENSDARG00000006522,33
ENSDARG00000006524,885
ENSDARG00000006526,2927
ENSDARG00000006527,224
ENSDARG00000006544,7
ENSDARG00000006545,112
ENSDARG00000006546,193
ENSDARG00000006553,111
ENSDARG00000006560,0
ENSDARG00000006566,274
ENSDARG00000006567,6
ENSDARG00000006568,3
ENSDARG00000006577,33
ENSDARG00000006580,0
ENSDARG00000006584,387
ENSDARG00000006585,80
ENSDARG00000006588,96
ENSDARG00000006598,14
ENSDARG00000006600,255
ENSDARG00000006601,114
ENSDARG00000006602,7
ENSDARG00000006603,250
ENSDARG00000006604,16
ENSDARG00000006607,46
ENSDARG00000006609,109
ENSDARG00000006615,208
ENSDARG00000006617,48
ENSDARG00000006621,184
ENSDARG00000006624,193
ENSDARG00000006636,86
ENSDARG00000006639,79
ENSDARG00000006640,65
ENSDARG00000006642,64
ENSDARG00000006666,5
ENSDARG00000006672,102
ENSDARG00000006677,151
ENSDARG00000006678,1
ENSDARG00000006683,135
