A6,Counts
ENSDARG00000004697,5
ENSDARG00000004702,52
ENSDARG00000004706,33
ENSDARG00000004712,17
ENSDARG00000004713,6
ENSDARG00000004714,56
ENSDARG00000004721,0
ENSDARG00000004724,33
ENSDARG00000004726,38
ENSDARG00000004735,85
ENSDARG00000004745,3
ENSDARG00000004748,11
ENSDARG00000004753,32
ENSDARG00000004754,62
ENSDARG00000004757,757
ENSDARG00000004763,0
ENSDARG00000004771,5
ENSDARG00000004774,22
ENSDARG00000004782,86
ENSDARG00000004785,80
ENSDARG00000004789,33
ENSDARG00000004794,9
ENSDARG00000004796,30
ENSDARG00000004806,6
ENSDARG00000004823,0
ENSDARG00000004830,123
ENSDARG00000004836,66
ENSDARG00000004840,15
ENSDARG00000004843,18
ENSDARG00000004851,5
ENSDARG00000004861,31
ENSDARG00000004864,0
ENSDARG00000004866,9
ENSDARG00000004869,10
ENSDARG00000004870,7
ENSDARG00000004871,6
ENSDARG00000004874,2
ENSDARG00000004875,5
ENSDARG00000004877,30
ENSDARG00000004880,9
ENSDARG00000004889,0
ENSDARG00000004891,21
ENSDARG00000004898,0
ENSDARG00000004904,18
ENSDARG00000004906,46
ENSDARG00000004925,1
ENSDARG00000004930,97
ENSDARG00000004931,15
ENSDARG00000004932,7
ENSDARG00000004937,0
ENSDARG00000004939,27
ENSDARG00000004948,54
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,5
ENSDARG00000004956,18
ENSDARG00000004964,17
ENSDARG00000004979,3
ENSDARG00000004988,32
ENSDARG00000005002,14
ENSDARG00000005004,2
ENSDARG00000005010,3
ENSDARG00000005015,77
ENSDARG00000005023,23
ENSDARG00000005026,63
ENSDARG00000005034,6
ENSDARG00000005049,5
ENSDARG00000005050,2
ENSDARG00000005057,1
ENSDARG00000005058,31
ENSDARG00000005078,32
ENSDARG00000005085,24
ENSDARG00000005092,3
ENSDARG00000005095,2
ENSDARG00000005098,9
ENSDARG00000005104,69
ENSDARG00000005108,13
ENSDARG00000005112,164
ENSDARG00000005115,14
ENSDARG00000005122,74
ENSDARG00000005126,10
ENSDARG00000005128,0
ENSDARG00000005134,24
ENSDARG00000005139,13
ENSDARG00000005141,40
ENSDARG00000005150,2
ENSDARG00000005154,4
ENSDARG00000005159,5
ENSDARG00000005162,121
ENSDARG00000005163,6
ENSDARG00000005172,13
ENSDARG00000005176,0
ENSDARG00000005179,22
ENSDARG00000005185,117
ENSDARG00000005186,31
ENSDARG00000005191,310
ENSDARG00000005210,36
ENSDARG00000005216,22
ENSDARG00000005218,1
ENSDARG00000005220,13
ENSDARG00000005221,29
ENSDARG00000005230,35
ENSDARG00000005232,33
ENSDARG00000005236,173
ENSDARG00000005246,6
ENSDARG00000005251,16
ENSDARG00000005254,23
ENSDARG00000005271,2
ENSDARG00000005274,0
ENSDARG00000005284,1
ENSDARG00000005314,0
ENSDARG00000005315,83
ENSDARG00000005318,31
ENSDARG00000005320,24
ENSDARG00000005327,0
ENSDARG00000005332,3
ENSDARG00000005335,8
ENSDARG00000005343,2
ENSDARG00000005350,29
ENSDARG00000005355,20
ENSDARG00000005356,15
ENSDARG00000005359,61
ENSDARG00000005364,0
ENSDARG00000005368,64
ENSDARG00000005371,9
ENSDARG00000005372,20
ENSDARG00000005374,12
ENSDARG00000005382,11
ENSDARG00000005392,3
ENSDARG00000005394,30
ENSDARG00000005397,58
ENSDARG00000005414,0
ENSDARG00000005416,39
ENSDARG00000005423,7
ENSDARG00000005425,23
ENSDARG00000005448,1
ENSDARG00000005451,136
ENSDARG00000005453,51
ENSDARG00000005454,2
ENSDARG00000005456,74
ENSDARG00000005458,21
ENSDARG00000005462,8
ENSDARG00000005463,36
ENSDARG00000005464,1
ENSDARG00000005468,36
ENSDARG00000005476,66
ENSDARG00000005479,82
ENSDARG00000005481,7
ENSDARG00000005482,167
ENSDARG00000005485,13
ENSDARG00000005500,11
ENSDARG00000005510,0
ENSDARG00000005513,674
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,16
ENSDARG00000005526,33
ENSDARG00000005536,77
ENSDARG00000005540,40
ENSDARG00000005541,23
ENSDARG00000005544,2
ENSDARG00000005547,7
ENSDARG00000005549,19
ENSDARG00000005551,14
ENSDARG00000005559,0
ENSDARG00000005560,56
ENSDARG00000005561,5
ENSDARG00000005565,18
ENSDARG00000005574,32
ENSDARG00000005576,63
ENSDARG00000005578,10
ENSDARG00000005586,18
ENSDARG00000005590,23
ENSDARG00000005595,0
ENSDARG00000005606,17
ENSDARG00000005612,7
ENSDARG00000005616,12
ENSDARG00000005619,0
ENSDARG00000005625,28
ENSDARG00000005626,2
ENSDARG00000005627,0
ENSDARG00000005629,15
ENSDARG00000005640,0
ENSDARG00000005643,16
ENSDARG00000005645,46
ENSDARG00000005648,4
ENSDARG00000005651,17
ENSDARG00000005652,70
ENSDARG00000005670,12
ENSDARG00000005673,5
ENSDARG00000005675,12
ENSDARG00000005679,9
ENSDARG00000005690,4
ENSDARG00000005699,8
ENSDARG00000005704,46
ENSDARG00000005713,19
ENSDARG00000005716,16
ENSDARG00000005738,8
ENSDARG00000005739,12
ENSDARG00000005749,0
ENSDARG00000005754,119
ENSDARG00000005762,26
ENSDARG00000005772,5
ENSDARG00000005774,65
ENSDARG00000005775,112
ENSDARG00000005776,17
ENSDARG00000005780,0
ENSDARG00000005783,12
ENSDARG00000005786,15
ENSDARG00000005789,13
ENSDARG00000005791,338
ENSDARG00000005799,13
ENSDARG00000005800,2
ENSDARG00000005814,0
ENSDARG00000005821,1
ENSDARG00000005823,57
ENSDARG00000005827,26
ENSDARG00000005828,1
ENSDARG00000005834,59
ENSDARG00000005840,35
ENSDARG00000005841,28
ENSDARG00000005842,4
ENSDARG00000005853,3
ENSDARG00000005861,113
ENSDARG00000005865,0
ENSDARG00000005867,51
ENSDARG00000005870,16
ENSDARG00000005883,9
ENSDARG00000005891,78
ENSDARG00000005894,5
ENSDARG00000005897,10
ENSDARG00000005908,26
ENSDARG00000005913,4
ENSDARG00000005915,28
ENSDARG00000005916,8
ENSDARG00000005924,103
ENSDARG00000005926,26
ENSDARG00000005927,33
ENSDARG00000005941,78
ENSDARG00000005942,0
ENSDARG00000005943,3
ENSDARG00000005945,34
ENSDARG00000005948,14
ENSDARG00000005972,8
ENSDARG00000005980,28
ENSDARG00000005989,5
ENSDARG00000005993,2
ENSDARG00000006003,15
ENSDARG00000006008,60
ENSDARG00000006010,8
ENSDARG00000006011,3
ENSDARG00000006019,67
ENSDARG00000006025,30
ENSDARG00000006029,13
ENSDARG00000006031,214
ENSDARG00000006038,17
ENSDARG00000006040,7
ENSDARG00000006044,4
ENSDARG00000006052,0
ENSDARG00000006060,79
ENSDARG00000006062,69
ENSDARG00000006065,0
ENSDARG00000006074,3
ENSDARG00000006079,3
ENSDARG00000006092,189
ENSDARG00000006093,0
ENSDARG00000006094,257
ENSDARG00000006109,0
ENSDARG00000006110,1
ENSDARG00000006112,16
ENSDARG00000006120,28
ENSDARG00000006124,125
ENSDARG00000006125,32
ENSDARG00000006128,61
ENSDARG00000006137,7
ENSDARG00000006151,16
ENSDARG00000006169,20
ENSDARG00000006174,0
ENSDARG00000006181,13
ENSDARG00000006192,32
ENSDARG00000006196,21
ENSDARG00000006200,275
ENSDARG00000006202,49
ENSDARG00000006206,2
ENSDARG00000006207,2
ENSDARG00000006215,33
ENSDARG00000006219,28
ENSDARG00000006220,112
ENSDARG00000006225,68
ENSDARG00000006235,16
ENSDARG00000006240,13
ENSDARG00000006242,136
ENSDARG00000006251,150
ENSDARG00000006253,20
ENSDARG00000006257,66
ENSDARG00000006260,242
ENSDARG00000006266,76
ENSDARG00000006272,36
ENSDARG00000006279,7
ENSDARG00000006283,67
ENSDARG00000006288,4
ENSDARG00000006290,10
ENSDARG00000006292,2
ENSDARG00000006299,0
ENSDARG00000006300,9
ENSDARG00000006301,63
ENSDARG00000006307,6
ENSDARG00000006308,2
ENSDARG00000006314,87
ENSDARG00000006316,251
ENSDARG00000006332,37
ENSDARG00000006341,0
ENSDARG00000006345,0
ENSDARG00000006350,0
ENSDARG00000006353,22
ENSDARG00000006356,15
ENSDARG00000006368,8
ENSDARG00000006370,11
ENSDARG00000006372,0
ENSDARG00000006383,13
ENSDARG00000006385,2
ENSDARG00000006389,46
ENSDARG00000006392,23
ENSDARG00000006395,84
ENSDARG00000006396,107
ENSDARG00000006397,49
ENSDARG00000006399,64
ENSDARG00000006408,39
ENSDARG00000006409,2
ENSDARG00000006413,51
ENSDARG00000006420,64
ENSDARG00000006422,36
ENSDARG00000006427,268
ENSDARG00000006434,4
ENSDARG00000006447,5
ENSDARG00000006456,0
ENSDARG00000006467,10
ENSDARG00000006468,10
ENSDARG00000006474,1
ENSDARG00000006477,20
ENSDARG00000006487,55
ENSDARG00000006491,4
ENSDARG00000006494,14
ENSDARG00000006497,130
ENSDARG00000006501,1
ENSDARG00000006508,14
ENSDARG00000006514,10
ENSDARG00000006522,2
ENSDARG00000006524,119
ENSDARG00000006526,408
ENSDARG00000006527,51
ENSDARG00000006544,0
ENSDARG00000006545,16
ENSDARG00000006546,62
ENSDARG00000006553,53
ENSDARG00000006560,2
ENSDARG00000006566,42
ENSDARG00000006567,1
ENSDARG00000006568,0
ENSDARG00000006577,11
ENSDARG00000006580,0
ENSDARG00000006584,64
ENSDARG00000006585,24
ENSDARG00000006588,16
ENSDARG00000006598,32
ENSDARG00000006600,26
ENSDARG00000006601,19
ENSDARG00000006602,0
ENSDARG00000006603,43
ENSDARG00000006604,1
ENSDARG00000006607,3
ENSDARG00000006609,9
ENSDARG00000006615,21
ENSDARG00000006617,9
ENSDARG00000006621,49
ENSDARG00000006624,14
ENSDARG00000006636,13
ENSDARG00000006639,19
ENSDARG00000006640,14
ENSDARG00000006642,14
ENSDARG00000006666,1
ENSDARG00000006672,12
ENSDARG00000006677,14
ENSDARG00000006678,0
ENSDARG00000006683,23
ENSDARG00000006691,267
ENSDARG00000006712,2
