	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
561333	0	3	10	20	6	5	14	4	0	7	16	4	0	0	0	27	20	0
561336	570	387	994	590	663	721	1515	327	153	380	1440	894	161	850	1050	681	357	116
561338	10	6	31	20	32	24	70	3	5	6	69	16	5	29	56	13	10	0
561339	25	13	44	17	61	88	140	14	7	18	54	48	10	92	47	59	30	9
561345	56	50	196	116	137	141	371	76	11	85	216	188	27	300	180	90	50	11
561348	236	190	460	219	360	263	596	122	63	158	613	325	108	302	384	265	157	27
561350	610	323	1721	584	784	694	3251	429	50	1091	1294	1034	511	2061	1787	1722	894	229
561353	39	0	40	0	0	32	37	0	19	0	63	8	0	31	6	0	31	0
561355	36	11	36	14	15	4	85	9	0	7	16	41	0	39	28	2	2	0
561360	27	0	20	11	0	0	32	7	0	0	5	7	0	19	5	16	6	2
561372	0	14	26	11	7	2	25	4	0	25	14	13	7	43	16	28	3	0
561373	10	23	27	20	17	25	74	3	11	4	64	71	0	61	73	40	30	0
561374	12	0	4	20	0	3	17	3	1	0	33	0	12	4	20	16	2	0
561375	0	0	7	3	0	2	0	4	0	19	17	26	0	7	4	29	8	0
561376	0	2	3	2	0	1	108	2	0	8	8	0	0	1	22	3	26	0
561377	16	17	16	6	6	19	40	5	0	6	42	8	10	30	18	27	11	0
561384	157	99	187	159	133	174	443	86	31	138	410	273	44	332	234	260	117	11
561390	61	83	139	40	112	63	213	12	5	83	155	130	0	168	102	83	53	4
561406	1	0	3	7	3	0	4	9	0	4	7	1	0	0	7	2	0	0
561410	9	11	46	19	19	27	123	0	0	36	68	15	25	128	38	66	39	8
561411	85	72	283	66	166	179	402	9	26	123	288	209	24	362	187	259	115	15
561414	8	0	6	1	0	1	12	0	0	0	0	12	8	19	9	0	0	17
561416	20	91	176	81	20	21	85	52	7	0	85	50	15	56	21	41	17	5
561420	0	2	15	0	1	0	12	3	0	1	7	0	0	1	2	4	0	0
561423	20	93	78	46	20	65	159	40	16	33	113	54	22	127	79	61	26	10
561429	40	53	132	66	126	58	164	8	27	20	313	107	5	100	122	52	33	0
561431	199	179	546	192	214	344	623	92	33	231	553	525	83	761	560	467	210	42
561433	175	159	324	94	212	218	527	125	19	172	421	268	98	751	320	345	196	48
561434	100	56	183	65	102	59	356	45	20	88	166	152	42	240	152	207	124	23
561437	20	42	80	51	59	25	93	6	13	54	155	114	25	143	87	70	54	6
561438	17	68	76	45	69	107	191	45	17	48	256	90	38	126	131	81	59	40
561440	22	29	2	8	12	2	58	4	0	3	51	1	0	23	32	6	20	0
561450	7	27	3	0	14	6	45	0	6	31	29	15	12	23	65	18	32	0
561451	341	385	956	407	458	624	1161	140	64	272	1142	653	110	737	771	504	221	73
561457	13	0	35	13	9	19	35	2	9	28	44	2	6	25	18	31	6	0
561459	9	11	16	0	33	0	7	0	0	0	6	1	0	20	20	5	1	0
561460	127	144	245	106	182	112	330	41	16	60	352	219	25	203	140	149	114	17
561462	0	0	6	7	1	2	3	0	0	2	5	26	5	5	9	24	10	0
561469	6	15	45	7	37	21	53	22	0	20	67	21	6	43	31	39	12	0
561471	2	0	2	0	0	0	0	0	0	15	11	8	0	6	19	12	0	0
561475	5	33	14	15	39	9	68	13	2	20	18	38	14	48	72	56	4	19
561476	22	10	24	11	18	17	51	9	0	0	22	11	25	38	20	4	8	6
561483	21	23	52	45	25	51	25	33	0	18	45	58	16	41	41	25	7	6
561486	21	10	16	11	47	8	19	11	1	9	14	6	2	24	10	28	9	0
561487	11	19	29	21	28	12	90	8	7	10	39	4	3	47	12	28	22	2
561489	145	90	103	84	178	85	212	10	33	47	215	88	19	121	95	80	57	17
561493	5	0	42	10	11	11	28	1	0	27	10	22	3	37	25	12	13	0
561494	54	14	9	0	6	5	4	2	0	0	6	26	0	170	10	73	8	13
561496	111	110	299	133	115	184	412	37	13	150	276	201	69	289	214	195	113	4
561497	6	21	58	3	2	3	17	0	1	2	1	0	1	27	17	11	0	6
561503	434	468	895	390	698	666	1525	237	103	438	1560	1066	237	1028	873	793	540	155
561505	2	0	1	2	0	0	4	0	0	0	4	3	1	11	3	0	5	0
561510	8	0	6	0	0	1	12	0	2	0	5	2	0	10	0	0	0	1
561511	0	10	0	0	0	10	27	0	0	0	5	0	1	13	7	3	0	0
561518	35	11	34	24	13	92	72	12	0	13	47	64	12	66	30	11	9	5
561520	6	3	27	5	32	17	84	14	0	9	39	29	12	65	15	43	8	3
561525	31	17	55	39	32	35	91	8	3	13	133	49	29	23	65	14	12	0
561535	0	15	12	3	7	16	40	1	0	1	27	11	0	16	16	12	0	17
561536	73	95	115	35	119	75	132	21	32	86	202	71	21	110	137	62	71	19
561540	11	44	32	37	44	42	130	7	7	31	125	78	5	62	46	19	39	0
561541	1	0	39	5	10	6	22	9	3	1	24	37	0	46	6	14	0	0
561542	7	10	18	3	5	28	30	2	3	5	7	9	0	0	17	3	0	0
561547	3	15	26	22	18	68	34	1	12	14	79	16	7	10	52	8	0	2
561549	70	37	143	81	49	96	238	37	5	43	145	106	3	132	102	107	51	16
561563	35	15	22	11	41	62	71	9	12	23	54	104	11	52	50	55	12	6
561566	105	91	144	60	75	65	143	30	19	40	134	66	46	65	104	52	44	5
561567	296	263	665	384	429	286	909	185	193	158	886	498	143	454	388	346	209	32
561568	7	3	32	0	10	0	1	0	0	9	10	0	0	40	4	17	0	0
561583	229	245	210	298	502	521	463	82	39	242	790	435	48	318	380	299	190	0
561589	32	104	126	206	72	103	318	108	20	64	187	92	24	239	231	89	70	9
561592	7	1	30	11	9	9	42	6	0	29	15	22	2	60	30	46	4	6
561595	18	25	99	33	71	24	47	23	20	35	71	30	25	26	33	64	15	2
561606	1	7	32	0	31	5	56	1	0	7	48	8	5	20	16	34	1	0
561607	13	3	9	5	33	26	79	0	32	11	4	13	12	35	0	12	3	0
561612	35	25	53	27	50	24	63	13	4	1	38	37	0	69	57	26	7	1
