	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
561961	28	120	369	171	0	78	55	70	18	152	14	0	194	0	52
561964	16	13	16	2	13	6	19	19	29	13	2	23	29	36	9
561967	103	197	103	48	126	36	138	241	82	91	103	112	201	27	215
561969	43	45	38	9	2	12	6	23	25	5	3	38	28	6	6
561970	23	115	165	28	112	10	21	52	91	73	35	58	77	33	125
561971	44	32	84	0	51	30	76	16	0	3	0	10	65	0	31
561976	8	7	0	0	0	0	0	14	2	0	8	0	1	0	0
561978	25	11	7	4	4	8	7	29	16	6	5	18	34	16	16
561983	18	112	93	25	37	16	68	79	22	30	38	72	221	39	75
561988	2	1	0	0	0	0	7	0	0	0	0	12	2	0	7
561994	45	65	60	4	25	8	32	43	64	5	44	9	109	53	70
561995	23	36	43	7	14	5	1	23	7	14	27	4	41	14	14
562002	161	296	415	137	125	74	125	312	165	122	63	130	422	108	257
562008	6	25	15	7	25	1	9	27	16	0	27	19	4	2	10
562009	39	144	126	12	98	47	56	70	6	5	10	115	156	69	195
562011	4	31	13	5	21	11	20	10	20	18	0	11	63	17	19
562014	0	38	19	0	0	0	2	8	0	10	0	0	4	0	6
562018	104	390	350	99	151	101	94	243	103	100	101	249	350	81	237
562019	78	209	98	43	93	68	63	209	74	111	91	98	215	66	187
562022	0	38	6	0	24	0	5	0	8	8	0	2	22	0	5
562028	95	248	156	41	56	160	200	254	99	104	123	197	322	51	159
562031	156	393	235	45	127	65	134	259	228	101	77	158	250	77	193
562032	92	209	233	87	94	46	90	133	69	80	78	100	326	57	183
562035	8	1	67	4	3	7	28	33	4	0	4	22	2	0	42
562037	234	443	410	120	203	100	161	341	235	184	190	282	436	181	300
562040	0	19	6	0	17	4	0	0	3	0	9	0	11	0	0
562045	133	251	285	126	72	81	137	202	137	157	120	139	317	67	232
562048	308	900	746	157	207	149	316	749	326	303	211	301	943	210	595
562049	80	85	108	21	51	11	68	125	39	85	19	37	108	40	100
562050	1	21	37	1	25	5	31	62	9	28	16	38	128	22	30
562051	0	9	3	9	15	1	6	32	15	17	3	4	36	1	10
562052	24	47	21	22	15	2	11	25	25	18	6	18	72	12	9
562056	0	1	10	0	1	0	1	4	4	17	0	1	1	5	0
562059	433	1048	1060	397	263	156	339	620	505	343	327	442	946	289	573
562062	193	431	485	129	121	146	156	439	326	210	123	270	434	83	405
562064	341	795	746	347	357	147	367	757	593	409	386	461	1023	282	586
562065	0	9	8	4	0	0	0	1	4	0	0	0	0	0	0
562066	81	111	91	25	14	16	26	70	23	44	5	116	175	28	68
562071	133	132	219	32	55	202	53	44	93	69	25	205	142	54	107
562072	56	134	174	51	130	38	100	111	103	75	64	107	166	21	139
562075	19	55	86	14	15	10	68	53	18	37	19	17	160	26	66
562076	22	22	34	18	82	15	16	86	15	3	19	77	20	8	1
562077	144	267	307	1017	123	91	161	257	157	824	128	238	439	83	1861
562078	10	27	51	16	2	24	26	42	15	16	24	5	51	21	26
562079	61	87	68	13	45	14	25	54	51	42	29	35	92	2	27
562087	83	103	118	18	62	61	113	268	130	135	88	72	158	57	158
562092	0	0	8	2	17	0	2	34	4	8	7	7	36	12	21
562093	71	119	178	34	41	27	50	46	60	32	29	43	226	41	52
562098	17	44	20	12	2	0	5	16	24	5	18	0	27	2	13
562103	12	5	20	0	3	9	3	4	5	11	1	0	27	0	0
562105	4	0	3	14	0	0	17	3	3	0	11	0	0	8	0
562111	9	0	1	0	0	1	4	0	1	2	7	0	8	0	3
562114	24	53	42	24	13	13	30	37	27	20	38	21	63	26	33
562116	11	39	27	21	51	43	9	45	35	40	40	12	35	21	17
562120	0	5	0	7	0	0	2	4	0	0	0	8	24	0	17
562123	19	25	81	0	6	0	19	13	0	5	5	36	53	6	19
562128	14	1	14	6	34	0	0	13	13	1	1	0	2	2	23
562131	113	265	211	43	91	28	119	215	93	130	80	133	232	77	219
562137	0	37	18	0	0	0	15	16	4	10	7	3	25	0	1
562138	113	112	230	61	52	27	77	135	92	61	40	94	173	41	114
562139	44	46	26	0	42	3	34	63	58	0	0	37	0	0	38
562140	115	167	266	77	78	41	91	215	165	139	117	130	453	58	257
562144	2	9	18	1	1	0	12	0	0	0	0	0	7	0	0
562149	71	227	229	38	137	77	140	281	123	101	159	136	335	69	229
562152	59	278	306	79	27	34	48	70	177	42	35	113	203	38	215
562155	6	28	13	0	12	29	9	18	0	8	2	7	9	5	11
562156	1	13	48	21	24	13	4	25	11	1	8	40	40	2	20
562163	21	53	23	0	15	0	7	53	1	29	6	42	35	12	20
562166	37	274	258	268	79	37	84	209	63	133	82	261	433	80	311
562169	86	96	131	35	45	9	29	89	41	62	45	36	54	23	76
562170	23	106	123	24	40	44	57	85	41	43	44	121	145	22	134
562171	139	204	87	115	53	23	63	61	21	18	34	77	71	32	93
562176	96	81	105	34	23	28	43	54	12	27	10	48	39	20	48
562183	23	14	36	11	6	7	14	32	21	32	5	3	41	24	38
562188	188	410	531	69	181	107	271	387	924	361	107	336	295	308	319
562190	2092	3301	7376	1068	957	981	2511	4168	1623	1368	989	1652	4273	1033	3291
562194	21	62	11	4	24	2	26	49	2	13	4	28	55	16	4
562195	117	278	341	94	101	55	97	233	183	112	98	158	353	73	276
562197	120	69	15	7	22	6	51	43	10	26	10	31	245	20	13
562199	135	340	343	101	91	42	116	279	122	141	130	65	372	66	176
562207	89	171	130	40	50	68	75	140	72	57	34	97	143	53	140
562208	75	233	164	44	88	65	88	102	91	82	64	118	283	44	148
562219	12	52	19	1	10	7	4	16	12	5	5	1	25	21	7
562231	229	372	360	84	87	82	207	342	222	218	103	194	337	77	238
562232	29	81	57	13	11	9	14	91	42	37	23	37	112	31	57
562236	16	27	5	11	28	2	0	11	9	11	0	10	21	5	1
562242	0	131	40	34	0	5	33	45	8	13	32	0	70	19	35
562244	40	96	97	22	18	10	35	23	20	32	29	47	113	13	41
562247	0	0	2	7	3	0	7	19	0	1	9	2	27	4	7
562250	0	0	0	1	1	0	5	6	0	1	3	14	0	11	0
562258	20	93	186	46	45	71	123	175	76	57	65	94	227	36	27
562259	10	3	3	0	5	12	0	2	4	1	2	2	2	3	1
562260	0	9	0	0	0	6	10	1	25	9	0	0	33	0	0
562261	8	2	15	0	0	3	0	33	5	0	0	16	6	0	8
562262	1	1	2	1	0	7	0	19	5	0	0	2	18	2	10
562264	77	144	68	39	84	52	72	106	57	50	35	44	256	30	62
562268	27	30	30	16	6	6	30	61	31	20	12	15	67	24	22
562273	19	51	29	12	23	5	2	30	5	22	18	13	41	13	32
562282	59	269	108	28	131	9	84	89	66	94	19	72	120	185	58
562283	84	183	204	67	64	44	40	116	142	93	60	94	244	54	168
562289	68	89	73	40	65	19	29	88	27	25	22	55	117	61	92
562290	22	58	94	9	12	0	8	52	9	44	3	18	53	32	5
562291	125	195	161	47	81	44	110	221	87	54	38	117	250	62	140
562292	0	7	5	0	0	0	8	14	0	1	11	3	0	0	2
562300	3	0	10	0	0	5	5	1	32	2	1	1	24	12	9
562304	25	82	18	30	69	8	82	72	60	57	102	95	61	14	95
562307	66	135	95	14	79	25	100	89	52	69	48	74	159	53	135
562311	1	0	2	0	0	0	2	1	0	0	7	9	8	1	0
562316	0	3	18	8	0	0	5	8	7	0	2	0	7	0	24
562317	1	3	5	0	0	0	0	0	0	6	6	13	0	0	0
562318	2	16	3	0	0	0	0	11	0	3	0	0	1	6	3
562319	27	84	70	21	26	8	32	64	44	52	28	34	97	33	100
562320	105	261	272	106	136	63	121	212	139	149	132	191	379	124	245
562327	0	18	23	0	0	0	6	3	5	1	5	0	20	0	0
562329	14	107	86	25	13	0	0	17	40	0	13	0	63	0	89
562331	52	57	60	9	25	2	28	59	85	28	18	56	119	18	44
562336	74	98	75	65	28	52	22	109	21	73	45	75	133	21	72
562343	34	136	185	37	101	32	78	138	60	103	44	99	173	41	198
562344	5	53	28	6	3	0	16	20	6	9	6	38	30	0	48
