"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"312" "DES" "Dose5_7" 0 "f" 5457.7
"313" "DES" "Dose5_8" 0 "a" 3960.95
"314" "DES" "Dose5_8" 0 "b" 1003.75
"315" "DES" "Dose5_8" 0 "c" 4523.45
"316" "DES" "Dose5_8" 0 "d" 4033.35
"317" "DES" "Dose5_8" 0 "e" 4313.75
"318" "DES" "Dose5_8" 0 "f" 1200.25
"319" "DES" "Dose5_9" 0 "a" 5904.85
"320" "DES" "Dose5_9" 0 "b" 4029.9
"321" "DES" "Dose5_9" 0 "c" 6646.5
"322" "DES" "Dose5_9" 0 "d" 2462.45
"323" "DES" "Dose5_9" 0 "e" 6460.25
"324" "DES" "Dose5_9" 0 "f" 3173.75
