Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000037281	Linear		null	null	1.05517	0.707334	2.03048	0.6457	156.52586	-307.051721	-1	1.49175637	TRUE	1.14E-04	-1.69E-05	
ENSDARG00000006427	Linear		null	null	0.973943	0.662769	1.79341	0.6209	134.663098	-263.326197	-1	1.469505967	TRUE	5.63E-04	-7.86E-05	
ENSDARG00000077874	Poly 2		null	null	0.440427	0.147659	2.40558	0.0487	212.841322	-417.682644	-1	2.98273048	TRUE	2.25E-06	-1.21E-06	6.00E-07
ENSDARG00000098805	Linear		null	null	1.23793	0.80158	2.66278	0.7952	197.724291	-389.448583	-1	1.544362384	TRUE	6.66E-06	-9.24E-07	
ENSDARG00000036545	Exp 2		null	null	1.65152	1.12089	3.71091	0.03075	224.6506	-443.3012	1	1.473400601	TRUE	1	6.80E-07	0.149216
ENSDARG00000100792	Linear		null	null	0.970495	0.660839	1.78385	0.6887	168.972528	-331.945055	-1	1.468580093	TRUE	4.33E-05	-8.01E-06	
ENSDARG00000095434	Exp 4		null	null	0.185055	2.46E-04	30000	0.03451	207.5418	-407.0836	1	753.4015129	TRUE	2.65E-06	15.8311	1.23656
ENSDARG00000003054	Exp 4		null	null	9.61E-04	4.18E-04	0.00471435	0.5037	221.7526	-435.5052	-1	2.299409564	TRUE	2.87E-06	254.723	0.630299
ENSDARG00000023151	Linear		null	null	0.91662	0.630281	1.63928	0.514	125.115199	-244.230398	-1	1.454303715	TRUE	9.27E-04	-1.58E-04	
ENSDARG00000012694	Linear		null	null	1.27818	0.821266	2.8246	0.5245	146.471051	-286.942102	-1	1.55635324	TRUE	1.35E-04	-2.73E-05	
ENSDARG00000052207	Linear		null	null	1.09438	0.728244	2.15368	0.5738	170.51937	-335.038739	-1	1.502765557	TRUE	3.52E-05	-6.41E-06	
ENSDARG00000117512	Exp 2		null	null	1.4513	1.00834	2.86066	0.6485	196.884	-387.768	1	1.439296269	TRUE	1	5.05E-06	0.147901
ENSDARG00000103295	Linear		null	null	0.794964	0.558407	1.34294	0.8043	137.312336	-268.624672	-1	1.423628285	TRUE	4.80E-04	-8.07E-05	
ENSDARG00000074802	Exp 4		null	null	0.00536559	0.00132271	0.0224763	0.5017	225.8056	-443.6112	-1	4.056512765	TRUE	1.09E-06	73.2307	0.505489
ENSDARG00000100315	Linear		null	null	1.04212	0.70029	1.9908	0.9043	165.080017	-324.160033	-1	1.488126348	TRUE	5.48E-05	-9.67E-06	
ENSDARG00000100955	Linear		null	null	0.896498	0.618669	1.58751	0.983	197.01287	-388.02574	-1	1.449075354	TRUE	8.80E-06	-1.34E-06	
ENSDARG00000101366	Linear		null	null	3.43422	1.50562	90000	0.001133	214.839452	-423.678903	-1	2.2809341	TRUE	1.91E-06	-1.06E-07	
ENSDARG00000022261	Linear		null	null	1.03823	0.698178	1.97908	0.828	152.937192	-299.874385	-1	1.487056309	TRUE	1.44E-04	-2.18E-05	
ENSDARG00000042124	Linear		null	null	0.645918	0.46482	1.02685	0.5254	192.220012	-378.440024	-1	1.389608881	TRUE	2.26E-05	-2.55E-06	
ENSDARG00000086215	Exp 2		null	null	1.97879	1.20983	7.17165	0.0335	216.8052	-427.6103	1	1.63559343	TRUE	1	1.90E-06	0.0789394
ENSDARG00000006220	Linear		null	null	0.571293	0.415684	0.88439	0.9572	169.476735	-332.953469	-1	1.374344454	TRUE	9.46E-05	-1.32E-05	
ENSDARG00000036833	Poly 2		null	null	0.381388	0.142085	2.62813	0.2435	182.790543	-357.581086	1	2.684224232	TRUE	1.63E-05	9.65E-06	-4.04E-06
ENSDARG00000062549	Exp 2		null	null	0.723838	0.461585	1.42324	0.9524	203.6337	-401.2675	-1	1.568157544	TRUE	-1	6.14E-06	0.185412
ENSDARG00000097441	Exp 2		null	null	2.11065	1.27746	9.07739	0.02233	221.3723	-436.7446	1	1.652223944	TRUE	1	1.14E-06	0.0892386
ENSDARG00000095595	Linear		null	null	1.38779	0.873043	3.31784	0.2557	225.848514	-445.697028	1	1.58960097	TRUE	4.64E-07	1.26E-07	
ENSDARG00000012609	Exp 2		null	null	1.37126	1.03196	2.18449	0.6346	176.1819	-346.3639	1	1.328791814	TRUE	1	9.56E-06	0.297001
ENSDARG00000023712	Linear		null	null	0.85553	0.594691	1.48561	0.1556	169.267615	-332.53523	-1	1.438612658	TRUE	7.34E-05	-8.91E-06	
ENSDARG00000055705	Linear		null	null	0.818455	0.572598	1.3972	0.5433	182.20319	-358.406379	-1	1.429371042	TRUE	2.47E-05	-3.93E-06	
ENSDARG00000040466	Linear		null	null	0.673161	0.482382	1.0813	0.7302	157.320641	-308.641283	-1	1.395493613	TRUE	1.66E-04	-2.51E-05	
