Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000058160	Poly 2		null	null	0.0795243	0.0544055	0.144067	0.9223	220.472055	-432.94411	1	1.461695968	TRUE	7.21E-07	3.24E-06	-1.06E-06		
ENSDARG00000091211	Linear		null	null	2.53007	1.28681	68.8332	0.03161	214.515894	-423.031787	1	1.96615662	TRUE	1.63E-06	1.48E-07			
ENSDARG00000093577	Exp 2		null	null	1.07162	0.56795	2.97624	0.01873	235.8803	-465.7607	-1	1.886821023	TRUE	-1	4.22E-07	0.223609		
ENSDARG00000077009	Exp 2		null	null	1.41009	0.960598	2.8695	0.2921	204.4569	-402.9139	1	1.467929352	TRUE	1	4.39E-06	0.109073		
ENSDARG00000053386	Exp 2		null	null	1.89476	1.28401	4.90062	0.1267	230.527	-455.054	1	1.475658289	TRUE	1	2.98E-07	0.18897		
ENSDARG00000004931	Poly 2		null	null	0.0651839	0.0459058	0.109246	0.6097	219.280372	-430.560744	1	1.419949113	TRUE	2.27E-06	4.26E-06	-1.46E-06		
ENSDARG00000102517	Exp 2		null	null	1.58528	0.766234	6.70989	0.2098	217.6292	-429.2585	-1	2.068924115	TRUE	-1	1.34E-06	0.162479		
ENSDARG00000093304	Linear		null	null	1.1643	0.764581	2.38937	0.8732	188.464619	-370.929238	1	1.522794838	TRUE	8.87E-06	1.82E-06			
ENSDARG00000101069	Poly 2		null	null	0.117631	0.0740673	0.279207	0.05721	237.545671	-467.091342	-1	1.588163738	TRUE	3.91E-07	-7.09E-07	2.15E-07		
ENSDARG00000068738	Exp 2		null	null	10.6346	2.27425	30000	9.45E-04	191.8723	-377.7446	1	4.676091019	TRUE	1	8.77E-06	0.0165584		
ENSDARG00000056330	Exp 2		null	null	4.92311	1.87435	30000	0.002132	230.4796	-454.9592	1	2.626569211	TRUE	1	6.65E-07	0.0359508		
ENSDARG00000092510	Linear		null	null	8.60881	2.08246	90000	0.001483	229.232737	-452.465473	-1	4.133961757	TRUE	5.67E-07	-1.63E-08			
ENSDARG00000068380	Exp 2		null	null	1.57279	1.0668	3.42559	0.001408	228.3737	-450.7474	1	1.474306337	TRUE	1	6.30E-07	0.134328		
ENSDARG00000034941	Linear		null	null	1.78984	1.04222	6.21549	0.1634	206.848895	-407.69779	1	1.717334152	TRUE	3.08E-06	3.48E-07			
ENSDARG00000055043	Linear		null	null	2.43686	1.25987	35.3711	0.08994	199.421544	-392.843089	1	1.934215435	TRUE	5.44E-06	4.19E-07			
ENSDARG00000079623	Poly 2		null	null	0.0811717	0.0553532	0.148335	0.8888	217.978038	-427.956077	1	1.466431932	TRUE	1.20E-06	3.75E-06	-1.19E-06		
ENSDARG00000090767	Poly 2		null	null	0.0831009	0.0564153	0.15395	0.05529	220.9724	-433.9448	1	1.473020617	TRUE	1.87E-06	3.00E-06	-1.00E-06		
ENSDARG00000102349	Exp 2		null	null	1.40477	0.766057	4.3901	0.4108	214.8038	-423.6076	-1	1.833766939	TRUE	-1	2.27E-06	0.125495		
ENSDARG00000051891	Exp 4		null	null	0.0038523	0.00113558	0.0213003	0.007347	222.7479	-437.4958	1	3.392363374	TRUE	1.23E-06	136.597	1.42777		
ENSDARG00000001498	Exp 4		null	null	0.00179378	6.60E-05	0.0649154	0.5145	226.6238	-445.2475	1	27.18124416	TRUE	4.97E-07	276.957	1.85505		
ENSDARG00000004473	Exp 4		null	null	8.15E-04	3.62E-05	0.00526488	0.7893	209.9914	-411.9827	1	22.51627479	TRUE	2.20E-06	427.93	1.78045		
ENSDARG00000079926	Exp 2		null	null	1.45818	1.0341	2.74828	0.7219	223.9628	-441.9256	1	1.410095735	TRUE	1	6.44E-07	0.184499		
ENSDARG00000095409	Poly 2		null	null	0.132941	0.0809258	0.361624	0.04236	218.145015	-428.29003	1	1.642751755	TRUE	1.02E-06	2.29E-06	-6.69E-07		
ENSDARG00000059363	Exp 4		null	null	9.45E-04	2.33E-04	0.00583954	0.8361	222.6621	-437.3243	1	4.055137479	TRUE	8.72E-07	347.94	1.88744		
ENSDARG00000074505	Linear		null	null	1.49546	0.921411	3.89414	0.008376	209.083891	-412.167782	-1	1.623010795	TRUE	2.98E-06	-3.58E-07			
ENSDARG00000101878	Linear		null	null	1.29982	0.831698	2.9156	0.2344	215.160784	-424.321567	1	1.562850939	TRUE	2.09E-06	2.75E-07			
ENSDARG00000091116	Linear		null	null	1.24268	0.803919	2.68136	0.8611	181.869468	-357.738937	1	1.545777622	TRUE	1.41E-05	2.65E-06			
ENSDARG00000062278	Linear		null	null	1.71702	1.01379	5.5031	0.4563	221.791545	-437.583091	1	1.693664368	TRUE	7.23E-07	1.34E-07			
ENSDARG00000086739	Exp 4		null	null	0.031482	0.00926613	0.174339	0.675	211.7023	-415.4045	1	3.397534893	TRUE	2.38E-06	13.5094	1.54586		
