G7,Counts
ENSDARG00000005332,0
ENSDARG00000005335,12
ENSDARG00000005343,3
ENSDARG00000005350,53
ENSDARG00000005355,24
ENSDARG00000005356,18
ENSDARG00000005359,29
ENSDARG00000005364,10
ENSDARG00000005368,43
ENSDARG00000005371,0
ENSDARG00000005372,42
ENSDARG00000005374,5
ENSDARG00000005382,7
ENSDARG00000005392,0
ENSDARG00000005394,68
ENSDARG00000005397,151
ENSDARG00000005414,0
ENSDARG00000005416,171
ENSDARG00000005423,48
ENSDARG00000005425,21
ENSDARG00000005448,0
ENSDARG00000005451,81
ENSDARG00000005453,68
ENSDARG00000005454,25
ENSDARG00000005456,116
ENSDARG00000005458,27
ENSDARG00000005462,75
ENSDARG00000005463,23
ENSDARG00000005464,2
ENSDARG00000005468,121
ENSDARG00000005476,172
ENSDARG00000005479,313
ENSDARG00000005481,54
ENSDARG00000005482,211
ENSDARG00000005485,20
ENSDARG00000005500,4
ENSDARG00000005510,0
ENSDARG00000005513,810
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,87
ENSDARG00000005526,28
ENSDARG00000005536,48
ENSDARG00000005540,107
ENSDARG00000005541,0
ENSDARG00000005544,1
ENSDARG00000005547,7
ENSDARG00000005549,29
ENSDARG00000005551,25
ENSDARG00000005559,10
ENSDARG00000005560,120
ENSDARG00000005561,2
ENSDARG00000005565,19
ENSDARG00000005574,11
ENSDARG00000005576,109
ENSDARG00000005578,35
ENSDARG00000005586,9
ENSDARG00000005590,28
ENSDARG00000005595,32
ENSDARG00000005606,39
ENSDARG00000005612,6
ENSDARG00000005616,8
ENSDARG00000005619,0
ENSDARG00000005625,30
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,24
ENSDARG00000005640,21
ENSDARG00000005643,0
ENSDARG00000005645,101
ENSDARG00000005648,19
ENSDARG00000005651,16
ENSDARG00000005652,110
ENSDARG00000005670,80
ENSDARG00000005673,3
ENSDARG00000005675,13
ENSDARG00000005679,25
ENSDARG00000005690,22
ENSDARG00000005699,15
ENSDARG00000005704,12
ENSDARG00000005713,8
ENSDARG00000005716,17
ENSDARG00000005738,5
ENSDARG00000005739,20
ENSDARG00000005749,40
ENSDARG00000005754,263
ENSDARG00000005762,43
ENSDARG00000005772,9
ENSDARG00000005774,52
ENSDARG00000005775,294
ENSDARG00000005776,10
ENSDARG00000005780,0
ENSDARG00000005783,52
ENSDARG00000005786,2
ENSDARG00000005789,62
ENSDARG00000005791,504
ENSDARG00000005799,16
ENSDARG00000005800,17
ENSDARG00000005814,0
ENSDARG00000005821,2
ENSDARG00000005823,63
ENSDARG00000005827,47
ENSDARG00000005828,17
ENSDARG00000005834,67
ENSDARG00000005840,47
ENSDARG00000005841,108
ENSDARG00000005842,23
ENSDARG00000005853,2
ENSDARG00000005861,258
ENSDARG00000005865,0
ENSDARG00000005867,257
ENSDARG00000005870,15
ENSDARG00000005883,19
ENSDARG00000005891,13
ENSDARG00000005894,0
ENSDARG00000005897,12
ENSDARG00000005908,19
ENSDARG00000005913,35
ENSDARG00000005915,142
ENSDARG00000005916,28
ENSDARG00000005924,132
ENSDARG00000005926,11
ENSDARG00000005927,21
ENSDARG00000005941,94
ENSDARG00000005942,0
ENSDARG00000005943,10
ENSDARG00000005945,75
ENSDARG00000005948,40
ENSDARG00000005972,10
ENSDARG00000005980,141
ENSDARG00000005989,6
ENSDARG00000005993,0
ENSDARG00000006003,16
ENSDARG00000006008,141
ENSDARG00000006010,0
ENSDARG00000006011,4
ENSDARG00000006019,67
ENSDARG00000006025,44
ENSDARG00000006029,22
ENSDARG00000006031,426
ENSDARG00000006038,27
ENSDARG00000006040,4
ENSDARG00000006044,2
ENSDARG00000006052,0
ENSDARG00000006060,106
ENSDARG00000006062,113
ENSDARG00000006065,3
ENSDARG00000006074,31
ENSDARG00000006079,0
ENSDARG00000006092,234
ENSDARG00000006093,1
ENSDARG00000006094,92
ENSDARG00000006109,0
ENSDARG00000006110,6
ENSDARG00000006112,27
ENSDARG00000006120,0
ENSDARG00000006124,361
ENSDARG00000006125,46
ENSDARG00000006128,377
ENSDARG00000006137,9
ENSDARG00000006151,57
ENSDARG00000006169,66
ENSDARG00000006174,0
ENSDARG00000006181,20
ENSDARG00000006192,37
ENSDARG00000006196,38
ENSDARG00000006200,154
ENSDARG00000006202,77
ENSDARG00000006206,0
ENSDARG00000006207,0
ENSDARG00000006215,34
ENSDARG00000006219,61
ENSDARG00000006220,75
ENSDARG00000006225,88
ENSDARG00000006235,32
ENSDARG00000006240,12
ENSDARG00000006242,282
ENSDARG00000006251,201
ENSDARG00000006253,13
ENSDARG00000006257,86
ENSDARG00000006260,371
ENSDARG00000006266,81
ENSDARG00000006272,24
ENSDARG00000006279,2
ENSDARG00000006283,47
ENSDARG00000006288,12
ENSDARG00000006290,12
ENSDARG00000006292,8
ENSDARG00000006299,52
ENSDARG00000006300,1
ENSDARG00000006301,20
ENSDARG00000006307,32
ENSDARG00000006308,2
ENSDARG00000006314,115
ENSDARG00000006316,204
ENSDARG00000006332,155
ENSDARG00000006341,4
ENSDARG00000006345,25
ENSDARG00000006350,0
ENSDARG00000006353,23
ENSDARG00000006356,30
ENSDARG00000006368,2
ENSDARG00000006370,35
ENSDARG00000006372,0
ENSDARG00000006383,109
ENSDARG00000006385,18
ENSDARG00000006389,70
ENSDARG00000006392,4
ENSDARG00000006395,66
ENSDARG00000006396,133
ENSDARG00000006397,53
ENSDARG00000006399,57
