	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
394154	3.147236895	3.235917764	3.196175588	3.145038011	2.800220918	2.914117768	2.835563536	2.949636653	2.791525402	2.937874675	2.920120233	2.897710766	3.069488042	2.840238485	3.186375808	2.8569705	2.986080537	3.184349251	2.676681612	2.910810725	3.056580406
394155	7.197871636	7.237574428	7.049774665	7.062700804	7.304480468	7.175885944	6.944860102	7.313881094	7.295394334	6.974800866	7.381056934	7.15826893	7.084469814	7.533850012	7.113005504	6.926686721	7.237949448	7.01640024	7.464896363	7.3198614	6.968415094
394156	6.175631215	6.038268889	6.165867345	6.052954067	6.125833375	5.887126892	5.999556395	6.021889293	6.018164432	6.016923381	5.93274344	6.132999326	5.909770269	5.966532079	6.178078756	5.952920123	6.129142912	5.925684582	5.965051254	6.05802076	5.840607028
394157	3.235858968	3.054011985	3.341103749	3.245307785	2.87735771	2.646292598	3.261565175	2.958317006	3.171945628	3.140514536	2.895993989	3.356312102	3.309578776	2.966944328	3.111501079	2.836732229	3.556434712	2.902216204	2.61447132	3.359607048	3.232979906
394160	1.734159242	1.972180161	1.437386259	1.496739694	1.965319395	2.389259119	2.369934197	1.981520695	1.993682662	2.153445012	1.811646827	2.279374766	2.33393472	1.801539433	1.893961791	2.165546103	2.029038426	2.103811495	1.682406508	1.674916244	2.219555011
394161	5.880062618	5.876140117	6.034995352	6.075131598	5.595949916	6.019123348	5.752540202	5.596359678	5.582149182	5.639263959	5.579572362	5.557850583	5.905472616	5.274880001	5.709695396	5.725079976	5.432299211	5.881117544	5.494736887	5.286362981	5.68591301
394162	3.364976957	3.025000547	3.121686364	3.407245426	3.211141613	3.21327319	3.348325302	3.090537372	3.057527079	3.409250067	3.155106857	3.329149902	3.166062256	3.269268938	3.285072424	3.232345683	3.310943968	3.129591194	3.141182214	3.227659044	3.378641885
394163	1.751441323	1.591785681	1.765583466	1.684302447	1.980938581	1.580716513	1.573968239	1.720878569	1.683872245	2.018513734	1.463242402	1.717378028	1.418111309	1.530212334	1.723421011	1.52185204	1.641944962	1.438177333	1.79887044	1.650872533	2.084508621
394164	4.900521692	4.704844624	4.876090702	4.652776344	4.506871158	4.584164852	4.481122154	4.684929641	4.467529622	4.698850126	4.459729777	4.636489027	4.590161653	4.567783612	4.674655996	4.763432405	4.938011814	4.75115385	4.412066475	4.754550901	4.78605496
394165	3.917808434	3.799794942	4.115091706	3.922575558	3.818297385	3.783448418	3.94701582	3.730495154	3.964348274	3.831382436	3.880103306	4.041607801	4.062649837	3.897315627	3.96724968	3.821845651	3.824381359	3.795188628	3.62415842	3.808540024	3.734902396
