	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
797788	6.7890353875	6.8240806865	6.9974210545	6.7731219315	6.9143020295	6.8014089745	6.6198609745	6.9524664975	6.8289552595	6.9514086265	7.1480918875	6.6858697365	7.0509007975	7.0832747845	6.9606989935	6.9992953735	6.9469233885	7.0930213175	7.0983916295	6.7931541985	7.0841280475
567913	8.1346336725	7.8201437635	8.2779197385	8.1386990015	7.7809959605	8.0627635025	7.9533963315	7.6512007455	7.9250504275	7.8517312575	7.6007947985	8.1590184725	8.0198813095	7.5506708655	8.1405676345	7.8421944725	8.0173769945	7.9498268875	7.5996139985	8.0360608595	7.8554158355
567804	6.5088915265	7.2112632245	7.3079442755	7.3939039435	6.0320274505	7.0741424865	6.3693947615	6.4518114775	5.7997288125	5.5544564355	6.1265040805	5.9406465955	6.9444565975	5.6233246925	6.5534984535	6.0498618825	5.9160985935	7.2252175685	5.9269796835	5.2521729915	6.2905709885
492480	7.8432557735	7.9743201905	7.7251583005	7.6776712925	7.6284235585	7.8355579745	7.5466827355	7.4598759265	7.5178362195	7.2356912415	7.6108520585	7.3712692415	7.6285412355	7.5166930495	7.3784933165	7.2984400985	7.4269510595	7.8155374495	7.3042633005	7.4732950055	7.6621140285
568614	6.5694414385	6.3298151505	6.5560073235	6.4966508975	6.2038643565	6.1814695205	6.3693947615	6.1164255685	6.1288281015	6.0388625555	6.1679647095	6.0526718225	6.6220522575	5.6090626175	6.1297304425	5.7900572685	5.8687845205	6.2655931915	6.5429570815	6.0709985125	6.3515007625
567500	9.3441244965	9.4965749055	9.6259345475	9.6987090315	9.2729330205	9.6445793115	9.4324847885	9.2887558855	9.3339714525	9.2150770635	9.3940328825	9.3409258135	9.6491164405	8.9969502435	9.4431368895	9.2895573975	9.1033811235	9.5502443035	9.3698723425	9.1696967785	9.4265473225
570385	9.0750060675	9.3470882545	9.3742581765	9.5040167355	8.9577723655	9.2830991935	9.2545345545	9.0665678765	8.8166415235	9.0024191935	8.8399654125	8.9487282855	9.3228724425	8.4529278185	9.1257402335	9.0007106375	8.5595447155	9.3367762285	8.9391357265	8.5059325805	8.9862313865
393354	6.3337785395	6.2172630355	6.3596219815	6.3637378555	6.1347351955	5.8903293795	6.6719692525	6.1780208825	6.6987283045	6.6315258535	6.1815243015	6.4505020995	6.7442358735	6.4041403915	6.4586471685	6.6530946545	6.7864442795	6.4442543535	6.3856311055	6.6155561215	6.5825477155
100001558	7.2438759465	7.2177788655	7.5403078395	7.2951574265	7.4746691285	7.4127406075	7.5041970575	7.5958552845	7.3064550175	7.5517755385	7.5753405725	7.3658573335	7.3935555735	7.3118027975	7.3054212455	7.4275687355	7.1117906515	7.5777481835	7.8772623985	7.4663255995	7.3815671735
555617	6.7633457305	5.8983255145	6.4488461545	6.3637378555	5.7655452185	5.3008651255	5.9442823675	5.4728895865	5.6667101015	5.7398912315	5.5686084355	6.0391352305	5.8182195965	6.2655269895	5.8596733865	5.5590039325	6.3542853715	4.9678120725	5.7027553295	5.9955506275	5.0159219825
