C10,Counts
ENSDARG00000005943,0
ENSDARG00000005945,55
ENSDARG00000005948,12
ENSDARG00000005972,11
ENSDARG00000005980,103
ENSDARG00000005989,32
ENSDARG00000005993,0
ENSDARG00000006003,67
ENSDARG00000006008,89
ENSDARG00000006010,24
ENSDARG00000006011,6
ENSDARG00000006019,77
ENSDARG00000006025,8
ENSDARG00000006029,0
ENSDARG00000006031,451
ENSDARG00000006038,32
ENSDARG00000006040,15
ENSDARG00000006044,4
ENSDARG00000006052,0
ENSDARG00000006060,143
ENSDARG00000006062,169
ENSDARG00000006065,12
ENSDARG00000006074,23
ENSDARG00000006079,0
ENSDARG00000006092,239
ENSDARG00000006093,6
ENSDARG00000006094,149
ENSDARG00000006109,0
ENSDARG00000006110,1
ENSDARG00000006112,7
ENSDARG00000006120,65
ENSDARG00000006124,284
ENSDARG00000006125,57
ENSDARG00000006128,175
ENSDARG00000006137,2
ENSDARG00000006151,0
ENSDARG00000006169,91
ENSDARG00000006174,0
ENSDARG00000006181,64
ENSDARG00000006192,10
ENSDARG00000006196,4
ENSDARG00000006200,544
ENSDARG00000006202,85
ENSDARG00000006206,2
ENSDARG00000006207,0
ENSDARG00000006215,64
ENSDARG00000006219,71
ENSDARG00000006220,49
ENSDARG00000006225,137
ENSDARG00000006235,53
ENSDARG00000006240,14
ENSDARG00000006242,389
ENSDARG00000006251,87
ENSDARG00000006253,19
ENSDARG00000006257,315
ENSDARG00000006260,354
ENSDARG00000006266,92
ENSDARG00000006272,30
ENSDARG00000006279,20
ENSDARG00000006283,74
ENSDARG00000006288,4
ENSDARG00000006290,16
ENSDARG00000006292,0
ENSDARG00000006299,102
ENSDARG00000006300,4
ENSDARG00000006301,310
ENSDARG00000006307,39
ENSDARG00000006308,0
ENSDARG00000006314,91
ENSDARG00000006316,284
ENSDARG00000006332,82
ENSDARG00000006341,2
ENSDARG00000006345,33
ENSDARG00000006350,0
ENSDARG00000006353,11
ENSDARG00000006356,37
ENSDARG00000006368,0
ENSDARG00000006370,83
ENSDARG00000006372,0
ENSDARG00000006383,279
ENSDARG00000006385,74
ENSDARG00000006389,92
ENSDARG00000006392,15
ENSDARG00000006395,196
ENSDARG00000006396,148
ENSDARG00000006397,65
ENSDARG00000006399,57
ENSDARG00000006408,40
ENSDARG00000006409,0
ENSDARG00000006413,44
ENSDARG00000006420,230
ENSDARG00000006422,18
ENSDARG00000006427,63
ENSDARG00000006434,8
ENSDARG00000006447,0
ENSDARG00000006456,0
ENSDARG00000006467,15
ENSDARG00000006468,0
ENSDARG00000006474,0
ENSDARG00000006477,34
ENSDARG00000006487,185
ENSDARG00000006491,3
ENSDARG00000006494,20
ENSDARG00000006497,394
ENSDARG00000006501,0
ENSDARG00000006508,30
ENSDARG00000006514,47
ENSDARG00000006522,0
ENSDARG00000006524,312
ENSDARG00000006526,457
ENSDARG00000006527,53
ENSDARG00000006544,4
ENSDARG00000006545,54
ENSDARG00000006546,19
ENSDARG00000006553,15
ENSDARG00000006560,0
ENSDARG00000006566,128
ENSDARG00000006567,0
ENSDARG00000006568,1
ENSDARG00000006577,0
ENSDARG00000006580,0
ENSDARG00000006584,109
ENSDARG00000006585,98
ENSDARG00000006588,1
ENSDARG00000006598,5
ENSDARG00000006600,69
ENSDARG00000006601,20
ENSDARG00000006602,35
ENSDARG00000006603,34
ENSDARG00000006604,8
ENSDARG00000006607,29
ENSDARG00000006609,45
ENSDARG00000006615,43
ENSDARG00000006617,40
ENSDARG00000006621,44
ENSDARG00000006624,22
ENSDARG00000006636,54
ENSDARG00000006639,18
ENSDARG00000006640,29
ENSDARG00000006642,46
ENSDARG00000006666,0
ENSDARG00000006672,15
ENSDARG00000006677,22
ENSDARG00000006678,0
ENSDARG00000006683,33
ENSDARG00000006691,237
ENSDARG00000006712,29
